Domain,Site,mOrder,plotID,nlcdClass,plotType,subType,Module,Design_UTM_X,Design_UTM_Y,Design_Lat,Design_Long,Design_Height(m),2014
01,BART,19,BART_001,Mixed,Distributed,Base,Plant Productivity,315211.47,4879690.01,44.0471,-71.3066,620,x
01,BART,36,BART_002,Deciduous,Distributed,Base,Plant Productivity,317881.47,4878280.01,44.0351,-71.2729,498,x
01,BART,38,BART_003,Deciduous,Distributed,Base,Plant Productivity,318721.47,4880500.01,44.0553,-71.2631,311,x
01,BART,57,BART_004,Mixed,Distributed,Base,Plant Productivity,316771.47,4879030.01,44.0415,-71.2870,593,x
01,BART,71,BART_005,Mixed,Distributed,Base,Plant Productivity,317191.47,4880470.01,44.0546,-71.2822,331,x
01,BART,79,BART_006,Deciduous,Distributed,Base,Plant Productivity,314911.47,4881190.01,44.0605,-71.3109,475,x
01,BART,87,BART_007,Mixed,Distributed,Base,Plant Productivity,315871.47,4879960.01,44.0497,-71.2985,457,x
01,BART,102,BART_008,Mixed,Distributed,Base,Plant Productivity,319081.47,4880800.01,44.0580,-71.2588,350,x
01,BART,103,BART_009,Deciduous,Distributed,Base,Plant Productivity,315601.47,4880260.01,44.0523,-71.3020,457,x
01,BART,118,BART_010,Deciduous,Distributed,Base,Plant Productivity,318421.47,4879930.01,44.0501,-71.2667,311,x
01,BART,151,BART_011,Mixed,Distributed,Base,Plant Productivity,316051.47,4879990.01,44.0500,-71.2963,457,x
01,BART,163,BART_012,Deciduous,Distributed,Base,Plant Productivity,314431.47,4879600.01,44.0461,-71.3163,620,x
01,BART,164,BART_013,Deciduous,Distributed,Base,Plant Productivity,317521.47,4879030.01,44.0417,-71.2776,593,
01,BART,179,BART_014,Deciduous,Distributed,Base,Plant Productivity,314701.47,4880560.01,44.0548,-71.3133,620,
01,BART,198,BART_015,Mixed,Distributed,Base,Plant Productivity,317881.47,4879150.01,44.0429,-71.2732,311,x
01,BART,199,BART_016,Mixed,Distributed,Base,Plant Productivity,316681.47,4880110.01,44.0512,-71.2885,331,x
01,BART,211,BART_017,Deciduous,Distributed,Base,Plant Productivity,314761.47,4879780.01,44.0478,-71.3123,620,
01,BART,214,BART_018,Mixed,Distributed,Base,Plant Productivity,317551.47,4880890.01,44.0585,-71.2779,232,
01,BART,283,BART_019,Mixed,Distributed,Base,Plant Productivity,316921.47,4882120.01,44.0694,-71.2862,232,
01,BART,313,BART_021,Mixed,Distributed,Base,Plant Productivity,316651.47,4879000.01,44.0412,-71.2884,593,
01,BART,315,BART_022,Mixed,Distributed,Base,Plant Productivity,315901.47,4881130.01,44.0602,-71.2985,335,
01,BART,374,BART_023,Evergreen,Distributed,Base,Plant Productivity,318661.47,4879840.01,44.0493,-71.2637,311,x
01,BART,550,BART_024,Evergreen,Distributed,Base,Plant Productivity,318661.47,4880230.01,44.0528,-71.2638,311,x
01,BART,591,BART_025,Evergreen,Distributed,Base,Plant Productivity,314731.47,4881070.01,44.0594,-71.3131,475,x
01,BART,1359,BART_026,Evergreen,Distributed,Base,Plant Productivity,314671.47,4881280.01,44.0613,-71.3139,475,x
01,BART,4070,BART_027,Evergreen,Distributed,Base,Plant Productivity,318841.47,4880800.01,44.0580,-71.2617,350,x
01,BART,4467,BART_028,Evergreen,Distributed,Base,Plant Productivity,315241.47,4880470.01,44.0541,-71.3065,620,x
01,BART,5255,BART_029,Evergreen,Distributed,Base,Plant Productivity,316711.47,4880830.01,44.0577,-71.2883,232,
01,BART,14707,BART_030,Evergreen,Distributed,Base,Plant Productivity,315121.47,4880440.01,44.0538,-71.3080,620,
01,BART,17459,BART_031,Evergreen,Distributed,Base,Plant Productivity,315361.47,4880620.01,44.0555,-71.3051,457,
01,BART,307,BART_062,Deciduous,Distributed,Base,Plant Productivity,315301.47,4880830.01,44.0574,-71.3059,475,
01,BART,359,BART_064,Deciduous,Distributed,Base,Plant Productivity,315841.47,4880230.01,44.0521,-71.2990,457,
01,BART,406,BART_065,Deciduous,Distributed,Base,Plant Productivity,318091.47,4880560.01,44.0556,-71.2710,311,
01,BART,435,BART_066,Mixed,Distributed,Base,Plant Productivity,314941.47,4880770.01,44.0567,-71.3104,475,
01,BART,487,BART_067,Mixed,Distributed,Base,Plant Productivity,316471.47,4880980.01,44.0590,-71.2914,335,
01,BART,499,BART_068,Mixed,Distributed,Base,Plant Productivity,315001.47,4880290.01,44.0524,-71.3095,620,
01,BART,21671,BART_069,Evergreen,Distributed,Base,Plant Productivity,315571.47,4880620.01,44.0555,-71.3025,457,
01,BART,75,BART_032,,Tower,Base,Plant Productivity,316801.47,4881910.01,44.0675,-71.2876,232,x
01,BART,267,BART_033,,Tower,Base,Plant Productivity,317101.47,4881430.01,44.0632,-71.2837,232,x
01,BART,331,BART_034,,Tower,Base,Plant Productivity,316951.47,4881550.01,44.0643,-71.2856,232,x
01,BART,651,BART_036,,Tower,Base,Plant Productivity,316921.47,4881310.01,44.0621,-71.2859,232,x
01,BART,779,BART_037,,Tower,Base,Plant Productivity,317131.47,4881250.01,44.0616,-71.2832,232,x
01,BART,1163,BART_039,,Tower,Base,Plant Productivity,316681.47,4881490.01,44.0637,-71.2889,232,x
01,BART,2043,BART_040,,Tower,Base,Plant Productivity,316441.47,4881730.01,44.0658,-71.2920,335,x
01,BART,2379,BART_041,,Tower,Base,Plant Productivity,316951.47,4881670.01,44.0653,-71.2856,232,x
01,BART,2443,BART_042,,Tower,Base,Plant Productivity,316741.47,4881100.01,44.0602,-71.2880,232,x
01,BART,2827,BART_044,,Tower,Base,Plant Productivity,317041.47,4881190.01,44.0610,-71.2843,232,x
01,BART,3467,BART_046,,Tower,Base,Plant Productivity,316951.47,4881070.01,44.0599,-71.2854,232,x
01,BART,3659,BART_047,,Tower,Base,Plant Productivity,316531.47,4881640.01,44.0650,-71.2909,232,x
01,BART,20875,BART_050,,Tower,Base,Plant Productivity,316771.47,4881250.01,44.0615,-71.2877,232,x
01,BART,40587,BART_051,,Tower,Base,Plant Productivity,316771.47,4881400.01,44.0629,-71.2878,232,x
01,BART,203,BART_070,,Tower,Base,Plant Productivity,,,,,,
01,BART,843,BART_071,,Tower,Base,Plant Productivity,,,,,,
01,BART,5515,BART_072,,Tower,Base,Plant Productivity,,,,,,
01,BART,5707,BART_073,,Tower,Base,Plant Productivity,,,,,,
01,BART,20235,BART_074,,Tower,Base,Plant Productivity,,,,,,
01,BART,35719,BART_075,,Tower,Base,Plant Productivity,,,,,,
01,BART,43259,BART_076,,Tower,Base,Plant Productivity,,,,,,
01,BART,48971,BART_077,,Tower,Base,Plant Productivity,,,,,,
01,BART,63115,BART_078,,Tower,Base,Plant Productivity,,,,,,
