Domain,Site,plotID,plotType
D10,CPER,CPER_001,Distributed
D10,CPER,CPER_002,Distributed
D10,CPER,CPER_003,Distributed
D10,CPER,CPER_004,Distributed
D10,CPER,CPER_005,Distributed
D10,CPER,CPER_006,Distributed
D10,CPER,CPER_007,Distributed
D10,CPER,CPER_008,Distributed
D10,CPER,CPER_009,Distributed
D10,CPER,CPER_010,Distributed
D10,CPER,CPER_011,Distributed
D10,CPER,CPER_012,Distributed
D10,CPER,CPER_013,Distributed
D10,CPER,CPER_014,Distributed
D10,CPER,CPER_015,Distributed
D10,CPER,CPER_016,Distributed
D10,CPER,CPER_017,Distributed
D10,CPER,CPER_018,Distributed
D10,CPER,CPER_019,Distributed
D10,CPER,CPER_020,Distributed
D10,CPER,CPER_021,Distributed
D10,CPER,CPER_022,Distributed
D10,CPER,CPER_023,Distributed
D10,CPER,CPER_024,Distributed
D10,CPER,CPER_025,Distributed
D10,CPER,CPER_026,Distributed
D10,CPER,CPER_027,Distributed
D10,CPER,CPER_028,Distributed
D10,CPER,CPER_029,Distributed
D10,CPER,CPER_030,Distributed
D10,CPER,CPER_031,Distributed
D10,CPER,CPER_032,Distributed
D10,CPER,CPER_033,Distributed
D10,CPER,CPER_034,Distributed
D10,CPER,CPER_035,Distributed
D10,CPER,CPER_036,Distributed
D10,CPER,CPER_037,Distributed
D10,CPER,CPER_038,Distributed
D10,CPER,CPER_039,Distributed
D10,CPER,CPER_040,Distributed
D10,CPER,CPER_041,Distributed
D10,CPER,CPER_045,Tower
D10,CPER,CPER_046,Tower
D10,CPER,CPER_047,Tower
D10,CPER,CPER_048,Tower
D10,CPER,CPER_049,Tower
D10,CPER,CPER_050,Tower
D10,CPER,CPER_051,Tower
D10,CPER,CPER_052,Tower
D10,CPER,CPER_053,Tower
D10,CPER,CPER_054,Tower
D10,CPER,CPER_055,Tower
D10,CPER,CPER_056,Tower
D10,CPER,CPER_057,Tower
D10,CPER,CPER_058,Tower
D10,CPER,CPER_059,Tower
D10,CPER,CPER_060,Tower
D10,CPER,CPER_061,Tower
D10,CPER,CPER_062,Tower
D10,CPER,CPER_063,Tower
D10,CPER,CPER_064,Tower
D10,CPER,CPER_065,Tower
D10,CPER,CPER_066,Tower
D10,CPER,CPER_067,Tower
D10,CPER,CPER_068,Tower
D10,CPER,CPER_069,Tower
D10,CPER,CPER_070,Tower
D10,CPER,CPER_071,Tower
D10,CPER,CPER_072,Tower
D10,CPER,CPER_073,Tower
D10,CPER,CPER_074,Tower
