M_order,plotID,NLCD_Class,plotType,plotArea,subType,Module
71,ONAQ_006,EvergreenForest,Distributed,400,Base,Plant Productivity
87,ONAQ_008,EvergreenForest,Distributed,400,Base,Plant Productivity
119,ONAQ_010,EvergreenForest,Distributed,400,Base,Plant Productivity
135,ONAQ_012,EvergreenForest,Distributed,400,Base,Plant Productivity
247,ONAQ_017,EvergreenForest,Distributed,400,Base,Plant Productivity
327,ONAQ_021,EvergreenForest,Distributed,400,Base,Plant Productivity
375,ONAQ_023,EvergreenForest,Distributed,400,Base,Plant Productivity
427,ONAQ_025,EvergreenForest,Distributed,400,Base,Plant Productivity
583,ONAQ_028,EvergreenForest,Distributed,400,Base,Plant Productivity
595,ONAQ_029,EvergreenForest,Distributed,400,Base,Plant Productivity
759,ONAQ_030,EvergreenForest,Distributed,400,Base,Plant Productivity
791,ONAQ_031,EvergreenForest,Distributed,400,Base,Plant Productivity
939,ONAQ_032,EvergreenForest,Distributed,400,Base,Plant Productivity
19,ONAQ_002,ShrubScrub,Distributed,400,Base,Plant Productivity
35,ONAQ_003,ShrubScrub,Distributed,400,Base,Plant Productivity
51,ONAQ_004,ShrubScrub,Distributed,400,Base,Plant Productivity
67,ONAQ_005,ShrubScrub,Distributed,400,Base,Plant Productivity
83,ONAQ_007,ShrubScrub,Distributed,400,Base,Plant Productivity
115,ONAQ_009,ShrubScrub,Distributed,400,Base,Plant Productivity
127,ONAQ_011,ShrubScrub,Distributed,400,Base,Plant Productivity
147,ONAQ_014,ShrubScrub,Distributed,400,Base,Plant Productivity
191,ONAQ_015,ShrubScrub,Distributed,400,Base,Plant Productivity
243,ONAQ_016,ShrubScrub,Distributed,400,Base,Plant Productivity
291,ONAQ_018,ShrubScrub,Distributed,400,Base,Plant Productivity
307,ONAQ_019,ShrubScrub,Distributed,400,Base,Plant Productivity
323,ONAQ_020,ShrubScrub,Distributed,400,Base,Plant Productivity
371,ONAQ_022,ShrubScrub,Distributed,400,Base,Plant Productivity
407,ONAQ_024,ShrubScrub,Distributed,400,Base,Plant Productivity
435,ONAQ_026,ShrubScrub,Distributed,400,Base,Plant Productivity
563,ONAQ_027,ShrubScrub,Distributed,400,Base,Plant Productivity
15347,ONAQ_041,,Tower,400,Type A,Plant Productivity
16371,ONAQ_042,,Tower,400,Type A,Plant Productivity
20467,ONAQ_043,,Tower,400,Type A,Plant Productivity
23539,ONAQ_044,,Tower,400,Type A,Plant Productivity
31731,ONAQ_045,,Tower,400,Type A,Plant Productivity
32755,ONAQ_046,,Tower,400,Type A,Plant Productivity
39923,ONAQ_047,,Tower,400,Type A,Plant Productivity
45043,ONAQ_048,,Tower,400,Type A,Plant Productivity
48115,ONAQ_049,,Tower,400,Type A,Plant Productivity
49139,ONAQ_050,,Tower,400,Type A,Plant Productivity
51187,ONAQ_051,,Tower,400,Type A,Plant Productivity
53235,ONAQ_052,,Tower,400,Type A,Plant Productivity
61427,ONAQ_053,,Tower,400,Type A,Plant Productivity
64499,ONAQ_054,,Tower,400,Type A,Plant Productivity
65523,ONAQ_055,,Tower,400,Type A,Plant Productivity
69619,ONAQ_056,,Tower,400,Type A,Plant Productivity
73715,ONAQ_057,,Tower,400,Type A,Plant Productivity
80883,ONAQ_058,,Tower,400,Type A,Plant Productivity
81907,ONAQ_059,,Tower,400,Type A,Plant Productivity
114675,ONAQ_060,,Tower,400,Type A,Plant Productivity
118771,ONAQ_061,,Tower,400,Type A,Plant Productivity
130035,ONAQ_062,,Tower,400,Type A,Plant Productivity
147443,ONAQ_063,,Tower,400,Type A,Plant Productivity
151539,ONAQ_064,,Tower,400,Type A,Plant Productivity
162803,ONAQ_065,,Tower,400,Type A,Plant Productivity
163827,ONAQ_066,,Tower,400,Type A,Plant Productivity
176115,ONAQ_067,,Tower,400,Type A,Plant Productivity
179187,ONAQ_068,,Tower,400,Type A,Plant Productivity
198643,ONAQ_069,,Tower,400,Type A,Plant Productivity
211955,ONAQ_070,,Tower,400,Type A,Plant Productivity
