plotID,mortonOrder,nlcdClass,plotType,subtype,plotDimensions,easting,northing,decimalLatitude,decimalLongitude,elevation,dateDelivered,scienceComments,fieldComments,vetted,protocols
BART_002,36,DeciduousForest,Distributed,Base,40,317881.473134,4878280.005710,44.0351,-71.2729,498,1-Aug-13,"100% total, 100% decid",30 min from trailhead on  attitash trail.  Head up old logging road/game trail on left just after scenic waterfall.,yes,"no soils, yes beetles"
BART_003,38,DeciduousForest,Distributed,Base,40,318721.473134,4880500.005710,44.0553,-71.2631,333,1-Aug-13,"Lf data- 98 total, 100d",Approximately 30 minute walk.  Year-round brook ca. 60-50 m NNW of plot. ,yes,"no soils, no beetles"
BART_006,79,DeciduousForest,Distributed,Base,40,314911.473134,4881190.005710,44.0605,-71.3109,475,1-Aug-13,"Lfdata- 95 total, 95 decid, 5 evergreen","steep but do-able. 10-15min.  Small, likely seasonal, stream runs through plot center.  Update 6/4: Stream to S is 100m from plot center; stream that was through center of plot is now dry.",yes,no beetles
BART_010,118,DeciduousForest,Distributed,Base,40,318421.473134,4879930.005710,44.0501,-71.2667,333,1-Aug-13,"Lfdata- 99 total, 100%d","About 15-20 min walk. Next to dryish stream.  Seasonal stream  approx. 50m from SW corner, 2nd order stream  approx. 80m from SW corner",yes,"no soils, no beetles"
BART_012,163,DeciduousForest,Distributed,Base,40,314431.473134,4879600.005710,44.0461,-71.3163,620,1-Aug-13,"90-100% total, 100% decid","No beetle sampling:  Due E seasonal streams/pools 15-20 m from plot, leaf litter moved. 20x20 m pool 50 m from S side. Stream 100 m from N side. Seasonal stream 10 m off of SW corner but leaves at bottom. Deep 20x20 m pool ca. 50 m from S side. Easy 6 minute hike up fiest snowmobile trail on left of upper haystack.  Update 6/4: Vernal pool with frog ~75m from plot center to the S.",yes,no beetles
BART_013,164,DeciduousForest,Distributed,Base,40,317521.473134,4879030.005710,44.0417,-71.2776,404,1-Aug-13,"100% decid, 100% total",~ 10 mins to walk to. Walk on attitash trail and follow channels down to stream. Cross stream and up the hill on the other side ~50m.  Too close to major brook for beetle trapping (<50m).,yes,"no soils, no beetles"
BART_062,307,DeciduousForest,Distributed,Base,40,315301.473134,4880830.005710,44.0574,-71.3059,718,1-Aug-13,"100% total, 90% decid.","5 min hike in via legacy logging road, same cut runs through the S-SE area of the plot.  Easy access from road.  85m to water (from what point??)  Update 6/4: To S is 2m wide stream 100m from plot center; to E 85m from plot center is seep that runs downslope 20m.",yes,no beetles
BART_079,739,DeciduousForest,Distributed,Base,40,314071.473134,4879480.005710,44.0449,-71.3208,620,15-Oct-13,"90-100% total, 85% decid, 15% evergreen",30 min. walk.  Checked for potential beetle sampling:  No water in 4 cardinal directions for 120m from plot center.,yes,yes beetles
BART_080,931,DeciduousForest,Distributed,Base,40,314161.473134,4879750.005710,44.0474,-71.3198,620,3-Jun-14,100% DF,,yes,yes beetles
BART_023,374,EvergreenForest,Distributed,Base,40,318661.473134,4879840.005710,44.0493,-71.2637,333,1-Aug-13,"90-100% total, 85%evergreen, 15% decid","Hemlock. ~30 min walk. Follow path until directly W of plot. Follow stream then walk up 27 degree grade slope for ~100m. Trail is longer than map display on Trimble.  Has 1m wide stream approx. 50m from Southern beetle trap location, though slope dropping to stream is quite steep.  Update 6/5: Perennial stream ~45m SSW of plot center.",yes,"no soils, no beetles"
