plotID,plotType,Taxa
DSNY_001,Distributed,Plant productivity
DSNY_002,Distributed,Plant productivity
DSNY_003,Distributed,Plant productivity
DSNY_004,Distributed,Plant productivity
DSNY_005,Distributed,Plant productivity
DSNY_006,Distributed,Plant productivity
DSNY_007,Distributed,Plant productivity
DSNY_008,Distributed,Plant productivity
DSNY_009,Distributed,Plant productivity
DSNY_010,Distributed,Plant productivity
DSNY_011,Distributed,Plant productivity
DSNY_012,Distributed,Plant productivity
DSNY_013,Distributed,Plant productivity
DSNY_014,Distributed,Plant productivity
DSNY_015,Distributed,Plant productivity
DSNY_016,Distributed,Plant productivity
DSNY_017,Distributed,Plant productivity
DSNY_018,Distributed,Plant productivity
DSNY_019,Distributed,Plant productivity
DSNY_020,Distributed,Plant productivity
DSNY_021,Distributed,Plant productivity
DSNY_022,Distributed,Plant productivity
DSNY_023,Distributed,Plant productivity
DSNY_024,Distributed,Plant productivity
DSNY_025,Distributed,Plant productivity
DSNY_026,Distributed,Plant productivity
DSNY_027,Distributed,Plant productivity
DSNY_028,Distributed,Plant productivity
DSNY_029,Distributed,Plant productivity
DSNY_030,Distributed,Plant productivity
DSNY_031,Distributed,Plant productivity
DSNY_032,Distributed,Plant productivity
DSNY_033,Distributed,Plant productivity
DSNY_034,Distributed,Plant productivity
DSNY_035,Distributed,Plant productivity
DSNY_036,Distributed,Plant productivity
DSNY_037,Distributed,Plant productivity
DSNY_038,Distributed,Plant productivity
DSNY_039,Distributed,Plant productivity
DSNY_041,Tower,Plant productivity
DSNY_042,Tower,Plant productivity
DSNY_043,Tower,Plant productivity
DSNY_044,Tower,Plant productivity
DSNY_045,Tower,Plant productivity
DSNY_046,Tower,Plant productivity
DSNY_047,Tower,Plant productivity
DSNY_048,Tower,Plant productivity
DSNY_049,Tower,Plant productivity
DSNY_050,Tower,Plant productivity
DSNY_051,Tower,Plant productivity
DSNY_052,Tower,Plant productivity
DSNY_053,Tower,Plant productivity
DSNY_054,Tower,Plant productivity
DSNY_055,Tower,Plant productivity
DSNY_056,Tower,Plant productivity
DSNY_057,Tower,Plant productivity
DSNY_058,Tower,Plant productivity
DSNY_059,Tower,Plant productivity
DSNY_060,Tower,Plant productivity
DSNY_061,Tower,Plant productivity
DSNY_062,Tower,Plant productivity
DSNY_063,Tower,Plant productivity
DSNY_064,Tower,Plant productivity
DSNY_065,Tower,Plant productivity
DSNY_066,Tower,Plant productivity
DSNY_067,Tower,Plant productivity
DSNY_068,Tower,Plant productivity
DSNY_069,Tower,Plant productivity
DSNY_070,Tower,Plant productivity
