plotID,plotType,plotSize,NLCD_veg
HARV_001,Distributed,20,DeciduousForest
HARV_002,Distributed,20,DeciduousForest
HARV_004,Distributed,20,MixedForest
HARV_005,Distributed,20,DeciduousForest
HARV_006,Distributed,20,DeciduousForest
HARV_008,Distributed,20,DeciduousForest
HARV_010,Distributed,20,MixedForest
HARV_011,Distributed,20,DeciduousForest
HARV_012,Distributed,20,DeciduousForest
HARV_013,Distributed,20,EvergreenForest
HARV_014,Distributed,20,MixedForest
HARV_015,Distributed,20,DeciduousForest
HARV_016,Distributed,20,WoodyWetland
HARV_017,Distributed,20,DeciduousForest
HARV_018,Distributed,20,DeciduousForest
HARV_020,Distributed,20,WoodyWetland
HARV_021,Distributed,20,EvergreenForest
HARV_022,Distributed,20,EvergreenForest
HARV_023,Distributed,20,EvergreenForest
HARV_024,Distributed,20,WoodyWetland
HARV_025,Distributed,20,MixedForest
HARV_026,Distributed,20,EvergreenForest
HARV_027,Distributed,20,EvergreenForest
HARV_028,Distributed,20,MixedForest
HARV_029,Distributed,20,EvergreenForest
HARV_030,Distributed,20,EvergreenForest
HARV_031,Distributed,20,EvergreenForest
HARV_032,Distributed,20,EvergreenForest
HARV_033,Tower,40,
HARV_034,Tower,40,
HARV_035,Tower,40,
HARV_036,Tower,40,
HARV_037,Tower,40,
HARV_038,Tower,40,
HARV_039,Tower,40,
HARV_040,Tower,40,
HARV_041,Tower,40,
HARV_042,Tower,40,
HARV_043,Tower,40,
HARV_044,Tower,40,
HARV_045,Tower,40,
HARV_046,Tower,40,
HARV_047,Tower,40,
HARV_048,Tower,40,
HARV_049,Tower,40,
HARV_050,Tower,40,
HARV_051,Tower,40,
HARV_052,Tower,40,
