domain,site,plotID,plotType,subType,module,
03,JERC,JERC_001,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_002,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_003,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_004,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_005,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_006,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_007,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_008,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_009,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_010,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_011,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_012,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_013,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_014,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_015,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_016,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_017,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_018,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_019,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_020,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_021,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_022,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_023,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_024,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_025,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_027,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_028,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_029,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_030,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_031,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_032,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_033,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_034,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_035,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_036,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_038,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_040,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_041,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_042,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_044,Distributed,Base,"Beetles, Biogeochemistry, Microbes, Mosquitoes, Plant Diversity, Plant Productivity",
03,JERC,JERC_047,Tower,Type A,Plant Productivity,
03,JERC,JERC_048,Tower,Type A,Plant Productivity,
03,JERC,JERC_049,Tower,Type A,Plant Productivity,
03,JERC,JERC_050,Tower,Type A,Plant Productivity,
03,JERC,JERC_051,Tower,Type A,Plant Productivity,
03,JERC,JERC_052,Tower,Type A,Plant Productivity,
03,JERC,JERC_053,Tower,Type A,Plant Productivity,
03,JERC,JERC_054,Tower,Type A,Plant Productivity,
03,JERC,JERC_055,Tower,Type A,Plant Productivity,
03,JERC,JERC_056,Tower,Type A,Plant Productivity,
03,JERC,JERC_057,Tower,Type A,Plant Productivity,
03,JERC,JERC_058,Tower,Type A,Plant Productivity,
03,JERC,JERC_059,Tower,Type A,Plant Productivity,
03,JERC,JERC_060,Tower,Type A,Plant Productivity,
03,JERC,JERC_061,Tower,Type A,Plant Productivity,
03,JERC,JERC_062,Tower,Type A,Plant Productivity,
03,JERC,JERC_063,Tower,Type A,Plant Productivity,
03,JERC,JERC_064,Tower,Type A,Plant Productivity,
03,JERC,JERC_065,Tower,Type A,Plant Productivity,
03,JERC,JERC_066,Tower,Type A,Plant Productivity,
,,,,,,
