Domain,Site,mOrder,plotID,nlcdClass,plotType,subType,plotArea,Module
7,ORNL,47,ORNL_001,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,54,ORNL_002,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,86,ORNL_003,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,111,ORNL_004,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,203,ORNL_006,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,223,ORNL_007,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,267,ORNL_008,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,342,ORNL_009,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,395,ORNL_010,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,422,ORNL_012,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,491,ORNL_014,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,598,ORNL_015,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,619,ORNL_016,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,635,ORNL_017,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,683,ORNL_018,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,715,ORNL_019,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,747,ORNL_020,DeciduousForest,Distributed,Base,400,Plant Productivity
7,ORNL,3050,ORNL_027,EvergreenForest,Distributed,Base,400,Plant Productivity
7,ORNL,3750,ORNL_029,EvergreenForest,Distributed,Base,400,Plant Productivity
7,ORNL,9163,ORNL_032,EvergreenForest,Distributed,Base,400,Plant Productivity
7,ORNL,13030,ORNL_033,EvergreenForest,Distributed,Base,400,Plant Productivity
7,ORNL,15451,ORNL_035,EvergreenForest,Distributed,Base,400,Plant Productivity
7,ORNL,19579,ORNL_040,EvergreenForest,Distributed,Base,400,Plant Productivity
7,ORNL,20327,ORNL_041,EvergreenForest,Distributed,Base,400,Plant Productivity
7,ORNL,966,ORNL_021,PastureHay,Distributed,Base,400,Plant Productivity
7,ORNL,8134,ORNL_031,PastureHay,Distributed,Base,400,Plant Productivity
7,ORNL,15414,ORNL_034,PastureHay,Distributed,Base,400,Plant Productivity
7,ORNL,33734,ORNL_044,PastureHay,Distributed,Base,400,Plant Productivity
7,ORNL,37830,ORNL_047,PastureHay,Distributed,Base,400,Plant Productivity
7,ORNL,38854,ORNL_048,PastureHay,Distributed,Base,400,Plant Productivity
7,ORNL,15723,ORNL_036,,Tower,Base,1600,Plant Productivity
7,ORNL,16747,ORNL_037,,Tower,Base,1600,Plant Productivity
7,ORNL,23915,ORNL_043,,Tower,Base,1600,Plant Productivity
7,ORNL,34107,ORNL_045,,Tower,Base,1600,Plant Productivity
7,ORNL,36203,ORNL_046,,Tower,Base,1600,Plant Productivity
7,ORNL,45419,ORNL_049,,Tower,Base,1600,Plant Productivity
7,ORNL,55611,ORNL_050,,Tower,Base,1600,Plant Productivity
7,ORNL,60779,ORNL_051,,Tower,Base,1600,Plant Productivity
7,ORNL,123243,ORNL_052,,Tower,Base,1600,Plant Productivity
7,ORNL,150891,ORNL_053,,Tower,Base,1600,Plant Productivity
7,ORNL,165179,ORNL_054,,Tower,Base,1600,Plant Productivity
7,ORNL,186731,ORNL_055,,Tower,Base,1600,Plant Productivity
7,ORNL,196971,ORNL_056,,Tower,Base,1600,Plant Productivity
7,ORNL,201067,ORNL_057,,Tower,Base,1600,Plant Productivity
7,ORNL,236907,ORNL_058,,Tower,Base,1600,Plant Productivity
7,ORNL,249195,ORNL_059,,Tower,Base,1600,Plant Productivity
7,ORNL,318827,ORNL_060,,Tower,Base,1600,Plant Productivity
7,ORNL,327019,ORNL_061,,Tower,Base,1600,Plant Productivity
7,ORNL,375147,ORNL_062,,Tower,Base,1600,Plant Productivity
7,ORNL,553323,ORNL_063,,Tower,Base,1600,Plant Productivity
