M_order,plotID,plotType,Sub_type,Taxa
11,OSBS_001,Distributed,Base,Plant productivity
47,OSBS_002,Distributed,Base,Plant productivity
48,OSBS_003,Distributed,Base,Plant productivity
87,OSBS_004,Distributed,Base,Plant productivity
99,OSBS_005,Distributed,Base,Plant productivity
119,OSBS_006,Distributed,Base,Plant productivity
151,OSBS_007,Distributed,Base,Plant productivity
179,OSBS_008,Distributed,Base,Plant productivity
219,OSBS_009,Distributed,Base,Plant productivity
240,OSBS_010,Distributed,Base,Plant productivity
255,OSBS_011,Distributed,Base,Plant productivity
319,OSBS_012,Distributed,Base,Plant productivity
343,OSBS_013,Distributed,Base,Plant productivity
407,OSBS_014,Distributed,Base,Plant productivity
431,OSBS_015,Distributed,Base,Plant productivity
535,OSBS_016,Distributed,Base,Plant productivity
591,OSBS_017,Distributed,Base,Plant productivity
624,OSBS_018,Distributed,Base,Plant productivity
663,OSBS_019,Distributed,Base,Plant productivity
688,OSBS_020,Distributed,Base,Plant productivity
816,OSBS_021,Distributed,Base,Plant productivity
855,OSBS_022,Distributed,Base,Plant productivity
2111,OSBS_023,Distributed,Base,Plant productivity
2303,OSBS_024,Distributed,Base,Plant productivity
307,OSBS_025,Tower,Type A,Plant productivity
311,OSBS_026,Tower,Type A,Plant productivity
1335,OSBS_027,Tower,Type A,Plant productivity
1395,OSBS_028,Tower,Type A,Plant productivity
1591,OSBS_029,Tower,Type A,Plant productivity
3443,OSBS_030,Tower,Type A,Plant productivity
5111,OSBS_031,Tower,Type A,Plant productivity
5431,OSBS_032,Tower,Type A,Plant productivity
6711,OSBS_033,Tower,Type A,Plant productivity
8695,OSBS_034,Tower,Type A,Plant productivity
9587,OSBS_035,Tower,Type A,Plant productivity
10807,OSBS_036,Tower,Type A,Plant productivity
12279,OSBS_037,Tower,Type A,Plant productivity
12595,OSBS_038,Tower,Type A,Plant productivity
12599,OSBS_039,Tower,Type A,Plant productivity
12791,OSBS_040,Tower,Type A,Plant productivity
13683,OSBS_041,Tower,Type A,Plant productivity
15667,OSBS_042,Tower,Type A,Plant productivity
31287,OSBS_043,Tower,Type A,Plant productivity
42295,OSBS_044,Tower,Type A,Plant productivity
