domain,site,mortonOrder,plotID,nlcdClass,plotType,subtype,plotArea,module
02,SCBI,10,SCBI_002,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,29,SCBI_003,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,42,SCBI_004,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,46,SCBI_005,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,61,SCBI_007,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,102,SCBI_008,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,157,SCBI_010,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,166,SCBI_011,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,226,SCBI_013,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,228,SCBI_014,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,230,SCBI_015,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,250,SCBI_016,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,253,SCBI_017,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,262,SCBI_018,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,286,SCBI_019,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,314,SCBI_021,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,349,SCBI_022,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,358,SCBI_023,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,373,SCBI_024,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,413,SCBI_026,DeciduousForest,Distributed,Base,400,Plant Productivity
02,SCBI,58,SCBI_006,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,206,SCBI_012,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,1614,SCBI_033,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,1870,SCBI_034,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,2434,SCBI_035,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,2894,SCBI_037,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,2946,SCBI_038,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,4494,SCBI_039,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,5506,SCBI_040,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,5966,SCBI_041,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,6018,SCBI_042,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,7002,SCBI_043,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,18382,SCBI_044,PastureHay,Distributed,Base,400,Plant Productivity
02,SCBI,5,SCBI_067,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,74,SCBI_045,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,202,SCBI_046,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,458,SCBI_047,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,1029,SCBI_048,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,1482,SCBI_049,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,1610,SCBI_050,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,1802,SCBI_051,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,2757,SCBI_052,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,4426,SCBI_053,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,7242,SCBI_054,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,7370,SCBI_055,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,7562,SCBI_056,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,8778,SCBI_057,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,11082,SCBI_058,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,25930,SCBI_061,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,29130,SCBI_062,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,32202,SCBI_063,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,46154,SCBI_064,Target,Tower,Type A,1600,Plant Productivity
02,SCBI,64202,SCBI_066,Target,Tower,Type A,1600,Plant Productivity
