site,mortonOrder,plotID,plotType,subType,module,utmX,utmY,long,lat,elevation
STER,256,STER_006,distributed,base,plant productivity,666568.2436,4481105.292,-103.0353318,40.46393528,1368
STER,320,STER_026,distributed,base,plant productivity,667476.1136,4482323.247,-103.0243081,40.47471892,1358
STER,1088,STER_027,distributed,base,plant productivity,667926.1136,4483013.247,-103.0188198,40.4808406,1372
STER,1216,STER_028,distributed,base,plant productivity,667986.1136,4482173.247,-103.0183348,40.47326539,1352
STER,1664,STER_029,distributed,base,plant productivity,668556.1136,4481663.247,-103.0117501,40.46855808,1351
STER,2240,STER_031,distributed,base,plant productivity,668556.1136,4481903.247,-103.0116863,40.47071895,1348
STER,2368,STER_032,distributed,base,plant productivity,667416.1136,4482023.247,-103.0250947,40.4720299,1361
STER,3264,STER_033,distributed,base,plant productivity,668526.1136,4482533.247,-103.0118726,40.47639733,1360
STER,3392,STER_034,distributed,base,plant productivity,667896.1136,4482773.247,-103.0192371,40.47868578,1370
STER,3712,STER_035,distributed,base,plant productivity,668136.1136,4481783.247,-103.0166697,40.46972362,1351
STER,4352,STER_018,distributed,base,plant productivity,666627.0513,4481253.866,-103.0345996,40.46526122,1368
STER,4608,STER_005,distributed,base,plant productivity,666746.6114,4480745.382,-103.0333237,40.46065896,1367
STER,43250,STER_007,tower,base,plant productivity,,,,,
STER,149746,STER_008,tower,base,plant productivity,,,,,
STER,215282,STER_009,tower,base,plant productivity,,,,,
STER,239858,STER_010,tower,base,plant productivity,,,,,
STER,305394,STER_011,tower,base,plant productivity,,,,,
STER,370930,STER_012,tower,base,plant productivity,,,,,
STER,424178,STER_013,tower,base,plant productivity,,,,,
STER,477426,STER_014,tower,base,plant productivity,,,,,
STER,612594,STER_015,tower,base,plant productivity,,,,,
STER,968946,STER_016,tower,base,plant productivity,,,,,
