Domain,Site,mOrder,plotID,nlcdClass,plotType,subType,plotArea,Module
08,TALL,5,TALL_001,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,69,TALL_007,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,73,TALL_008,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,81,TALL_010,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,93,TALL_011,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,137,TALL_015,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,223,TALL_022,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,257,TALL_023,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,265,TALL_024,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,307,TALL_027,DeciduousForest,Distributed,Base,400,Plant Productivity
08,TALL,21,TALL_004,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,35,TALL_006,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,79,TALL_009,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,131,TALL_013,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,141,TALL_016,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,161,TALL_018,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,213,TALL_020,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,221,TALL_021,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,291,TALL_026,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,351,TALL_031,EvergreenForest,Distributed,Base,400,Plant Productivity
08,TALL,9,TALL_002,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,15,TALL_003,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,31,TALL_005,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,97,TALL_012,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,143,TALL_017,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,169,TALL_019,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,287,TALL_025,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,339,TALL_029,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,349,TALL_030,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,467,TALL_032,MixedForest,Distributed,Base,400,Plant Productivity
08,TALL,557,TALL_051,,Tower,Base,1600,Plant Productivity
08,TALL,1581,TALL_044,,Tower,Base,1600,Plant Productivity
08,TALL,2093,TALL_054,,Tower,Base,1600,Plant Productivity
08,TALL,2605,TALL_047,,Tower,Base,1600,Plant Productivity
08,TALL,5677,TALL_042,,Tower,Base,1600,Plant Productivity
08,TALL,6189,TALL_056,,Tower,Base,1600,Plant Productivity
08,TALL,6701,TALL_050,,Tower,Base,1600,Plant Productivity
08,TALL,7213,TALL_061,,Tower,Base,1600,Plant Productivity
08,TALL,8749,TALL_046,,Tower,Base,1600,Plant Productivity
08,TALL,9773,TALL_043,,Tower,Base,1600,Plant Productivity
08,TALL,12845,TALL_045,,Tower,Base,1600,Plant Productivity
08,TALL,15405,TALL_055,,Tower,Base,1600,Plant Productivity
08,TALL,18733,TALL_060,,Tower,Base,1600,Plant Productivity
08,TALL,22317,TALL_049,,Tower,Base,1600,Plant Productivity
08,TALL,31021,TALL_053,,Tower,Base,1600,Plant Productivity
08,TALL,45101,TALL_057,,Tower,Base,1600,Plant Productivity
08,TALL,59437,TALL_052,,Tower,Base,1600,Plant Productivity
08,TALL,70189,TALL_048,,Tower,Base,1600,Plant Productivity
08,TALL,81197,TALL_059,,Tower,Base,1600,Plant Productivity
08,TALL,105773,TALL_058,,Tower,Base,1600,Plant Productivity
