domain,site,mortonOrder,plotID,priority,nlcdClass,plotType,subType,module,plotDim,Design_POINT_X,Design_POINT_Y,Design Lat,Design Long,Design Height (m),2014
D05,UNDE,6,UNDE_001,Target,DeciduousForest,Distributed,Base,Plant Productivity,40,302555.2405,5123306.5,46.23464755,-89.56078323,507,x
D05,UNDE,38,UNDE_002,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,303815.2405,5124206.5,46.24310426,-89.54483224,515,x
D05,UNDE,54,UNDE_003,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,304535.2405,5125646.5,46.25625891,-89.53609903,504,x
D05,UNDE,122,UNDE_006,Target,DeciduousForest,Distributed,Base,Plant Productivity,40,306335.2405,5125406.5,46.25461649,-89.51266884,518,x
D05,UNDE,182,UNDE_007,Target,DeciduousForest,Distributed,Base,Plant Productivity,40,304505.2405,5124806.5,46.24869774,-89.5361395,504,x
D05,UNDE,186,UNDE_008,Target,MixedForest,Distributed,Base,Plant Productivity,40,306155.2405,5125586.5,46.25618358,-89.51507597,518,x
D05,UNDE,294,UNDE_010,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,304025.2405,5123606.5,46.23777018,-89.54186163,515,x
D05,UNDE,322,UNDE_011,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,306785.2405,5120996.5,46.21509274,-89.50503008,505,x
D05,UNDE,330,UNDE_012,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,306905.2405,5123426.5,46.23697586,-89.50446984,518,x
D05,UNDE,358,UNDE_013,Target,DeciduousForest,Distributed,Base,Plant Productivity,40,304355.2405,5122496.5,46.22788506,-89.53712544,518,x
D05,UNDE,386,UNDE_014,Target,DeciduousForest,Distributed,Base,Plant Productivity,40,306185.2405,5122226.5,46.22598141,-89.51330639,505,x
D05,UNDE,394,UNDE_015,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,306725.2405,5122796.5,46.23126016,-89.50654413,518,x
D05,UNDE,438,UNDE_016,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,305315.2405,5124476.5,46.24596317,-89.52550556,503,x
D05,UNDE,474,UNDE_017,Target,MixedForest,Distributed,Base,Plant Productivity,40,307535.2405,5123516.5,46.23796373,-89.49634325,518,x
D05,UNDE,486,UNDE_018,Target,WoodyWetlands,Distributed,Base,Plant Productivity,40,304595.2405,5124176.5,46.24305921,-89.53471203,515,x
D05,UNDE,502,UNDE_019,Target,DeciduousForest,Distributed,Base,Plant Productivity,40,303965.2405,5125886.5,46.25825253,-89.54358706,503,x
D05,UNDE,626,UNDE_020,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,308555.2405,5120096.5,46.2075007,-89.48173924,520,x
D05,UNDE,642,UNDE_021,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,306275.2405,5121386.5,46.21845434,-89.51179577,505,
D05,UNDE,646,UNDE_022,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,301865.2405,5122886.5,46.23067064,-89.56954679,503,
D05,UNDE,650,UNDE_023,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,307085.2405,5122646.5,46.23001368,-89.50181857,518,
D05,UNDE,706,UNDE_024,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,305885.2405,5121056.5,46.21537603,-89.51671184,505,
D05,UNDE,710,UNDE_025,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,301595.2405,5123276.5,46.23409837,-89.57320873,503,
D05,UNDE,714,UNDE_026,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,305435.2405,5124206.5,46.24356991,-89.52383902,503,
D05,UNDE,722,UNDE_027,Contingency,DeciduousForest,Distributed,Base,Plant Productivity,40,307925.2405,5120486.5,46.21082987,-89.4900568,518,x
D05,UNDE,758,UNDE_028,Contingency,DeciduousForest,Distributed,Base,Plant Productivity,40,303845.2405,5125736.5,46.25686924,-89.54508009,504,
D05,UNDE,762,UNDE_029,Contingency,DeciduousForest,Distributed,Base,Plant Productivity,40,306005.2405,5125076.5,46.25155523,-89.51681036,518,
D05,UNDE,778,UNDE_030,Contingency,DeciduousForest,Distributed,Base,Plant Productivity,40,305795.2405,5123186.5,46.23450178,-89.51875384,518,
D05,UNDE,790,UNDE_031,Contingency,WoodyWetlands,Distributed,Base,Plant Productivity,40,302495.2405,5124236.5,46.24299171,-89.56195001,507,
D05,UNDE,806,UNDE_032,Target,MixedForest,Distributed,Base,Plant Productivity,40,304325.2405,5124176.5,46.24298153,-89.53821087,515,x
D05,UNDE,934,UNDE_033,Contingency,DeciduousForest,Distributed,Base,Plant Productivity,40,304625.2405,5123216.5,46.23443632,-89.53392565,511,
D05,UNDE,1018,UNDE_034,Target,MixedForest,Distributed,Base,Plant Productivity,40,305675.2405,5124746.5,46.24849383,-89.52095141,503,x
D05,UNDE,1026,UNDE_035,Target,MixedForest,Distributed,Base,Plant Productivity,40,306575.2405,5121386.5,46.2185397,-89.50790982,505,
D05,UNDE,1210,UNDE_036,Target,MixedForest,Distributed,Base,Plant Productivity,40,306005.2405,5125316.5,46.25371313,-89.51690913,518,
D05,UNDE,2166,UNDE_040,Contingency,MixedForest,Distributed,Base,Plant Productivity,40,304055.2405,5124716.5,46.24775894,-89.54193409,504,
D05,UNDE,2346,UNDE_041,Contingency,MixedForest,Distributed,Base,Plant Productivity,40,307775.2405,5124266.5,46.24477521,-89.49353902,518,
D05,UNDE,2874,UNDE_042,Contingency,MixedForest,Distributed,Base,Plant Productivity,40,306965.2405,5124416.5,46.24589434,-89.50409758,518,
D05,UNDE,1894,UNDE_037,Target,NA,Tower,Base,Plant Productivity,40,303995.2405,5122886.5,46.23128794,-89.54195125,515,x
D05,UNDE,1958,UNDE_038,Target,NA,Tower,Base,Plant Productivity,40,304565.2405,5122976.5,46.2322612,-89.53460364,515,x
D05,UNDE,2918,UNDE_043,Target,NA,Tower,Base,Plant Productivity,40,303965.2405,5123216.5,46.23424635,-89.54247702,515,x
D05,UNDE,2982,UNDE_044,Target,NA,Tower,Base,Plant Productivity,40,304715.2405,5122916.5,46.23176483,-89.53263539,511,x
D05,UNDE,3942,UNDE_045,Target,NA,Tower,Base,Plant Productivity,40,304175.2405,5123096.5,46.23322793,-89.53970634,515,x
D05,UNDE,5030,UNDE_047,Target,NA,Tower,Base,Plant Productivity,40,304415.2405,5123036.5,46.23275754,-89.53657194,515,x
D05,UNDE,5990,UNDE_048,Target,NA,Tower,Base,Plant Productivity,40,304115.2405,5122976.5,46.23213172,-89.5404339,515,x
D05,UNDE,6054,UNDE_049,Target,NA,Tower,Base,Plant Productivity,40,304415.2405,5122796.5,46.23059967,-89.53647246,515,x
D05,UNDE,6502,UNDE_050,Target,NA,Tower,Base,Plant Productivity,40,304295.2405,5122676.5,46.2294862,-89.53797739,515,x
D05,UNDE,15206,UNDE_052,Target,NA,Tower,Base,Plant Productivity,40,303965.2405,5123096.5,46.23316742,-89.54242716,515,x
