domain,site,mortonOrder,plotID,nlcdClass,plotType,subtype,module,designUtmX,designUtmY,designLong,designLat,designElevationMeters,2014
09,WOOD,25,WOOD_001,GrasslandHerbaceous,Distributed,Base,Plant Productivity,480448.783564,5219449.313750,-99.25778389940,47.12825766840,596,x
09,WOOD,49,WOOD_002,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482338.783564,5220319.313750,-99.23289853910,47.13613971500,578,x
09,WOOD,51,WOOD_003,GrasslandHerbaceous,Distributed,Base,Plant Productivity,481798.783564,5218369.313750,-99.23994053850,47.11857797260,588,x
09,WOOD,137,WOOD_004,GrasslandHerbaceous,Distributed,Base,Plant Productivity,480748.783564,5219179.313750,-99.25381686490,47.12583691330,597,x
09,WOOD,149,WOOD_005,GrasslandHerbaceous,Distributed,Base,Plant Productivity,480898.783564,5221789.313750,-99.25195013100,47.14932725800,591,x
09,WOOD,165,WOOD_006,GrasslandHerbaceous,Distributed,Base,Plant Productivity,481258.783564,5221009.313750,-99.24716914410,47.14231881210,592,x
09,WOOD,169,WOOD_007,GrasslandHerbaceous,Distributed,Base,Plant Productivity,481048.783564,5220169.313750,-99.24990329080,47.13475409690,593,x
09,WOOD,234,WOOD_008,GrasslandHerbaceous,Distributed,Base,Plant Productivity,483988.783564,5220979.313750,-99.21116365340,47.14212088460,573,x
09,WOOD,257,WOOD_009,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482338.783564,5221309.313750,-99.23293744500,47.14504819790,576,x
09,WOOD,273,WOOD_010,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482908.783564,5221489.313750,-99.22542650490,47.14668296130,586,x
09,WOOD,281,WOOD_011,GrasslandHerbaceous,Distributed,Base,Plant Productivity,479998.783564,5219599.313750,-99.26372378290,47.12959393240,604,x
09,WOOD,285,WOOD_012,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482248.783564,5219539.313750,-99.23405456320,47.12911848200,578,x
09,WOOD,289,WOOD_013,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482608.783564,5220499.313750,-99.22934504170,47.13776662410,575,x
09,WOOD,305,WOOD_014,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482008.783564,5220739.313750,-99.23726702420,47.13991014180,582,
09,WOOD,337,WOOD_015,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482458.783564,5222029.313750,-99.23138286800,47.15153029380,594,
09,WOOD,417,WOOD_016,GrasslandHerbaceous,Distributed,Base,Plant Productivity,482878.783564,5220859.313750,-99.22579818460,47.14101314790,573,
09,WOOD,425,WOOD_017,GrasslandHerbaceous,Distributed,Base,Plant Productivity,481198.783564,5220199.313750,-99.24792656520,47.13502834890,596,
09,WOOD,426,WOOD_018,GrasslandHerbaceous,Distributed,Base,Plant Productivity,483568.783564,5221039.313750,-99.21670497000,47.14265044870,579,
09,WOOD,449,WOOD_019,GrasslandHerbaceous,Distributed,Base,Plant Productivity,481438.783564,5221459.313750,-99.24481382000,47.14637321380,592,
09,WOOD,485,WOOD_020,GrasslandHerbaceous,Distributed,Base,Plant Productivity,480598.783564,5220379.313750,-99.25584629230,47.13663067450,601,
09,WOOD,1045,WOOD_021,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,481228.783564,5221489.313750,-99.24758484950,47.14663721460,589,x
09,WOOD,1093,WOOD_022,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,480028.783564,5221459.313750,-99.26341087030,47.14633196120,595,x
09,WOOD,1113,WOOD_023,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,479728.783564,5219659.313750,-99.26728650280,47.13012558870,606,x
09,WOOD,1285,WOOD_024,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,480088.783564,5221999.313750,-99.26264344280,47.15119293270,589,x
09,WOOD,1429,WOOD_025,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,480508.783564,5221789.313750,-99.25709428220,47.14931582870,587,x
09,WOOD,1621,WOOD_027,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,480658.783564,5221669.313750,-99.25511059610,47.14824043920,589,x
09,WOOD,1725,WOOD_029,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,481708.783564,5218549.313750,-99.24113428540,47.12019521050,589,x
09,WOOD,2929,WOOD_030,EmergentHerbaceousWetlands,Distributed,Base,Plant Productivity,481558.783564,5220529.313750,-99.24319292510,47.13800801910,578,
