"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"HARV_001",70,190,310,""
"HARV_002",20,140,260,""
"HARV_004",320,80,200,""
"HARV_005",10,130,250,""
"HARV_006",290,50,170,""
"HARV_008",90,210,330,""
"HARV_010",250,10,130,""
"HARV_011",90,210,330,""
"HARV_012",160,280,40,""
"HARV_013",140,260,20,""
"HARV_014",330,90,210,""
"HARV_015",20,140,260,""
"HARV_016",260,20,140,""
"HARV_017",140,260,20,""
"HARV_018",180,300,60,""
"HARV_020",140,260,20,""
"HARV_021",180,300,60,""
"HARV_022",290,50,170,""
"HARV_023",210,330,90,""
"HARV_024",150,270,30,""
"HARV_025",10,130,250,""
"HARV_026",110,230,350,""
"HARV_027",110,230,350,""
"HARV_028",270,30,150,""
"HARV_029",200,320,80,""
"HARV_030",110,230,350,""
"HARV_031",270,30,150,""
"HARV_032",200,320,80,""
