"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"HARV_033",0,120,240,""
"HARV_034",140,260,20,""
"HARV_035",160,280,40,""
"HARV_036",70,190,310,""
"HARV_037",140,260,20,""
"HARV_038",250,10,130,""
"HARV_039",270,30,150,""
"HARV_040",140,260,20,""
"HARV_041",250,10,130,""
"HARV_042",270,30,150,""
"HARV_043",180,300,60,""
"HARV_044",20,140,260,""
"HARV_045",40,160,280,""
"HARV_046",340,100,220,""
"HARV_047",50,170,290,""
"HARV_048",90,210,330,""
"HARV_049",100,220,340,""
"HARV_050",50,170,290,""
"HARV_051",90,210,330,""
"HARV_052",100,220,340,""
