"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"DSNY_001",250,10,130,""
"DSNY_002",140,260,20,""
"DSNY_003",230,350,110,""
"DSNY_004",240,0,120,""
"DSNY_005",310,70,190,""
"DSNY_006",250,10,130,""
"DSNY_007",20,140,260,""
"DSNY_008",0,120,240,""
"DSNY_009",10,130,250,""
"DSNY_010",20,140,260,""
"DSNY_011",0,120,240,""
"DSNY_012",10,130,250,""
"DSNY_013",110,230,350,""
"DSNY_014",80,200,320,""
"DSNY_015",10,130,250,""
"DSNY_016",30,150,270,""
"DSNY_017",280,40,160,""
"DSNY_018",10,130,250,""
"DSNY_019",170,290,50,""
"DSNY_020",280,40,160,""
"DSNY_021",10,130,250,""
"DSNY_022",170,290,50,""
"DSNY_023",220,340,100,""
"DSNY_024",100,220,340,""
"DSNY_025",210,330,90,""
"DSNY_026",280,40,160,""
"DSNY_027",180,300,60,""
"DSNY_028",80,200,320,""
"DSNY_029",300,60,180,""
"DSNY_030",180,300,60,""
"DSNY_031",80,200,320,""
"DSNY_032",300,60,180,""
"DSNY_033",50,170,290,""
"DSNY_034",140,260,20,""
"DSNY_035",260,20,140,""
"DSNY_036",60,180,300,""
"DSNY_037",40,160,280,""
"DSNY_038",10,130,250,""
"DSNY_039",340,100,220,""
