"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"JERC_001",120,240,0,""
"JERC_002",330,90,210,""
"JERC_003",300,60,180,""
"JERC_004",270,30,150,""
"JERC_005",180,300,60,""
"JERC_006",350,110,230,""
"JERC_007",80,200,320,""
"JERC_008",110,230,350,""
"JERC_009",160,280,40,""
"JERC_010",80,200,320,""
"JERC_011",110,230,350,""
"JERC_012",160,280,40,""
"JERC_013",160,280,40,""
"JERC_014",160,280,40,""
"JERC_015",50,170,290,""
"JERC_016",200,320,80,""
"JERC_017",260,20,140,""
"JERC_018",160,280,40,""
"JERC_019",140,260,20,""
"JERC_020",260,20,140,""
"JERC_021",160,280,40,""
"JERC_022",140,260,20,""
"JERC_023",260,20,140,""
"JERC_024",90,210,330,""
"JERC_025",280,40,160,""
"JERC_027",160,280,40,""
"JERC_028",60,180,300,""
"JERC_029",270,30,150,""
"JERC_030",160,280,40,""
"JERC_031",60,180,300,""
"JERC_032",270,30,150,""
"JERC_033",180,300,60,""
"JERC_034",310,70,190,""
"JERC_035",40,160,280,""
"JERC_036",160,280,40,""
"JERC_038",90,210,330,""
"JERC_040",190,310,70,""
"JERC_041",90,210,330,""
"JERC_042",20,140,260,""
"JERC_044",250,10,130,""
