"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"OSBS_025",280,40,160,""
"OSBS_026",50,170,290,""
"OSBS_027",220,340,100,""
"OSBS_028",330,90,210,""
"OSBS_029",190,310,70,""
"OSBS_030",220,340,100,""
"OSBS_031",330,90,210,""
"OSBS_032",190,310,70,""
"OSBS_033",50,170,290,""
"OSBS_034",300,60,180,""
"OSBS_035",350,110,230,""
"OSBS_036",280,40,160,""
"OSBS_037",250,10,130,""
"OSBS_038",110,230,350,""
"OSBS_039",50,170,290,""
"OSBS_040",250,10,130,""
"OSBS_041",110,230,350,""
"OSBS_042",50,170,290,""
"OSBS_043",160,280,40,""
"OSBS_044",240,0,120,""
