"clip_ID","grid_ID","module_num","x_coord","y_coord"
"HARV_043_427",427,2,17.2,13.5
"HARV_043_323",323,2,1.2,7.5
"HARV_043_332",332,2,5.7,7.5
"HARV_043_408",408,2,7.7,13.5
"HARV_043_453",453,2,12.2,16.5
"HARV_043_395",395,2,1.2,13.5
"HARV_043_330",330,2,4.7,7.5
"HARV_043_410",410,2,8.7,13.5
"HARV_043_367",367,2,5.2,10.5
"HARV_043_277",277,2,14.2,1.5
"HARV_043_310",310,2,12.7,4.5
"HARV_043_342",342,2,10.7,7.5
"HARV_043_377",377,2,10.2,10.5
"HARV_043_322",322,2,18.7,4.5
"HARV_043_314",314,2,14.7,4.5
"HARV_043_458",458,2,14.7,16.5
"HARV_043_301",301,2,8.2,4.5
"HARV_043_294",294,2,4.7,4.5
"HARV_043_271",271,2,11.2,1.5
"HARV_043_398",398,2,2.7,13.5
"HARV_043_254",254,2,2.7,1.5
"HARV_043_320",320,2,17.7,4.5
"HARV_043_372",372,2,7.7,10.5
"HARV_043_406",406,2,6.7,13.5
"HARV_043_454",454,2,12.7,16.5
"HARV_043_316",316,2,15.7,4.5
"HARV_043_327",327,2,3.2,7.5
"HARV_043_355",355,2,17.2,7.5
"HARV_043_382",382,2,12.7,10.5
"HARV_043_430",430,2,18.7,13.5
"HARV_043_311",311,2,13.2,4.5
"HARV_043_334",334,2,6.7,7.5
"HARV_043_269",269,2,10.2,1.5
"HARV_043_447",447,2,9.2,16.5
"HARV_043_262",262,2,6.7,1.5
"HARV_043_381",381,2,12.2,10.5
"HARV_043_344",344,2,11.7,7.5
"HARV_043_309",309,2,12.2,4.5
"HARV_043_298",298,2,6.7,4.5
"HARV_043_305",305,2,10.2,4.5
"HARV_043_272",272,2,11.7,1.5
"HARV_043_455",455,2,13.2,16.5
"HARV_043_445",445,2,8.2,16.5
"HARV_043_274",274,2,12.7,1.5
"HARV_043_318",318,2,16.7,4.5
"HARV_043_443",443,2,7.2,16.5
"HARV_043_295",295,2,5.2,4.5
"HARV_043_441",441,2,6.2,16.5
"HARV_043_461",461,2,16.2,16.5
"HARV_043_340",340,2,9.7,7.5
"HARV_043_405",405,2,6.2,13.5
"HARV_043_457",457,2,14.2,16.5
"HARV_043_331",331,2,5.2,7.5
"HARV_043_337",337,2,8.2,7.5
"HARV_043_304",304,2,9.7,4.5
"HARV_043_290",290,2,2.7,4.5
"HARV_043_273",273,2,12.2,1.5
"HARV_043_404",404,2,5.7,13.5
"HARV_043_363",363,2,3.2,10.5
"HARV_043_356",356,2,17.7,7.5
"HARV_043_412",412,2,9.7,13.5
"HARV_043_394",394,2,18.7,10.5
"HARV_043_390",390,2,16.7,10.5
"HARV_043_329",329,2,4.2,7.5
"HARV_043_275",275,2,13.2,1.5
"HARV_043_259",259,2,5.2,1.5
"HARV_043_296",296,2,5.7,4.5
"HARV_043_278",278,2,14.7,1.5
"HARV_043_313",313,2,14.2,4.5
"HARV_043_411",411,2,9.2,13.5
"HARV_043_297",297,2,6.2,4.5
"HARV_043_452",452,2,11.7,16.5
"HARV_043_333",333,2,6.2,7.5
"HARV_043_281",281,2,16.2,1.5
"HARV_043_365",365,2,4.2,10.5
"HARV_043_321",321,2,18.2,4.5
"HARV_043_403",403,2,5.2,13.5
"HARV_043_371",371,2,7.2,10.5
"HARV_043_326",326,2,2.7,7.5
"HARV_043_258",258,2,4.7,1.5
"HARV_043_349",349,2,14.2,7.5
"HARV_043_358",358,2,18.7,7.5
"HARV_043_263",263,2,7.2,1.5
"HARV_043_302",302,2,8.7,4.5
"HARV_043_456",456,2,13.7,16.5
"HARV_043_386",386,2,14.7,10.5
"HARV_043_255",255,2,3.2,1.5
"HARV_043_270",270,2,10.7,1.5
"HARV_043_384",384,2,13.7,10.5
"HARV_043_436",436,2,3.7,16.5
"HARV_043_317",317,2,16.2,4.5
"HARV_043_366",366,2,4.7,10.5
"HARV_043_353",353,2,16.2,7.5
"HARV_043_373",373,2,8.2,10.5
"HARV_043_362",362,2,2.7,10.5
"HARV_043_425",425,2,16.2,13.5
"HARV_043_325",325,2,2.2,7.5
"HARV_043_396",396,2,1.7,13.5
"HARV_043_428",428,2,17.7,13.5
"HARV_043_345",345,2,12.2,7.5
"HARV_043_417",417,2,12.2,13.5
"HARV_043_252",252,2,1.7,1.5
"HARV_043_352",352,2,15.7,7.5
"HARV_043_375",375,2,9.2,10.5
"HARV_043_307",307,2,11.2,4.5
"HARV_043_268",268,2,9.7,1.5
"HARV_043_293",293,2,4.2,4.5
"HARV_043_289",289,2,2.2,4.5
"HARV_043_379",379,2,11.2,10.5
"HARV_043_414",414,2,10.7,13.5
"HARV_043_446",446,2,8.7,16.5
"HARV_043_348",348,2,13.7,7.5
"HARV_043_385",385,2,14.2,10.5
"HARV_043_426",426,2,16.7,13.5
"HARV_043_407",407,2,7.2,13.5
"HARV_043_416",416,2,11.7,13.5
"HARV_043_383",383,2,13.2,10.5
"HARV_043_369",369,2,6.2,10.5
"HARV_043_376",376,2,9.7,10.5
"HARV_043_397",397,2,2.2,13.5
"HARV_043_336",336,2,7.7,7.5
"HARV_043_439",439,2,5.2,16.5
"HARV_043_351",351,2,15.2,7.5
"HARV_043_450",450,2,10.7,16.5
"HARV_043_343",343,2,11.2,7.5
"HARV_043_253",253,2,2.2,1.5
"HARV_043_335",335,2,7.2,7.5
"HARV_043_413",413,2,10.2,13.5
"HARV_043_364",364,2,3.7,10.5
"HARV_043_261",261,2,6.2,1.5
"HARV_043_449",449,2,10.2,16.5
"HARV_043_370",370,2,6.7,10.5
"HARV_043_256",256,2,3.7,1.5
"HARV_043_264",264,2,7.7,1.5
"HARV_043_287",287,2,1.2,4.5
"HARV_043_421",421,2,14.2,13.5
"HARV_043_312",312,2,13.7,4.5
"HARV_043_451",451,2,11.2,16.5
"HARV_043_267",267,2,9.2,1.5
"HARV_043_292",292,2,3.7,4.5
"HARV_043_399",399,2,3.2,13.5
"HARV_043_409",409,2,8.2,13.5
"HARV_043_459",459,2,15.2,16.5
"HARV_043_346",346,2,12.7,7.5
"HARV_043_448",448,2,9.7,16.5
"HARV_043_392",392,2,17.7,10.5
"HARV_043_368",368,2,5.7,10.5
"HARV_043_360",360,2,1.7,10.5
"HARV_043_422",422,2,14.7,13.5
"HARV_043_350",350,2,14.7,7.5
"HARV_043_380",380,2,11.7,10.5
"HARV_043_420",420,2,13.7,13.5
"HARV_043_359",359,2,1.2,10.5
"HARV_043_378",378,2,10.7,10.5
"HARV_043_251",251,2,1.2,1.5
"HARV_043_437",437,2,4.2,16.5
"HARV_043_415",415,2,11.2,13.5
"HARV_043_276",276,2,13.7,1.5
"HARV_043_291",291,2,3.2,4.5
"HARV_043_400",400,2,3.7,13.5
"HARV_043_347",347,2,13.2,7.5
"HARV_043_424",424,2,15.7,13.5
"HARV_043_308",308,2,11.7,4.5
"HARV_043_442",442,2,6.7,16.5
"HARV_043_288",288,2,1.7,4.5
"HARV_043_279",279,2,15.2,1.5
"HARV_043_393",393,2,18.2,10.5
"HARV_043_299",299,2,7.2,4.5
"HARV_043_266",266,2,8.7,1.5
"HARV_043_300",300,2,7.7,4.5
"HARV_043_324",324,2,1.7,7.5
"HARV_043_361",361,2,2.2,10.5
"HARV_043_438",438,2,4.7,16.5
"HARV_043_319",319,2,17.2,4.5
"HARV_043_265",265,2,8.2,1.5
"HARV_043_402",402,2,4.7,13.5
"HARV_043_354",354,2,16.7,7.5
"HARV_043_429",429,2,18.2,13.5
"HARV_043_444",444,2,7.7,16.5
"HARV_043_357",357,2,18.2,7.5
"HARV_043_303",303,2,9.2,4.5
"HARV_043_338",338,2,8.7,7.5
"HARV_043_391",391,2,17.2,10.5
"HARV_043_315",315,2,15.2,4.5
"HARV_043_387",387,2,15.2,10.5
"HARV_043_280",280,2,15.7,1.5
"HARV_043_388",388,2,15.7,10.5
"HARV_043_257",257,2,4.2,1.5
"HARV_043_306",306,2,10.7,4.5
"HARV_043_401",401,2,4.2,13.5
"HARV_043_440",440,2,5.7,16.5
"HARV_043_423",423,2,15.2,13.5
"HARV_043_419",419,2,13.2,13.5
"HARV_043_374",374,2,8.7,10.5
"HARV_043_389",389,2,16.2,10.5
"HARV_043_341",341,2,10.2,7.5
"HARV_043_260",260,2,5.7,1.5
"HARV_043_328",328,2,3.7,7.5
"HARV_043_339",339,2,9.2,7.5
"HARV_043_460",460,2,15.7,16.5
"HARV_043_418",418,2,12.7,13.5
