"clip_ID","grid_ID","x_coord","y_coord"
"DSNY_039_070",70,17.7,4.5
"DSNY_039_209",209,15.2,16.5
"DSNY_039_123",123,8.2,10.5
"DSNY_039_038",38,1.7,4.5
"DSNY_039_100",100,14.7,7.5
"DSNY_039_168",168,12.7,13.5
"DSNY_039_155",155,6.2,13.5
"DSNY_039_125",125,9.2,10.5
"DSNY_039_191",191,6.2,16.5
"DSNY_039_048",48,6.7,4.5
"DSNY_039_151",151,4.2,13.5
"DSNY_039_063",63,14.2,4.5
"DSNY_039_208",208,14.7,16.5
"DSNY_039_147",147,2.2,13.5
"DSNY_039_193",193,7.2,16.5
"DSNY_039_114",114,3.7,10.5
"DSNY_039_056",56,10.7,4.5
"DSNY_039_149",149,3.2,13.5
"DSNY_039_118",118,5.7,10.5
"DSNY_039_071",71,18.2,4.5
"DSNY_039_134",134,13.7,10.5
"DSNY_039_092",92,10.7,7.5
"DSNY_039_160",160,8.7,13.5
"DSNY_039_095",95,12.2,7.5
"DSNY_039_029",29,15.2,1.5
"DSNY_039_037",37,1.2,4.5
"DSNY_039_078",78,3.7,7.5
"DSNY_039_043",43,4.2,4.5
"DSNY_039_136",136,14.7,10.5
"DSNY_039_054",54,9.7,4.5
"DSNY_039_180",180,18.7,13.5
"DSNY_039_139",139,16.2,10.5
"DSNY_039_019",19,10.2,1.5
"DSNY_039_203",203,12.2,16.5
"DSNY_039_097",97,13.2,7.5
"DSNY_039_121",121,7.2,10.5
"DSNY_039_074",74,1.7,7.5
"DSNY_039_164",164,10.7,13.5
"DSNY_039_068",68,16.7,4.5
"DSNY_039_146",146,1.7,13.5
"DSNY_039_069",69,17.2,4.5
"DSNY_039_013",13,7.2,1.5
"DSNY_039_093",93,11.2,7.5
"DSNY_039_080",80,4.7,7.5
"DSNY_039_122",122,7.7,10.5
"DSNY_039_198",198,9.7,16.5
"DSNY_039_057",57,11.2,4.5
"DSNY_039_177",177,17.2,13.5
"DSNY_039_072",72,18.7,4.5
"DSNY_039_064",64,14.7,4.5
"DSNY_039_083",83,6.2,7.5
"DSNY_039_174",174,15.7,13.5
"DSNY_039_196",196,8.7,16.5
"DSNY_039_096",96,12.7,7.5
"DSNY_039_194",194,7.7,16.5
"DSNY_039_207",207,14.2,16.5
"DSNY_039_188",188,4.7,16.5
"DSNY_039_176",176,16.7,13.5
"DSNY_039_172",172,14.7,13.5
"DSNY_039_046",46,5.7,4.5
"DSNY_039_027",27,14.2,1.5
"DSNY_039_115",115,4.2,10.5
"DSNY_039_006",6,3.7,1.5
"DSNY_039_059",59,12.2,4.5
"DSNY_039_161",161,9.2,13.5
"DSNY_039_103",103,16.2,7.5
"DSNY_039_007",7,4.2,1.5
"DSNY_039_039",39,2.2,4.5
"DSNY_039_044",44,4.7,4.5
"DSNY_039_175",175,16.2,13.5
"DSNY_039_041",41,3.2,4.5
"DSNY_039_018",18,9.7,1.5
"DSNY_039_017",17,9.2,1.5
"DSNY_039_020",20,10.7,1.5
"DSNY_039_082",82,5.7,7.5
"DSNY_039_016",16,8.7,1.5
"DSNY_039_201",201,11.2,16.5
"DSNY_039_138",138,15.7,10.5
"DSNY_039_028",28,14.7,1.5
"DSNY_039_079",79,4.2,7.5
"DSNY_039_026",26,13.7,1.5
"DSNY_039_199",199,10.2,16.5
"DSNY_039_009",9,5.2,1.5
"DSNY_039_025",25,13.2,1.5
"DSNY_039_119",119,6.2,10.5
"DSNY_039_157",157,7.2,13.5
"DSNY_039_187",187,4.2,16.5
"DSNY_039_153",153,5.2,13.5
"DSNY_039_169",169,13.2,13.5
"DSNY_039_042",42,3.7,4.5
"DSNY_039_047",47,6.2,4.5
