"clip_ID","grid_ID","x_coord","y_coord"
"DSNY_051_114",114,3.7,10.5
"DSNY_051_099",99,14.2,7.5
"DSNY_051_180",180,18.7,13.5
"DSNY_051_208",208,14.7,16.5
"DSNY_051_165",165,11.2,13.5
"DSNY_051_198",198,9.7,16.5
"DSNY_051_154",154,5.7,13.5
"DSNY_051_168",168,12.7,13.5
"DSNY_051_057",57,11.2,4.5
"DSNY_051_074",74,1.7,7.5
"DSNY_051_075",75,2.2,7.5
"DSNY_051_172",172,14.7,13.5
"DSNY_051_119",119,6.2,10.5
"DSNY_051_012",12,6.7,1.5
"DSNY_051_211",211,16.2,16.5
"DSNY_051_103",103,16.2,7.5
"DSNY_051_210",210,15.7,16.5
"DSNY_051_102",102,15.7,7.5
"DSNY_051_125",125,9.2,10.5
"DSNY_051_136",136,14.7,10.5
"DSNY_051_205",205,13.2,16.5
"DSNY_051_158",158,7.7,13.5
"DSNY_051_193",193,7.2,16.5
"DSNY_051_048",48,6.7,4.5
"DSNY_051_170",170,13.7,13.5
"DSNY_051_175",175,16.2,13.5
"DSNY_051_167",167,12.2,13.5
"DSNY_051_161",161,9.2,13.5
"DSNY_051_179",179,18.2,13.5
"DSNY_051_157",157,7.2,13.5
"DSNY_051_051",51,8.2,4.5
"DSNY_051_187",187,4.2,16.5
"DSNY_051_174",174,15.7,13.5
"DSNY_051_059",59,12.2,4.5
"DSNY_051_207",207,14.2,16.5
"DSNY_051_176",176,16.7,13.5
"DSNY_051_093",93,11.2,7.5
"DSNY_051_144",144,18.7,10.5
"DSNY_051_203",203,12.2,16.5
"DSNY_051_052",52,8.7,4.5
"DSNY_051_078",78,3.7,7.5
"DSNY_051_197",197,9.2,16.5
"DSNY_051_021",21,11.2,1.5
"DSNY_051_065",65,15.2,4.5
"DSNY_051_140",140,16.7,10.5
"DSNY_051_150",150,3.7,13.5
"DSNY_051_173",173,15.2,13.5
"DSNY_051_082",82,5.7,7.5
"DSNY_051_138",138,15.7,10.5
"DSNY_051_202",202,11.7,16.5
"DSNY_051_098",98,13.7,7.5
"DSNY_051_015",15,8.2,1.5
"DSNY_051_100",100,14.7,7.5
"DSNY_051_118",118,5.7,10.5
