"clip_ID","grid_ID","module_num","x_coord","y_coord"
"OSBS_030_107",107,1,18.2,7.5
"OSBS_030_201",201,1,11.2,16.5
"OSBS_030_155",155,1,6.2,13.5
"OSBS_030_011",11,1,6.2,1.5
"OSBS_030_162",162,1,9.7,13.5
"OSBS_030_170",170,1,13.7,13.5
"OSBS_030_143",143,1,18.2,10.5
"OSBS_030_137",137,1,15.2,10.5
"OSBS_030_032",32,1,16.7,1.5
"OSBS_030_158",158,1,7.7,13.5
"OSBS_030_033",33,1,17.2,1.5
"OSBS_030_116",116,1,4.7,10.5
"OSBS_030_205",205,1,13.2,16.5
"OSBS_030_167",167,1,12.2,13.5
"OSBS_030_200",200,1,10.7,16.5
"OSBS_030_031",31,1,16.2,1.5
"OSBS_030_076",76,1,2.7,7.5
"OSBS_030_059",59,1,12.2,4.5
"OSBS_030_019",19,1,10.2,1.5
"OSBS_030_041",41,1,3.2,4.5
"OSBS_030_103",103,1,16.2,7.5
"OSBS_030_104",104,1,16.7,7.5
"OSBS_030_014",14,1,7.7,1.5
"OSBS_030_185",185,1,3.2,16.5
"OSBS_030_159",159,1,8.2,13.5
"OSBS_030_069",69,1,17.2,4.5
"OSBS_030_206",206,1,13.7,16.5
"OSBS_030_131",131,1,12.2,10.5
"OSBS_030_129",129,1,11.2,10.5
"OSBS_030_020",20,1,10.7,1.5
"OSBS_030_177",177,1,17.2,13.5
"OSBS_030_128",128,1,10.7,10.5
"OSBS_030_161",161,1,9.2,13.5
"OSBS_030_063",63,1,14.2,4.5
"OSBS_030_210",210,1,15.7,16.5
"OSBS_030_149",149,1,3.2,13.5
"OSBS_030_071",71,1,18.2,4.5
"OSBS_030_045",45,1,5.2,4.5
"OSBS_030_156",156,1,6.7,13.5
"OSBS_030_044",44,1,4.7,4.5
"OSBS_030_114",114,1,3.7,10.5
"OSBS_030_140",140,1,16.7,10.5
"OSBS_030_138",138,1,15.7,10.5
"OSBS_030_080",80,1,4.7,7.5
"OSBS_030_113",113,1,3.2,10.5
"OSBS_030_057",57,1,11.2,4.5
"OSBS_030_176",176,1,16.7,13.5
"OSBS_030_085",85,1,7.2,7.5
"OSBS_030_079",79,1,4.2,7.5
"OSBS_030_091",91,1,10.2,7.5
"OSBS_030_178",178,1,17.7,13.5
"OSBS_030_088",88,1,8.7,7.5
"OSBS_030_067",67,1,16.2,4.5
"OSBS_030_027",27,1,14.2,1.5
"OSBS_030_075",75,1,2.2,7.5
"OSBS_030_110",110,1,1.7,10.5
"OSBS_030_195",195,1,8.2,16.5
"OSBS_030_204",204,1,12.7,16.5
"OSBS_030_072",72,1,18.7,4.5
"OSBS_030_021",21,1,11.2,1.5
"OSBS_030_168",168,1,12.7,13.5
"OSBS_030_038",38,1,1.7,4.5
"OSBS_030_026",26,1,13.7,1.5
"OSBS_030_086",86,1,7.7,7.5
"OSBS_030_163",163,1,10.2,13.5
"OSBS_030_126",126,1,9.7,10.5
"OSBS_030_211",211,1,16.2,16.5
"OSBS_030_186",186,1,3.7,16.5
"OSBS_030_081",81,1,5.2,7.5
"OSBS_030_052",52,1,8.7,4.5
"OSBS_030_012",12,1,6.7,1.5
"OSBS_030_094",94,1,11.7,7.5
"OSBS_030_097",97,1,13.2,7.5
"OSBS_030_169",169,1,13.2,13.5
"OSBS_030_023",23,1,12.2,1.5
"OSBS_030_208",208,1,14.7,16.5
"OSBS_030_147",147,1,2.2,13.5
"OSBS_030_132",132,1,12.7,10.5
"OSBS_030_118",118,1,5.7,10.5
"OSBS_030_077",77,1,3.2,7.5
"OSBS_030_133",133,1,13.2,10.5
"OSBS_030_008",8,1,4.7,1.5
"OSBS_030_196",196,1,8.7,16.5
"OSBS_030_198",198,1,9.7,16.5
"OSBS_030_119",119,1,6.2,10.5
"OSBS_030_145",145,1,1.2,13.5
"OSBS_030_203",203,1,12.2,16.5
"OSBS_030_095",95,1,12.2,7.5
"OSBS_030_111",111,1,2.2,10.5
"OSBS_030_112",112,1,2.7,10.5
"OSBS_030_074",74,1,1.7,7.5
"OSBS_030_083",83,1,6.2,7.5
"OSBS_030_009",9,1,5.2,1.5
"OSBS_030_150",150,1,3.7,13.5
"OSBS_030_146",146,1,1.7,13.5
"OSBS_030_096",96,1,12.7,7.5
"OSBS_030_108",108,1,18.7,7.5
"OSBS_030_134",134,1,13.7,10.5
"OSBS_030_207",207,1,14.2,16.5
"OSBS_030_061",61,1,13.2,4.5
"OSBS_030_117",117,1,5.2,10.5
"OSBS_030_042",42,1,3.7,4.5
"OSBS_030_125",125,1,9.2,10.5
"OSBS_030_188",188,1,4.7,16.5
"OSBS_030_179",179,1,18.2,13.5
"OSBS_030_037",37,1,1.2,4.5
"OSBS_030_105",105,1,17.2,7.5
"OSBS_030_144",144,1,18.7,10.5
"OSBS_030_054",54,1,9.7,4.5
"OSBS_030_172",172,1,14.7,13.5
"OSBS_030_098",98,1,13.7,7.5
"OSBS_030_030",30,1,15.7,1.5
"OSBS_030_024",24,1,12.7,1.5
"OSBS_030_199",199,1,10.2,16.5
"OSBS_030_084",84,1,6.7,7.5
"OSBS_030_018",18,1,9.7,1.5
"OSBS_030_180",180,1,18.7,13.5
"OSBS_030_202",202,1,11.7,16.5
"OSBS_030_025",25,1,13.2,1.5
"OSBS_030_013",13,1,7.2,1.5
"OSBS_030_193",193,1,7.2,16.5
"OSBS_030_046",46,1,5.7,4.5
"OSBS_030_109",109,1,1.2,10.5
"OSBS_030_078",78,1,3.7,7.5
"OSBS_030_135",135,1,14.2,10.5
"OSBS_030_157",157,1,7.2,13.5
"OSBS_030_062",62,1,13.7,4.5
"OSBS_030_007",7,1,4.2,1.5
"OSBS_030_099",99,1,14.2,7.5
"OSBS_030_189",189,1,5.2,16.5
"OSBS_030_121",121,1,7.2,10.5
"OSBS_030_122",122,1,7.7,10.5
"OSBS_030_017",17,1,9.2,1.5
"OSBS_030_181",181,1,1.2,16.5
"OSBS_030_093",93,1,11.2,7.5
"OSBS_030_073",73,1,1.2,7.5
"OSBS_030_029",29,1,15.2,1.5
"OSBS_030_102",102,1,15.7,7.5
"OSBS_030_087",87,1,8.2,7.5
"OSBS_030_152",152,1,4.7,13.5
"OSBS_030_101",101,1,15.2,7.5
"OSBS_030_165",165,1,11.2,13.5
"OSBS_030_051",51,1,8.2,4.5
"OSBS_030_160",160,1,8.7,13.5
"OSBS_030_174",174,1,15.7,13.5
"OSBS_030_034",34,1,17.7,1.5
"OSBS_030_175",175,1,16.2,13.5
"OSBS_030_148",148,1,2.7,13.5
"OSBS_030_187",187,1,4.2,16.5
"OSBS_030_082",82,1,5.7,7.5
"OSBS_030_141",141,1,17.2,10.5
"OSBS_030_070",70,1,17.7,4.5
"OSBS_030_053",53,1,9.2,4.5
"OSBS_030_050",50,1,7.7,4.5
"OSBS_030_139",139,1,16.2,10.5
"OSBS_030_166",166,1,11.7,13.5
"OSBS_030_197",197,1,9.2,16.5
"OSBS_030_028",28,1,14.7,1.5
"OSBS_030_190",190,1,5.7,16.5
"OSBS_030_194",194,1,7.7,16.5
"OSBS_030_068",68,1,16.7,4.5
"OSBS_030_209",209,1,15.2,16.5
"OSBS_030_136",136,1,14.7,10.5
"OSBS_030_171",171,1,14.2,13.5
"OSBS_030_035",35,1,18.2,1.5
"OSBS_030_058",58,1,11.7,4.5
"OSBS_030_173",173,1,15.2,13.5
"OSBS_030_092",92,1,10.7,7.5
"OSBS_030_043",43,1,4.2,4.5
"OSBS_030_184",184,1,2.7,16.5
"OSBS_030_100",100,1,14.7,7.5
"OSBS_030_036",36,1,18.7,1.5
"OSBS_030_048",48,1,6.7,4.5
"OSBS_030_049",49,1,7.2,4.5
"OSBS_030_064",64,1,14.7,4.5
"OSBS_030_089",89,1,9.2,7.5
"OSBS_030_151",151,1,4.2,13.5
"OSBS_030_040",40,1,2.7,4.5
"OSBS_030_183",183,1,2.2,16.5
"OSBS_030_066",66,1,15.7,4.5
"OSBS_030_006",6,1,3.7,1.5
"OSBS_030_106",106,1,17.7,7.5
"OSBS_030_182",182,1,1.7,16.5
"OSBS_030_047",47,1,6.2,4.5
"OSBS_030_060",60,1,12.7,4.5
"OSBS_030_153",153,1,5.2,13.5
"OSBS_030_127",127,1,10.2,10.5
"OSBS_030_164",164,1,10.7,13.5
"OSBS_030_123",123,1,8.2,10.5
"OSBS_030_055",55,1,10.2,4.5
"OSBS_030_192",192,1,6.7,16.5
"OSBS_030_154",154,1,5.7,13.5
"OSBS_030_142",142,1,17.7,10.5
"OSBS_030_056",56,1,10.7,4.5
"OSBS_030_015",15,1,8.2,1.5
"OSBS_030_124",124,1,8.7,10.5
"OSBS_030_191",191,1,6.2,16.5
"OSBS_030_120",120,1,6.7,10.5
"OSBS_030_115",115,1,4.2,10.5
"OSBS_030_010",10,1,5.7,1.5
"OSBS_030_022",22,1,11.7,1.5
"OSBS_030_130",130,1,11.7,10.5
"OSBS_030_090",90,1,9.7,7.5
"OSBS_030_065",65,1,15.2,4.5
"OSBS_030_039",39,1,2.2,4.5
"OSBS_030_016",16,1,8.7,1.5
