"clip_ID","grid_ID","x_coord","y_coord"
"STER_016_047",47,6.2,4.5
"STER_016_190",190,5.7,16.5
"STER_016_015",15,8.2,1.5
"STER_016_201",201,11.2,16.5
"STER_016_063",63,14.2,4.5
"STER_016_205",205,13.2,16.5
"STER_016_134",134,13.7,10.5
"STER_016_178",178,17.7,13.5
"STER_016_157",157,7.2,13.5
"STER_016_188",188,4.7,16.5
"STER_016_194",194,7.7,16.5
"STER_016_028",28,14.7,1.5
"STER_016_138",138,15.7,10.5
"STER_016_150",150,3.7,13.5
"STER_016_013",13,7.2,1.5
"STER_016_176",176,16.7,13.5
"STER_016_059",59,12.2,4.5
"STER_016_070",70,17.7,4.5
"STER_016_115",115,4.2,10.5
"STER_016_173",173,15.2,13.5
"STER_016_162",162,9.7,13.5
"STER_016_025",25,13.2,1.5
"STER_016_170",170,13.7,13.5
"STER_016_042",42,3.7,4.5
"STER_016_155",155,6.2,13.5
"STER_016_186",186,3.7,16.5
"STER_016_199",199,10.2,16.5
"STER_016_204",204,12.7,16.5
"STER_016_141",141,17.2,10.5
"STER_016_103",103,16.2,7.5
"STER_016_067",67,16.2,4.5
"STER_016_062",62,13.7,4.5
"STER_016_146",146,1.7,13.5
"STER_016_120",120,6.7,10.5
"STER_016_077",77,3.2,7.5
"STER_016_164",164,10.7,13.5
"STER_016_119",119,6.2,10.5
"STER_016_080",80,4.7,7.5
"STER_016_124",124,8.7,10.5
"STER_016_156",156,6.7,13.5
"STER_016_041",41,3.2,4.5
"STER_016_006",6,3.7,1.5
"STER_016_187",187,4.2,16.5
"STER_016_102",102,15.7,7.5
"STER_016_123",123,8.2,10.5
"STER_016_051",51,8.2,4.5
"STER_016_171",171,14.2,13.5
"STER_016_148",148,2.7,13.5
"STER_016_189",189,5.2,16.5
"STER_016_166",166,11.7,13.5
"STER_016_175",175,16.2,13.5
"STER_016_101",101,15.2,7.5
"STER_016_167",167,12.2,13.5
"STER_016_191",191,6.2,16.5
"STER_016_057",57,11.2,4.5
"STER_016_020",20,10.7,1.5
"STER_016_207",207,14.2,16.5
"STER_016_203",203,12.2,16.5
"STER_016_079",79,4.2,7.5
"STER_016_052",52,8.7,4.5
"STER_016_018",18,9.7,1.5
"STER_016_074",74,1.7,7.5
"STER_016_091",91,10.2,7.5
"STER_016_179",179,18.2,13.5
"STER_016_122",122,7.7,10.5
"STER_016_142",142,17.7,10.5
"STER_016_045",45,5.2,4.5
"STER_016_174",174,15.7,13.5
"STER_016_172",172,14.7,13.5
"STER_016_055",55,10.2,4.5
"STER_016_099",99,14.2,7.5
"STER_016_040",40,2.7,4.5
"STER_016_196",196,8.7,16.5
"STER_016_149",149,3.2,13.5
"STER_016_083",83,6.2,7.5
"STER_016_081",81,5.2,7.5
"STER_016_021",21,11.2,1.5
"STER_016_066",66,15.7,4.5
"STER_016_147",147,2.2,13.5
"STER_016_069",69,17.2,4.5
"STER_016_169",169,13.2,13.5
"STER_016_073",73,1.2,7.5
"STER_016_163",163,10.2,13.5
"STER_016_139",139,16.2,10.5
"STER_016_007",7,4.2,1.5
"STER_016_024",24,12.7,1.5
"STER_016_126",126,9.7,10.5
"STER_016_026",26,13.7,1.5
"STER_016_098",98,13.7,7.5
"STER_016_159",159,8.2,13.5
"STER_016_154",154,5.7,13.5
"STER_016_082",82,5.7,7.5
"STER_016_192",192,6.7,16.5
"STER_016_054",54,9.7,4.5
"STER_016_206",206,13.7,16.5
"STER_016_200",200,10.7,16.5
"STER_016_011",11,6.2,1.5
"STER_016_017",17,9.2,1.5
"STER_016_140",140,16.7,10.5
"STER_016_076",76,2.7,7.5
"STER_016_210",210,15.7,16.5
"STER_016_135",135,14.2,10.5
"STER_016_093",93,11.2,7.5
"STER_016_014",14,7.7,1.5
"STER_016_031",31,16.2,1.5
"STER_016_125",125,9.2,10.5
"STER_016_100",100,14.7,7.5
"STER_016_208",208,14.7,16.5
"STER_016_094",94,11.7,7.5
"STER_016_038",38,1.7,4.5
"STER_016_153",153,5.2,13.5
"STER_016_049",49,7.2,4.5
"STER_016_158",158,7.7,13.5
"STER_016_116",116,4.7,10.5
"STER_016_075",75,2.2,7.5
"STER_016_096",96,12.7,7.5
"STER_016_030",30,15.7,1.5
"STER_016_152",152,4.7,13.5
"STER_016_165",165,11.2,13.5
"STER_016_202",202,11.7,16.5
"STER_016_010",10,5.7,1.5
"STER_016_023",23,12.2,1.5
"STER_016_029",29,15.2,1.5
"STER_016_177",177,17.2,13.5
"STER_016_121",121,7.2,10.5
"STER_016_068",68,16.7,4.5
"STER_016_198",198,9.7,16.5
"STER_016_168",168,12.7,13.5
"STER_016_136",136,14.7,10.5
"STER_016_193",193,7.2,16.5
"STER_016_072",72,18.7,4.5
"STER_016_022",22,11.7,1.5
"STER_016_097",97,13.2,7.5
"STER_016_197",197,9.2,16.5
"STER_016_195",195,8.2,16.5
"STER_016_050",50,7.7,4.5
"STER_016_037",37,1.2,4.5
"STER_016_095",95,12.2,7.5
"STER_016_065",65,15.2,4.5
"STER_016_009",9,5.2,1.5
"STER_016_144",144,18.7,10.5
"STER_016_117",117,5.2,10.5
"STER_016_044",44,4.7,4.5
"STER_016_137",137,15.2,10.5
"STER_016_008",8,4.7,1.5
"STER_016_180",180,18.7,13.5
"STER_016_209",209,15.2,16.5
"STER_016_061",61,13.2,4.5
"STER_016_060",60,12.7,4.5
"STER_016_145",145,1.2,13.5
"STER_016_161",161,9.2,13.5
"STER_016_039",39,2.2,4.5
"STER_016_058",58,11.7,4.5
"STER_016_048",48,6.7,4.5
"STER_016_211",211,16.2,16.5
"STER_016_016",16,8.7,1.5
"STER_016_114",114,3.7,10.5
"STER_016_046",46,5.7,4.5
"STER_016_012",12,6.7,1.5
"STER_016_019",19,10.2,1.5
"STER_016_143",143,18.2,10.5
"STER_016_071",71,18.2,4.5
"STER_016_027",27,14.2,1.5
"STER_016_053",53,9.2,4.5
"STER_016_118",118,5.7,10.5
"STER_016_078",78,3.7,7.5
"STER_016_092",92,10.7,7.5
"STER_016_064",64,14.7,4.5
"STER_016_151",151,4.2,13.5
"STER_016_043",43,4.2,4.5
"STER_016_160",160,8.7,13.5
"STER_016_056",56,10.7,4.5
