"clipID","subplotID","xCoord","yCoord","status","date"
"BART_051_201",21,11.2,16.5,"",""
"BART_051_159",21,8.2,13.5,"",""
"BART_051_020",21,10.7,1.5,"",""
"BART_051_035",21,18.2,1.5,"",""
"BART_051_080",21,4.7,7.5,"",""
"BART_051_024",21,12.7,1.5,"",""
"BART_051_126",21,9.7,10.5,"",""
"BART_051_191",21,6.2,16.5,"",""
"BART_051_083",21,6.2,7.5,"",""
"BART_051_161",21,9.2,13.5,"",""
"BART_051_193",21,7.2,16.5,"",""
"BART_051_050",21,7.7,4.5,"",""
"BART_051_058",21,11.7,4.5,"",""
"BART_051_060",21,12.7,4.5,"",""
"BART_051_032",21,16.7,1.5,"",""
"BART_051_102",21,15.7,7.5,"",""
"BART_051_054",21,9.7,4.5,"",""
"BART_051_196",21,8.7,16.5,"",""
"BART_051_018",21,9.7,1.5,"",""
"BART_051_154",21,5.7,13.5,"",""
"BART_051_025",21,13.2,1.5,"",""
"BART_051_128",21,10.7,10.5,"",""
"BART_051_173",21,15.2,13.5,"",""
"BART_051_009",21,5.2,1.5,"",""
"BART_051_087",21,8.2,7.5,"",""
"BART_051_082",21,5.7,7.5,"",""
"BART_051_162",21,9.7,13.5,"",""
"BART_051_147",21,2.2,13.5,"",""
"BART_051_151",21,4.2,13.5,"",""
"BART_051_127",21,10.2,10.5,"",""
"BART_051_195",21,8.2,16.5,"",""
"BART_051_200",21,10.7,16.5,"",""
"BART_051_208",21,14.7,16.5,"",""
"BART_051_116",21,4.7,10.5,"",""
"BART_051_164",21,10.7,13.5,"",""
"BART_051_064",21,14.7,4.5,"",""
"BART_051_136",21,14.7,10.5,"",""
"BART_051_124",21,8.7,10.5,"",""
"BART_051_099",21,14.2,7.5,"",""
"BART_051_183",21,2.2,16.5,"",""
"BART_051_187",21,4.2,16.5,"",""
"BART_051_084",21,6.7,7.5,"",""
"BART_051_142",21,17.7,10.5,"",""
"BART_051_056",21,10.7,4.5,"",""
"BART_051_094",21,11.7,7.5,"",""
"BART_051_021",21,11.2,1.5,"",""
"BART_051_011",21,6.2,1.5,"",""
"BART_051_039",21,2.2,4.5,"",""
"BART_051_086",21,7.7,7.5,"",""
"BART_051_092",21,10.7,7.5,"",""
"BART_051_133",21,13.2,10.5,"",""
"BART_051_171",21,14.2,13.5,"",""
"BART_051_135",21,14.2,10.5,"",""
"BART_051_172",21,14.7,13.5,"",""
"BART_051_119",21,6.2,10.5,"",""
"BART_051_072",21,18.7,4.5,"",""
"BART_051_182",21,1.7,16.5,"",""
"BART_051_121",21,7.2,10.5,"",""
"BART_051_130",21,11.7,10.5,"",""
"BART_051_105",21,17.2,7.5,"",""
"BART_051_081",21,5.2,7.5,"",""
"BART_051_113",21,3.2,10.5,"",""
"BART_051_047",21,6.2,4.5,"",""
"BART_051_149",21,3.2,13.5,"",""
"BART_051_046",21,5.7,4.5,"",""
"BART_051_073",21,1.2,7.5,"",""
"BART_051_090",21,9.7,7.5,"",""
"BART_051_022",21,11.7,1.5,"",""
"BART_051_165",21,11.2,13.5,"",""
"BART_051_168",21,12.7,13.5,"",""
"BART_051_059",21,12.2,4.5,"",""
"BART_051_178",21,17.7,13.5,"",""
"BART_051_129",21,11.2,10.5,"",""
"BART_051_070",21,17.7,4.5,"",""
"BART_051_137",21,15.2,10.5,"",""
"BART_051_067",21,16.2,4.5,"",""
"BART_051_203",21,12.2,16.5,"",""
"BART_051_100",21,14.7,7.5,"",""
"BART_051_048",21,6.7,4.5,"",""
"BART_051_134",21,13.7,10.5,"",""
"BART_051_185",21,3.2,16.5,"",""
"BART_051_007",21,4.2,1.5,"",""
"BART_051_112",21,2.7,10.5,"",""
"BART_051_045",21,5.2,4.5,"",""
"BART_051_141",21,17.2,10.5,"",""
"BART_051_198",21,9.7,16.5,"",""
"BART_051_057",21,11.2,4.5,"",""
"BART_051_205",21,13.2,16.5,"",""
"BART_051_125",21,9.2,10.5,"",""
"BART_051_098",21,13.7,7.5,"",""
"BART_051_122",21,7.7,10.5,"",""
"BART_051_061",21,13.2,4.5,"",""
"BART_051_037",21,1.2,4.5,"",""
"BART_051_008",21,4.7,1.5,"",""
"BART_051_016",21,8.7,1.5,"",""
"BART_051_176",21,16.7,13.5,"",""
"BART_051_157",21,7.2,13.5,"",""
"BART_051_109",21,1.2,10.5,"",""
"BART_051_184",21,2.7,16.5,"",""
"BART_051_155",21,6.2,13.5,"",""
"BART_051_194",21,7.7,16.5,"",""
"BART_051_143",21,18.2,10.5,"",""
"BART_051_160",21,8.7,13.5,"",""
"BART_051_055",21,10.2,4.5,"",""
"BART_051_101",21,15.2,7.5,"",""
"BART_051_033",21,17.2,1.5,"",""
"BART_051_076",21,2.7,7.5,"",""
"BART_051_166",21,11.7,13.5,"",""
"BART_051_207",21,14.2,16.5,"",""
"BART_051_071",21,18.2,4.5,"",""
"BART_051_078",21,3.7,7.5,"",""
"BART_051_114",21,3.7,10.5,"",""
"BART_051_180",21,18.7,13.5,"",""
"BART_051_110",21,1.7,10.5,"",""
"BART_051_189",21,5.2,16.5,"",""
"BART_051_132",21,12.7,10.5,"",""
"BART_051_038",21,1.7,4.5,"",""
"BART_051_206",21,13.7,16.5,"",""
"BART_051_006",21,3.7,1.5,"",""
"BART_051_017",21,9.2,1.5,"",""
"BART_051_139",21,16.2,10.5,"",""
"BART_051_096",21,12.7,7.5,"",""
