"clipID","subplotID","xCoord","yCoord","status","eventDate"
"HARV_015_020",NA,10.7,1.5,"",""
"HARV_015_122",NA,7.7,10.5,"",""
"HARV_015_096",NA,12.7,7.5,"",""
"HARV_015_164",NA,10.7,13.5,"",""
"HARV_015_055",NA,10.2,4.5,"",""
"HARV_015_007",NA,4.2,1.5,"",""
"HARV_015_153",NA,5.2,13.5,"",""
"HARV_015_208",NA,14.7,16.5,"",""
"HARV_015_045",NA,5.2,4.5,"",""
"HARV_015_206",NA,13.7,16.5,"",""
"HARV_015_118",NA,5.7,10.5,"",""
"HARV_015_210",NA,15.7,16.5,"",""
"HARV_015_017",NA,9.2,1.5,"",""
"HARV_015_151",NA,4.2,13.5,"",""
"HARV_015_115",NA,4.2,10.5,"",""
"HARV_015_016",NA,8.7,1.5,"",""
"HARV_015_011",NA,6.2,1.5,"",""
"HARV_015_012",NA,6.7,1.5,"",""
"HARV_015_080",NA,4.7,7.5,"",""
"HARV_015_139",NA,16.2,10.5,"",""
"HARV_015_168",NA,12.7,13.5,"",""
"HARV_015_051",NA,8.2,4.5,"",""
"HARV_015_029",NA,15.2,1.5,"",""
"HARV_015_102",NA,15.7,7.5,"",""
"HARV_015_059",NA,12.2,4.5,"",""
"HARV_015_134",NA,13.7,10.5,"",""
"HARV_015_138",NA,15.7,10.5,"",""
"HARV_015_123",NA,8.2,10.5,"",""
"HARV_015_006",NA,3.7,1.5,"",""
"HARV_015_140",NA,16.7,10.5,"",""
"HARV_015_027",NA,14.2,1.5,"",""
"HARV_015_179",NA,18.2,13.5,"",""
"HARV_015_097",NA,13.2,7.5,"",""
"HARV_015_178",NA,17.7,13.5,"",""
"HARV_015_200",NA,10.7,16.5,"",""
"HARV_015_147",NA,2.2,13.5,"",""
"HARV_015_203",NA,12.2,16.5,"",""
"HARV_015_149",NA,3.2,13.5,"",""
"HARV_015_054",NA,9.7,4.5,"",""
"HARV_015_065",NA,15.2,4.5,"",""
"HARV_015_103",NA,16.2,7.5,"",""
"HARV_015_100",NA,14.7,7.5,"",""
"HARV_015_154",NA,5.7,13.5,"",""
"HARV_015_050",NA,7.7,4.5,"",""
"HARV_015_209",NA,15.2,16.5,"",""
"HARV_015_023",NA,12.2,1.5,"",""
"HARV_015_204",NA,12.7,16.5,"",""
"HARV_015_201",NA,11.2,16.5,"",""
"HARV_015_171",NA,14.2,13.5,"",""
"HARV_015_028",NA,14.7,1.5,"",""
"HARV_015_173",NA,15.2,13.5,"",""
"HARV_015_070",NA,17.7,4.5,"",""
"HARV_015_211",NA,16.2,16.5,"",""
"HARV_015_160",NA,8.7,13.5,"",""
"HARV_015_146",NA,1.7,13.5,"",""
"HARV_015_180",NA,18.7,13.5,"",""
"HARV_015_117",NA,5.2,10.5,"",""
"HARV_015_145",NA,1.2,13.5,"",""
"HARV_015_195",NA,8.2,16.5,"",""
"HARV_015_157",NA,7.2,13.5,"",""
"HARV_015_048",NA,6.7,4.5,"",""
"HARV_015_190",NA,5.7,16.5,"",""
"HARV_015_148",NA,2.7,13.5,"",""
"HARV_015_205",NA,13.2,16.5,"",""
"HARV_015_053",NA,9.2,4.5,"",""
"HARV_015_042",NA,3.7,4.5,"",""
"HARV_015_039",NA,2.2,4.5,"",""
"HARV_015_030",NA,15.7,1.5,"",""
"HARV_015_079",NA,4.2,7.5,"",""
"HARV_015_163",NA,10.2,13.5,"",""
"HARV_015_166",NA,11.7,13.5,"",""
"HARV_015_062",NA,13.7,4.5,"",""
"HARV_015_197",NA,9.2,16.5,"",""
"HARV_015_052",NA,8.7,4.5,"",""
"HARV_015_162",NA,9.7,13.5,"",""
"HARV_015_193",NA,7.2,16.5,"",""
"HARV_015_025",NA,13.2,1.5,"",""
"HARV_015_010",NA,5.7,1.5,"",""
"HARV_015_191",NA,6.2,16.5,"",""
"HARV_015_143",NA,18.2,10.5,"",""
"HARV_015_077",NA,3.2,7.5,"",""
"HARV_015_144",NA,18.7,10.5,"",""
"HARV_015_044",NA,4.7,4.5,"",""
"HARV_015_142",NA,17.7,10.5,"",""
"HARV_015_099",NA,14.2,7.5,"",""
"HARV_015_073",NA,1.2,7.5,"",""
"HARV_015_081",NA,5.2,7.5,"",""
"HARV_015_119",NA,6.2,10.5,"",""
"HARV_015_192",NA,6.7,16.5,"",""
"HARV_015_058",NA,11.7,4.5,"",""
"HARV_015_015",NA,8.2,1.5,"",""
"HARV_015_199",NA,10.2,16.5,"",""
"HARV_015_078",NA,3.7,7.5,"",""
"HARV_015_187",NA,4.2,16.5,"",""
"HARV_015_186",NA,3.7,16.5,"",""
"HARV_015_207",NA,14.2,16.5,"",""
