"clipID","subplotID","xCoord","yCoord","status","eventDate"
"HARV_038_618",39,5.7,10.5,"",""
"HARV_038_592",39,10.7,7.5,"",""
"HARV_038_540",39,2.7,4.5,"",""
"HARV_038_548",39,6.7,4.5,"",""
"HARV_038_706",39,13.7,16.5,"",""
"HARV_038_648",39,2.7,13.5,"",""
"HARV_038_546",39,5.7,4.5,"",""
"HARV_038_514",39,7.7,1.5,"",""
"HARV_038_641",39,17.2,10.5,"",""
"HARV_038_666",39,11.7,13.5,"",""
"HARV_038_559",39,12.2,4.5,"",""
"HARV_038_610",39,1.7,10.5,"",""
"HARV_038_632",39,12.7,10.5,"",""
"HARV_038_582",39,5.7,7.5,"",""
"HARV_038_660",39,8.7,13.5,"",""
"HARV_038_662",39,9.7,13.5,"",""
"HARV_038_557",39,11.2,4.5,"",""
"HARV_038_507",39,4.2,1.5,"",""
"HARV_038_521",39,11.2,1.5,"",""
"HARV_038_584",39,6.7,7.5,"",""
"HARV_038_649",39,3.2,13.5,"",""
"HARV_038_714",39,17.7,16.5,"",""
"HARV_038_508",39,4.7,1.5,"",""
"HARV_038_539",39,2.2,4.5,"",""
"HARV_038_697",39,9.2,16.5,"",""
"HARV_038_656",39,6.7,13.5,"",""
"HARV_038_623",39,8.2,10.5,"",""
"HARV_038_542",39,3.7,4.5,"",""
"HARV_038_572",39,18.7,4.5,"",""
"HARV_038_703",39,12.2,16.5,"",""
"HARV_038_692",39,6.7,16.5,"",""
"HARV_038_613",39,3.2,10.5,"",""
"HARV_038_552",39,8.7,4.5,"",""
"HARV_038_673",39,15.2,13.5,"",""
"HARV_038_672",39,14.7,13.5,"",""
"HARV_038_528",39,14.7,1.5,"",""
"HARV_038_713",39,17.2,16.5,"",""
"HARV_038_658",39,7.7,13.5,"",""
"HARV_038_512",39,6.7,1.5,"",""
"HARV_038_626",39,9.7,10.5,"",""
"HARV_038_605",39,17.2,7.5,"",""
"HARV_038_705",39,13.2,16.5,"",""
"HARV_038_590",39,9.7,7.5,"",""
"HARV_038_622",39,7.7,10.5,"",""
"HARV_038_529",39,15.2,1.5,"",""
"HARV_038_661",39,9.2,13.5,"",""
"HARV_038_644",39,18.7,10.5,"",""
"HARV_038_593",39,11.2,7.5,"",""
"HARV_038_525",39,13.2,1.5,"",""
"HARV_038_602",39,15.7,7.5,"",""
"HARV_038_646",39,1.7,13.5,"",""
"HARV_038_628",39,10.7,10.5,"",""
"HARV_038_625",39,9.2,10.5,"",""
"HARV_038_655",39,6.2,13.5,"",""
"HARV_038_596",39,12.7,7.5,"",""
"HARV_038_654",39,5.7,13.5,"",""
"HARV_038_575",39,2.2,7.5,"",""
"HARV_038_643",39,18.2,10.5,"",""
"HARV_038_549",39,7.2,4.5,"",""
"HARV_038_680",39,18.7,13.5,"",""
"HARV_038_537",39,1.2,4.5,"",""
"HARV_038_587",39,8.2,7.5,"",""
"HARV_038_518",39,9.7,1.5,"",""
"HARV_038_691",39,6.2,16.5,"",""
"HARV_038_523",39,12.2,1.5,"",""
"HARV_038_506",39,3.7,1.5,"",""
"HARV_038_586",39,7.7,7.5,"",""
"HARV_038_574",39,1.7,7.5,"",""
"HARV_038_647",39,2.2,13.5,"",""
"HARV_038_699",39,10.2,16.5,"",""
"HARV_038_603",39,16.2,7.5,"",""
"HARV_038_707",39,14.2,16.5,"",""
"HARV_038_634",39,13.7,10.5,"",""
"HARV_038_571",39,18.2,4.5,"",""
"HARV_038_677",39,17.2,13.5,"",""
"HARV_038_598",39,13.7,7.5,"",""
"HARV_038_627",39,10.2,10.5,"",""
"HARV_038_591",39,10.2,7.5,"",""
"HARV_038_630",39,11.7,10.5,"",""
"HARV_038_517",39,9.2,1.5,"",""
"HARV_038_607",39,18.2,7.5,"",""
"HARV_038_585",39,7.2,7.5,"",""
"HARV_038_624",39,8.7,10.5,"",""
"HARV_038_583",39,6.2,7.5,"",""
"HARV_038_645",39,1.2,13.5,"",""
"HARV_038_708",39,14.7,16.5,"",""
"HARV_038_564",39,14.7,4.5,"",""
"HARV_038_600",39,14.7,7.5,"",""
"HARV_038_702",39,11.7,16.5,"",""
"HARV_038_668",39,12.7,13.5,"",""
"HARV_038_516",39,8.7,1.5,"",""
"HARV_038_553",39,9.2,4.5,"",""
"HARV_038_688",39,4.7,16.5,"",""
"HARV_038_580",39,4.7,7.5,"",""
"HARV_038_597",39,13.2,7.5,"",""
"HARV_038_589",39,9.2,7.5,"",""
"HARV_038_562",39,13.7,4.5,"",""
"HARV_038_687",39,4.2,16.5,"",""
"HARV_038_612",39,2.7,10.5,"",""
"HARV_038_689",39,5.2,16.5,"",""
"HARV_038_538",39,1.7,4.5,"",""
"HARV_038_631",39,12.2,10.5,"",""
"HARV_038_544",39,4.7,4.5,"",""
"HARV_038_698",39,9.7,16.5,"",""
"HARV_038_588",39,8.7,7.5,"",""
"HARV_038_543",39,4.2,4.5,"",""
"HARV_038_664",39,10.7,13.5,"",""
"HARV_038_558",39,11.7,4.5,"",""
"HARV_038_639",39,16.2,10.5,"",""
"HARV_038_551",39,8.2,4.5,"",""
"HARV_038_671",39,14.2,13.5,"",""
"HARV_038_555",39,10.2,4.5,"",""
"HARV_038_716",39,18.7,16.5,"",""
"HARV_038_665",39,11.2,13.5,"",""
"HARV_038_581",39,5.2,7.5,"",""
"HARV_038_604",39,16.7,7.5,"",""
"HARV_038_653",39,5.2,13.5,"",""
"HARV_038_577",39,3.2,7.5,"",""
"HARV_038_709",39,15.2,16.5,"",""
"HARV_038_693",39,7.2,16.5,"",""
"HARV_038_510",39,5.7,1.5,"",""
"HARV_038_566",39,15.7,4.5,"",""
"HARV_038_629",39,11.2,10.5,"",""
"HARV_038_608",39,18.7,7.5,"",""
