"clipID","subplotID","xCoord","yCoord","status","date"
"SCBI_002_096",NA,12.7,7.5,"",""
"SCBI_002_140",NA,16.7,10.5,"",""
"SCBI_002_074",NA,1.7,7.5,"",""
"SCBI_002_075",NA,2.2,7.5,"",""
"SCBI_002_099",NA,14.2,7.5,"",""
"SCBI_002_118",NA,5.7,10.5,"",""
"SCBI_002_031",NA,16.2,1.5,"",""
"SCBI_002_059",NA,12.2,4.5,"",""
"SCBI_002_119",NA,6.2,10.5,"",""
"SCBI_002_208",NA,14.7,16.5,"",""
"SCBI_002_172",NA,14.7,13.5,"",""
"SCBI_002_037",NA,1.2,4.5,"",""
"SCBI_002_202",NA,11.7,16.5,"",""
"SCBI_002_192",NA,6.7,16.5,"",""
"SCBI_002_098",NA,13.7,7.5,"",""
"SCBI_002_167",NA,12.2,13.5,"",""
"SCBI_002_142",NA,17.7,10.5,"",""
"SCBI_002_066",NA,15.7,4.5,"",""
"SCBI_002_052",NA,8.7,4.5,"",""
"SCBI_002_120",NA,6.7,10.5,"",""
"SCBI_002_017",NA,9.2,1.5,"",""
"SCBI_002_173",NA,15.2,13.5,"",""
"SCBI_002_007",NA,4.2,1.5,"",""
"SCBI_002_030",NA,15.7,1.5,"",""
"SCBI_002_082",NA,5.7,7.5,"",""
"SCBI_002_093",NA,11.2,7.5,"",""
"SCBI_002_156",NA,6.7,13.5,"",""
"SCBI_002_169",NA,13.2,13.5,"",""
"SCBI_002_023",NA,12.2,1.5,"",""
"SCBI_002_139",NA,16.2,10.5,"",""
"SCBI_002_151",NA,4.2,13.5,"",""
"SCBI_002_094",NA,11.7,7.5,"",""
"SCBI_002_150",NA,3.7,13.5,"",""
"SCBI_002_060",NA,12.7,4.5,"",""
"SCBI_002_161",NA,9.2,13.5,"",""
"SCBI_002_100",NA,14.7,7.5,"",""
"SCBI_002_143",NA,18.2,10.5,"",""
"SCBI_002_201",NA,11.2,16.5,"",""
"SCBI_002_041",NA,3.2,4.5,"",""
"SCBI_002_195",NA,8.2,16.5,"",""
"SCBI_002_012",NA,6.7,1.5,"",""
"SCBI_002_062",NA,13.7,4.5,"",""
"SCBI_002_163",NA,10.2,13.5,"",""
"SCBI_002_159",NA,8.2,13.5,"",""
"SCBI_002_103",NA,16.2,7.5,"",""
"SCBI_002_021",NA,11.2,1.5,"",""
"SCBI_002_198",NA,9.7,16.5,"",""
"SCBI_002_079",NA,4.2,7.5,"",""
"SCBI_002_210",NA,15.7,16.5,"",""
"SCBI_002_121",NA,7.2,10.5,"",""
"SCBI_002_168",NA,12.7,13.5,"",""
"SCBI_002_051",NA,8.2,4.5,"",""
"SCBI_002_068",NA,16.7,4.5,"",""
"SCBI_002_065",NA,15.2,4.5,"",""
"SCBI_002_078",NA,3.7,7.5,"",""
"SCBI_002_165",NA,11.2,13.5,"",""
"SCBI_002_058",NA,11.7,4.5,"",""
"SCBI_002_162",NA,9.7,13.5,"",""
"SCBI_002_200",NA,10.7,16.5,"",""
"SCBI_002_010",NA,5.7,1.5,"",""
"SCBI_002_145",NA,1.2,13.5,"",""
"SCBI_002_026",NA,13.7,1.5,"",""
"SCBI_002_152",NA,4.7,13.5,"",""
"SCBI_002_027",NA,14.2,1.5,"",""
"SCBI_002_115",NA,4.2,10.5,"",""
"SCBI_002_020",NA,10.7,1.5,"",""
"SCBI_002_050",NA,7.7,4.5,"",""
"SCBI_002_164",NA,10.7,13.5,"",""
"SCBI_002_044",NA,4.7,4.5,"",""
"SCBI_002_123",NA,8.2,10.5,"",""
"SCBI_002_064",NA,14.7,4.5,"",""
"SCBI_002_067",NA,16.2,4.5,"",""
"SCBI_002_136",NA,14.7,10.5,"",""
"SCBI_002_028",NA,14.7,1.5,"",""
"SCBI_002_125",NA,9.2,10.5,"",""
"SCBI_002_008",NA,4.7,1.5,"",""
"SCBI_002_061",NA,13.2,4.5,"",""
"SCBI_002_116",NA,4.7,10.5,"",""
"SCBI_002_102",NA,15.7,7.5,"",""
"SCBI_002_101",NA,15.2,7.5,"",""
"SCBI_002_016",NA,8.7,1.5,"",""
"SCBI_002_077",NA,3.2,7.5,"",""
"SCBI_002_095",NA,12.2,7.5,"",""
"SCBI_002_171",NA,14.2,13.5,"",""
"SCBI_002_046",NA,5.7,4.5,"",""
"SCBI_002_047",NA,6.2,4.5,"",""
"SCBI_002_193",NA,7.2,16.5,"",""
"SCBI_002_155",NA,6.2,13.5,"",""
"SCBI_002_097",NA,13.2,7.5,"",""
"SCBI_002_149",NA,3.2,13.5,"",""
"SCBI_002_009",NA,5.2,1.5,"",""
"SCBI_002_126",NA,9.7,10.5,"",""
"SCBI_002_076",NA,2.7,7.5,"",""
"SCBI_002_180",NA,18.7,13.5,"",""
"SCBI_002_146",NA,1.7,13.5,"",""
"SCBI_002_013",NA,7.2,1.5,"",""
"SCBI_002_057",NA,11.2,4.5,"",""
"SCBI_002_141",NA,17.2,10.5,"",""
"SCBI_002_039",NA,2.2,4.5,"",""
"SCBI_002_053",NA,9.2,4.5,"",""
"SCBI_002_197",NA,9.2,16.5,"",""
"SCBI_002_042",NA,3.7,4.5,"",""
"SCBI_002_175",NA,16.2,13.5,"",""
"SCBI_002_176",NA,16.7,13.5,"",""
"SCBI_002_134",NA,13.7,10.5,"",""
"SCBI_002_025",NA,13.2,1.5,"",""
"SCBI_002_006",NA,3.7,1.5,"",""
"SCBI_002_153",NA,5.2,13.5,"",""
"SCBI_002_190",NA,5.7,16.5,"",""
"SCBI_002_015",NA,8.2,1.5,"",""
"SCBI_002_018",NA,9.7,1.5,"",""
"SCBI_002_038",NA,1.7,4.5,"",""
"SCBI_002_122",NA,7.7,10.5,"",""
"SCBI_002_160",NA,8.7,13.5,"",""
"SCBI_002_080",NA,4.7,7.5,"",""
"SCBI_002_179",NA,18.2,13.5,"",""
"SCBI_002_188",NA,4.7,16.5,"",""
"SCBI_002_207",NA,14.2,16.5,"",""
"SCBI_002_177",NA,17.2,13.5,"",""
"SCBI_002_209",NA,15.2,16.5,"",""
"SCBI_002_138",NA,15.7,10.5,"",""
"SCBI_002_019",NA,10.2,1.5,"",""
"SCBI_002_191",NA,6.2,16.5,"",""
"SCBI_002_056",NA,10.7,4.5,"",""
"SCBI_002_170",NA,13.7,13.5,"",""
"SCBI_002_091",NA,10.2,7.5,"",""
"SCBI_002_043",NA,4.2,4.5,"",""
"SCBI_002_189",NA,5.2,16.5,"",""
"SCBI_002_011",NA,6.2,1.5,"",""
"SCBI_002_063",NA,14.2,4.5,"",""
"SCBI_002_199",NA,10.2,16.5,"",""
"SCBI_002_022",NA,11.7,1.5,"",""
"SCBI_002_114",NA,3.7,10.5,"",""
"SCBI_002_092",NA,10.7,7.5,"",""
"SCBI_002_205",NA,13.2,16.5,"",""
"SCBI_002_148",NA,2.7,13.5,"",""
"SCBI_002_166",NA,11.7,13.5,"",""
"SCBI_002_029",NA,15.2,1.5,"",""
"SCBI_002_196",NA,8.7,16.5,"",""
"SCBI_002_049",NA,7.2,4.5,"",""
"SCBI_002_069",NA,17.2,4.5,"",""
"SCBI_002_135",NA,14.2,10.5,"",""
"SCBI_002_024",NA,12.7,1.5,"",""
"SCBI_002_158",NA,7.7,13.5,"",""
"SCBI_002_154",NA,5.7,13.5,"",""
"SCBI_002_055",NA,10.2,4.5,"",""
"SCBI_002_147",NA,2.2,13.5,"",""
"SCBI_002_081",NA,5.2,7.5,"",""
"SCBI_002_040",NA,2.7,4.5,"",""
"SCBI_002_194",NA,7.7,16.5,"",""
"SCBI_002_083",NA,6.2,7.5,"",""
"SCBI_002_211",NA,16.2,16.5,"",""
"SCBI_002_045",NA,5.2,4.5,"",""
"SCBI_002_157",NA,7.2,13.5,"",""
"SCBI_002_203",NA,12.2,16.5,"",""
"SCBI_002_124",NA,8.7,10.5,"",""
"SCBI_002_204",NA,12.7,16.5,"",""
"SCBI_002_072",NA,18.7,4.5,"",""
"SCBI_002_054",NA,9.7,4.5,"",""
"SCBI_002_174",NA,15.7,13.5,"",""
"SCBI_002_070",NA,17.7,4.5,"",""
"SCBI_002_187",NA,4.2,16.5,"",""
"SCBI_002_073",NA,1.2,7.5,"",""
"SCBI_002_186",NA,3.7,16.5,"",""
"SCBI_002_117",NA,5.2,10.5,"",""
"SCBI_002_137",NA,15.2,10.5,"",""
"SCBI_002_048",NA,6.7,4.5,"",""
"SCBI_002_014",NA,7.7,1.5,"",""
"SCBI_002_206",NA,13.7,16.5,"",""
"SCBI_002_144",NA,18.7,10.5,"",""
"SCBI_002_071",NA,18.2,4.5,"",""
"SCBI_002_178",NA,17.7,13.5,"",""
