"clipID","subplotID","xCoord","yCoord","status","date"
"SCBI_063_198",21,9.7,16.5,"",""
"SCBI_063_008",21,4.7,1.5,"",""
"SCBI_063_122",21,7.7,10.5,"",""
"SCBI_063_053",21,9.2,4.5,"",""
"SCBI_063_011",21,6.2,1.5,"",""
"SCBI_063_160",21,8.7,13.5,"",""
"SCBI_063_133",21,13.2,10.5,"",""
"SCBI_063_171",21,14.2,13.5,"",""
"SCBI_063_068",21,16.7,4.5,"",""
"SCBI_063_163",21,10.2,13.5,"",""
"SCBI_063_031",21,16.2,1.5,"",""
"SCBI_063_018",21,9.7,1.5,"",""
"SCBI_063_083",21,6.2,7.5,"",""
"SCBI_063_107",21,18.2,7.5,"",""
"SCBI_063_179",21,18.2,13.5,"",""
"SCBI_063_187",21,4.2,16.5,"",""
"SCBI_063_012",21,6.7,1.5,"",""
"SCBI_063_093",21,11.2,7.5,"",""
"SCBI_063_145",21,1.2,13.5,"",""
"SCBI_063_152",21,4.7,13.5,"",""
"SCBI_063_086",21,7.7,7.5,"",""
"SCBI_063_138",21,15.7,10.5,"",""
"SCBI_063_140",21,16.7,10.5,"",""
"SCBI_063_109",21,1.2,10.5,"",""
"SCBI_063_007",21,4.2,1.5,"",""
"SCBI_063_183",21,2.2,16.5,"",""
"SCBI_063_170",21,13.7,13.5,"",""
"SCBI_063_084",21,6.7,7.5,"",""
"SCBI_063_142",21,17.7,10.5,"",""
"SCBI_063_116",21,4.7,10.5,"",""
"SCBI_063_048",21,6.7,4.5,"",""
"SCBI_063_150",21,3.7,13.5,"",""
"SCBI_063_110",21,1.7,10.5,"",""
"SCBI_063_036",21,18.7,1.5,"",""
"SCBI_063_178",21,17.7,13.5,"",""
"SCBI_063_181",21,1.2,16.5,"",""
"SCBI_063_098",21,13.7,7.5,"",""
"SCBI_063_108",21,18.7,7.5,"",""
"SCBI_063_028",21,14.7,1.5,"",""
"SCBI_063_141",21,17.2,10.5,"",""
"SCBI_063_176",21,16.7,13.5,"",""
"SCBI_063_128",21,10.7,10.5,"",""
"SCBI_063_085",21,7.2,7.5,"",""
"SCBI_063_024",21,12.7,1.5,"",""
"SCBI_063_132",21,12.7,10.5,"",""
"SCBI_063_155",21,6.2,13.5,"",""
"SCBI_063_164",21,10.7,13.5,"",""
"SCBI_063_034",21,17.7,1.5,"",""
"SCBI_063_037",21,1.2,4.5,"",""
"SCBI_063_196",21,8.7,16.5,"",""
"SCBI_063_126",21,9.7,10.5,"",""
"SCBI_063_060",21,12.7,4.5,"",""
"SCBI_063_123",21,8.2,10.5,"",""
"SCBI_063_092",21,10.7,7.5,"",""
"SCBI_063_115",21,4.2,10.5,"",""
"SCBI_063_091",21,10.2,7.5,"",""
"SCBI_063_075",21,2.2,7.5,"",""
"SCBI_063_087",21,8.2,7.5,"",""
"SCBI_063_074",21,1.7,7.5,"",""
"SCBI_063_017",21,9.2,1.5,"",""
"SCBI_063_201",21,11.2,16.5,"",""
"SCBI_063_208",21,14.7,16.5,"",""
"SCBI_063_077",21,3.2,7.5,"",""
"SCBI_063_195",21,8.2,16.5,"",""
"SCBI_063_016",21,8.7,1.5,"",""
"SCBI_063_166",21,11.7,13.5,"",""
"SCBI_063_117",21,5.2,10.5,"",""
"SCBI_063_064",21,14.7,4.5,"",""
"SCBI_063_144",21,18.7,10.5,"",""
"SCBI_063_135",21,14.2,10.5,"",""
"SCBI_063_173",21,15.2,13.5,"",""
"SCBI_063_027",21,14.2,1.5,"",""
"SCBI_063_136",21,14.7,10.5,"",""
"SCBI_063_162",21,9.7,13.5,"",""
"SCBI_063_023",21,12.2,1.5,"",""
"SCBI_063_019",21,10.2,1.5,"",""
"SCBI_063_054",21,9.7,4.5,"",""
"SCBI_063_210",21,15.7,16.5,"",""
"SCBI_063_096",21,12.7,7.5,"",""
"SCBI_063_045",21,5.2,4.5,"",""
"SCBI_063_103",21,16.2,7.5,"",""
"SCBI_063_059",21,12.2,4.5,"",""
"SCBI_063_125",21,9.2,10.5,"",""
"SCBI_063_200",21,10.7,16.5,"",""
"SCBI_063_058",21,11.7,4.5,"",""
"SCBI_063_044",21,4.7,4.5,"",""
"SCBI_063_090",21,9.7,7.5,"",""
"SCBI_063_165",21,11.2,13.5,"",""
"SCBI_063_112",21,2.7,10.5,"",""
"SCBI_063_149",21,3.2,13.5,"",""
"SCBI_063_209",21,15.2,16.5,"",""
"SCBI_063_073",21,1.2,7.5,"",""
"SCBI_063_137",21,15.2,10.5,"",""
"SCBI_063_101",21,15.2,7.5,"",""
"SCBI_063_013",21,7.2,1.5,"",""
"SCBI_063_072",21,18.7,4.5,"",""
"SCBI_063_055",21,10.2,4.5,"",""
"SCBI_063_105",21,17.2,7.5,"",""
"SCBI_063_038",21,1.7,4.5,"",""
"SCBI_063_062",21,13.7,4.5,"",""
"SCBI_063_050",21,7.7,4.5,"",""
"SCBI_063_015",21,8.2,1.5,"",""
"SCBI_063_185",21,3.2,16.5,"",""
"SCBI_063_199",21,10.2,16.5,"",""
"SCBI_063_119",21,6.2,10.5,"",""
"SCBI_063_100",21,14.7,7.5,"",""
"SCBI_063_065",21,15.2,4.5,"",""
"SCBI_063_168",21,12.7,13.5,"",""
"SCBI_063_153",21,5.2,13.5,"",""
"SCBI_063_113",21,3.2,10.5,"",""
"SCBI_063_066",21,15.7,4.5,"",""
"SCBI_063_203",21,12.2,16.5,"",""
"SCBI_063_022",21,11.7,1.5,"",""
"SCBI_063_207",21,14.2,16.5,"",""
"SCBI_063_046",21,5.7,4.5,"",""
"SCBI_063_099",21,14.2,7.5,"",""
"SCBI_063_197",21,9.2,16.5,"",""
"SCBI_063_134",21,13.7,10.5,"",""
"SCBI_063_095",21,12.2,7.5,"",""
"SCBI_063_032",21,16.7,1.5,"",""
"SCBI_063_194",21,7.7,16.5,"",""
"SCBI_063_069",21,17.2,4.5,"",""
"SCBI_063_088",21,8.7,7.5,"",""
