"clipID","subplotID","xCoord","yCoord","status","eventDate"
"DSNY_039_206",NA,13.7,16.5,"",""
"DSNY_039_122",NA,7.7,10.5,"",""
"DSNY_039_194",NA,7.7,16.5,"",""
"DSNY_039_119",NA,6.2,10.5,"",""
"DSNY_039_045",NA,5.2,4.5,"",""
"DSNY_039_062",NA,13.7,4.5,"",""
"DSNY_039_196",NA,8.7,16.5,"",""
"DSNY_039_029",NA,15.2,1.5,"",""
"DSNY_039_027",NA,14.2,1.5,"",""
"DSNY_039_116",NA,4.7,10.5,"",""
"DSNY_039_046",NA,5.7,4.5,"",""
"DSNY_039_080",NA,4.7,7.5,"",""
"DSNY_039_210",NA,15.7,16.5,"",""
"DSNY_039_048",NA,6.7,4.5,"",""
"DSNY_039_170",NA,13.7,13.5,"",""
"DSNY_039_190",NA,5.7,16.5,"",""
"DSNY_039_026",NA,13.7,1.5,"",""
"DSNY_039_145",NA,1.2,13.5,"",""
"DSNY_039_171",NA,14.2,13.5,"",""
"DSNY_039_059",NA,12.2,4.5,"",""
"DSNY_039_160",NA,8.7,13.5,"",""
"DSNY_039_173",NA,15.2,13.5,"",""
"DSNY_039_069",NA,17.2,4.5,"",""
"DSNY_039_066",NA,15.7,4.5,"",""
"DSNY_039_149",NA,3.2,13.5,"",""
"DSNY_039_152",NA,4.7,13.5,"",""
"DSNY_039_162",NA,9.7,13.5,"",""
"DSNY_039_007",NA,4.2,1.5,"",""
"DSNY_039_138",NA,15.7,10.5,"",""
"DSNY_039_146",NA,1.7,13.5,"",""
"DSNY_039_188",NA,4.7,16.5,"",""
"DSNY_039_058",NA,11.7,4.5,"",""
"DSNY_039_121",NA,7.2,10.5,"",""
"DSNY_039_161",NA,9.2,13.5,"",""
"DSNY_039_091",NA,10.2,7.5,"",""
"DSNY_039_189",NA,5.2,16.5,"",""
"DSNY_039_209",NA,15.2,16.5,"",""
"DSNY_039_191",NA,6.2,16.5,"",""
"DSNY_039_204",NA,12.7,16.5,"",""
"DSNY_039_070",NA,17.7,4.5,"",""
"DSNY_039_143",NA,18.2,10.5,"",""
"DSNY_039_063",NA,14.2,4.5,"",""
"DSNY_039_094",NA,11.7,7.5,"",""
"DSNY_039_203",NA,12.2,16.5,"",""
"DSNY_039_172",NA,14.7,13.5,"",""
"DSNY_039_009",NA,5.2,1.5,"",""
"DSNY_039_186",NA,3.7,16.5,"",""
"DSNY_039_060",NA,12.7,4.5,"",""
"DSNY_039_077",NA,3.2,7.5,"",""
"DSNY_039_193",NA,7.2,16.5,"",""
"DSNY_039_142",NA,17.7,10.5,"",""
"DSNY_039_167",NA,12.2,13.5,"",""
"DSNY_039_195",NA,8.2,16.5,"",""
"DSNY_039_156",NA,6.7,13.5,"",""
"DSNY_039_067",NA,16.2,4.5,"",""
"DSNY_039_073",NA,1.2,7.5,"",""
"DSNY_039_208",NA,14.7,16.5,"",""
"DSNY_039_118",NA,5.7,10.5,"",""
"DSNY_039_083",NA,6.2,7.5,"",""
"DSNY_039_014",NA,7.7,1.5,"",""
"DSNY_039_124",NA,8.7,10.5,"",""
"DSNY_039_151",NA,4.2,13.5,"",""
"DSNY_039_050",NA,7.7,4.5,"",""
"DSNY_039_123",NA,8.2,10.5,"",""
"DSNY_039_044",NA,4.7,4.5,"",""
"DSNY_039_021",NA,11.2,1.5,"",""
"DSNY_039_020",NA,10.7,1.5,"",""
"DSNY_039_074",NA,1.7,7.5,"",""
"DSNY_039_102",NA,15.7,7.5,"",""
"DSNY_039_017",NA,9.2,1.5,"",""
"DSNY_039_201",NA,11.2,16.5,"",""
"DSNY_039_139",NA,16.2,10.5,"",""
"DSNY_039_010",NA,5.7,1.5,"",""
"DSNY_039_157",NA,7.2,13.5,"",""
"DSNY_039_065",NA,15.2,4.5,"",""
"DSNY_039_154",NA,5.7,13.5,"",""
"DSNY_039_097",NA,13.2,7.5,"",""
"DSNY_039_159",NA,8.2,13.5,"",""
"DSNY_039_028",NA,14.7,1.5,"",""
