"clipID","subplotID","xCoord","yCoord","status","eventDate"
"DSNY_058_017",NA,9.2,1.5,"",""
"DSNY_058_147",NA,2.2,13.5,"",""
"DSNY_058_015",NA,8.2,1.5,"",""
"DSNY_058_081",NA,5.2,7.5,"",""
"DSNY_058_197",NA,9.2,16.5,"",""
"DSNY_058_153",NA,5.2,13.5,"",""
"DSNY_058_045",NA,5.2,4.5,"",""
"DSNY_058_190",NA,5.7,16.5,"",""
"DSNY_058_143",NA,18.2,10.5,"",""
"DSNY_058_079",NA,4.2,7.5,"",""
"DSNY_058_122",NA,7.7,10.5,"",""
"DSNY_058_117",NA,5.2,10.5,"",""
"DSNY_058_148",NA,2.7,13.5,"",""
"DSNY_058_072",NA,18.7,4.5,"",""
"DSNY_058_097",NA,13.2,7.5,"",""
"DSNY_058_062",NA,13.7,4.5,"",""
"DSNY_058_100",NA,14.7,7.5,"",""
"DSNY_058_091",NA,10.2,7.5,"",""
"DSNY_058_141",NA,17.2,10.5,"",""
"DSNY_058_144",NA,18.7,10.5,"",""
"DSNY_058_120",NA,6.7,10.5,"",""
"DSNY_058_061",NA,13.2,4.5,"",""
"DSNY_058_099",NA,14.2,7.5,"",""
"DSNY_058_200",NA,10.7,16.5,"",""
"DSNY_058_093",NA,11.2,7.5,"",""
"DSNY_058_206",NA,13.7,16.5,"",""
"DSNY_058_007",NA,4.2,1.5,"",""
"DSNY_058_064",NA,14.7,4.5,"",""
"DSNY_058_198",NA,9.7,16.5,"",""
"DSNY_058_030",NA,15.7,1.5,"",""
"DSNY_058_134",NA,13.7,10.5,"",""
"DSNY_058_124",NA,8.7,10.5,"",""
"DSNY_058_146",NA,1.7,13.5,"",""
"DSNY_058_026",NA,13.7,1.5,"",""
"DSNY_058_041",NA,3.2,4.5,"",""
"DSNY_058_083",NA,6.2,7.5,"",""
"DSNY_058_163",NA,10.2,13.5,"",""
"DSNY_058_018",NA,9.7,1.5,"",""
"DSNY_058_209",NA,15.2,16.5,"",""
"DSNY_058_013",NA,7.2,1.5,"",""
