"clipID","subplotID","xCoord","yCoord","status","eventDate"
"JERC_008_067",NA,16.2,4.5,"",""
"JERC_008_134",NA,13.7,10.5,"",""
"JERC_008_073",NA,1.2,7.5,"",""
"JERC_008_136",NA,14.7,10.5,"",""
"JERC_008_101",NA,15.2,7.5,"",""
"JERC_008_049",NA,7.2,4.5,"",""
"JERC_008_071",NA,18.2,4.5,"",""
"JERC_008_146",NA,1.7,13.5,"",""
"JERC_008_050",NA,7.7,4.5,"",""
"JERC_008_060",NA,12.7,4.5,"",""
"JERC_008_114",NA,3.7,10.5,"",""
"JERC_008_120",NA,6.7,10.5,"",""
"JERC_008_160",NA,8.7,13.5,"",""
"JERC_008_072",NA,18.7,4.5,"",""
"JERC_008_051",NA,8.2,4.5,"",""
"JERC_008_094",NA,11.7,7.5,"",""
"JERC_008_188",NA,4.7,16.5,"",""
"JERC_008_211",NA,16.2,16.5,"",""
"JERC_008_017",NA,9.2,1.5,"",""
"JERC_008_082",NA,5.7,7.5,"",""
"JERC_008_030",NA,15.7,1.5,"",""
"JERC_008_154",NA,5.7,13.5,"",""
"JERC_008_158",NA,7.7,13.5,"",""
"JERC_008_078",NA,3.7,7.5,"",""
"JERC_008_189",NA,5.2,16.5,"",""
"JERC_008_194",NA,7.7,16.5,"",""
"JERC_008_040",NA,2.7,4.5,"",""
"JERC_008_192",NA,6.7,16.5,"",""
"JERC_008_124",NA,8.7,10.5,"",""
"JERC_008_025",NA,13.2,1.5,"",""
"JERC_008_069",NA,17.2,4.5,"",""
"JERC_008_056",NA,10.7,4.5,"",""
"JERC_008_065",NA,15.2,4.5,"",""
"JERC_008_179",NA,18.2,13.5,"",""
"JERC_008_142",NA,17.7,10.5,"",""
"JERC_008_147",NA,2.2,13.5,"",""
"JERC_008_013",NA,7.2,1.5,"",""
"JERC_008_172",NA,14.7,13.5,"",""
"JERC_008_153",NA,5.2,13.5,"",""
"JERC_008_100",NA,14.7,7.5,"",""
"JERC_008_187",NA,4.2,16.5,"",""
"JERC_008_012",NA,6.7,1.5,"",""
"JERC_008_197",NA,9.2,16.5,"",""
"JERC_008_057",NA,11.2,4.5,"",""
"JERC_008_006",NA,3.7,1.5,"",""
"JERC_008_149",NA,3.2,13.5,"",""
"JERC_008_151",NA,4.2,13.5,"",""
"JERC_008_024",NA,12.7,1.5,"",""
"JERC_008_093",NA,11.2,7.5,"",""
"JERC_008_171",NA,14.2,13.5,"",""
"JERC_008_054",NA,9.7,4.5,"",""
"JERC_008_048",NA,6.7,4.5,"",""
"JERC_008_152",NA,4.7,13.5,"",""
"JERC_008_162",NA,9.7,13.5,"",""
"JERC_008_008",NA,4.7,1.5,"",""
"JERC_008_143",NA,18.2,10.5,"",""
"JERC_008_125",NA,9.2,10.5,"",""
"JERC_008_119",NA,6.2,10.5,"",""
"JERC_008_204",NA,12.7,16.5,"",""
"JERC_008_163",NA,10.2,13.5,"",""
"JERC_008_208",NA,14.7,16.5,"",""
"JERC_008_148",NA,2.7,13.5,"",""
"JERC_008_157",NA,7.2,13.5,"",""
"JERC_008_203",NA,12.2,16.5,"",""
"JERC_008_155",NA,6.2,13.5,"",""
"JERC_008_193",NA,7.2,16.5,"",""
"JERC_008_055",NA,10.2,4.5,"",""
"JERC_008_095",NA,12.2,7.5,"",""
"JERC_008_103",NA,16.2,7.5,"",""
"JERC_008_037",NA,1.2,4.5,"",""
"JERC_008_091",NA,10.2,7.5,"",""
"JERC_008_144",NA,18.7,10.5,"",""
"JERC_008_099",NA,14.2,7.5,"",""
"JERC_008_083",NA,6.2,7.5,"",""
"JERC_008_205",NA,13.2,16.5,"",""
"JERC_008_061",NA,13.2,4.5,"",""
"JERC_008_145",NA,1.2,13.5,"",""
"JERC_008_053",NA,9.2,4.5,"",""
"JERC_008_041",NA,3.2,4.5,"",""
"JERC_008_135",NA,14.2,10.5,"",""
"JERC_008_177",NA,17.2,13.5,"",""
"JERC_008_064",NA,14.7,4.5,"",""
"JERC_008_159",NA,8.2,13.5,"",""
"JERC_008_022",NA,11.7,1.5,"",""
"JERC_008_052",NA,8.7,4.5,"",""
"JERC_008_066",NA,15.7,4.5,"",""
"JERC_008_009",NA,5.2,1.5,"",""
"JERC_008_167",NA,12.2,13.5,"",""
"JERC_008_097",NA,13.2,7.5,"",""
"JERC_008_126",NA,9.7,10.5,"",""
"JERC_008_210",NA,15.7,16.5,"",""
"JERC_008_118",NA,5.7,10.5,"",""
"JERC_008_045",NA,5.2,4.5,"",""
"JERC_008_042",NA,3.7,4.5,"",""
"JERC_008_200",NA,10.7,16.5,"",""
"JERC_008_156",NA,6.7,13.5,"",""
"JERC_008_039",NA,2.2,4.5,"",""
"JERC_008_190",NA,5.7,16.5,"",""
"JERC_008_062",NA,13.7,4.5,"",""
"JERC_008_070",NA,17.7,4.5,"",""
"JERC_008_092",NA,10.7,7.5,"",""
"JERC_008_161",NA,9.2,13.5,"",""
"JERC_008_046",NA,5.7,4.5,"",""
"JERC_008_028",NA,14.7,1.5,"",""
"JERC_008_115",NA,4.2,10.5,"",""
"JERC_008_186",NA,3.7,16.5,"",""
"JERC_008_047",NA,6.2,4.5,"",""
"JERC_008_116",NA,4.7,10.5,"",""
"JERC_008_198",NA,9.7,16.5,"",""
