"clipID","subplotID","xCoord","yCoord","status","eventDate"
"JERC_065_694",39,7.7,16.5,"",""
"JERC_065_680",39,18.7,13.5,"",""
"JERC_065_670",39,13.7,13.5,"",""
"JERC_065_677",39,17.2,13.5,"",""
"JERC_065_602",39,15.7,7.5,"",""
"JERC_065_567",39,16.2,4.5,"",""
"JERC_065_569",39,17.2,4.5,"",""
"JERC_065_521",39,11.2,1.5,"",""
"JERC_065_623",39,8.2,10.5,"",""
"JERC_065_692",39,6.7,16.5,"",""
"JERC_065_566",39,15.7,4.5,"",""
"JERC_065_603",39,16.2,7.5,"",""
"JERC_065_580",39,4.7,7.5,"",""
"JERC_065_640",39,16.7,10.5,"",""
"JERC_065_679",39,18.2,13.5,"",""
"JERC_065_520",39,10.7,1.5,"",""
"JERC_065_587",39,8.2,7.5,"",""
"JERC_065_655",39,6.2,13.5,"",""
"JERC_065_530",39,15.7,1.5,"",""
"JERC_065_574",39,1.7,7.5,"",""
"JERC_065_513",39,7.2,1.5,"",""
"JERC_065_658",39,7.7,13.5,"",""
"JERC_065_651",39,4.2,13.5,"",""
"JERC_065_605",39,17.2,7.5,"",""
"JERC_065_606",39,17.7,7.5,"",""
"JERC_065_649",39,3.2,13.5,"",""
"JERC_065_639",39,16.2,10.5,"",""
"JERC_065_538",39,1.7,4.5,"",""
"JERC_065_610",39,1.7,10.5,"",""
"JERC_065_565",39,15.2,4.5,"",""
"JERC_065_550",39,7.7,4.5,"",""
"JERC_065_572",39,18.7,4.5,"",""
"JERC_065_673",39,15.2,13.5,"",""
"JERC_065_528",39,14.7,1.5,"",""
"JERC_065_652",39,4.7,13.5,"",""
"JERC_065_508",39,4.7,1.5,"",""
"JERC_065_665",39,11.2,13.5,"",""
"JERC_065_545",39,5.2,4.5,"",""
"JERC_065_544",39,4.7,4.5,"",""
"JERC_065_708",39,14.7,16.5,"",""
"JERC_065_709",39,15.2,16.5,"",""
"JERC_065_529",39,15.2,1.5,"",""
"JERC_065_644",39,18.7,10.5,"",""
"JERC_065_596",39,12.7,7.5,"",""
"JERC_065_653",39,5.2,13.5,"",""
"JERC_065_615",39,4.2,10.5,"",""
"JERC_065_597",39,13.2,7.5,"",""
"JERC_065_560",39,12.7,4.5,"",""
"JERC_065_666",39,11.7,13.5,"",""
"JERC_065_549",39,7.2,4.5,"",""
"JERC_065_662",39,9.7,13.5,"",""
"JERC_065_576",39,2.7,7.5,"",""
"JERC_065_583",39,6.2,7.5,"",""
"JERC_065_691",39,6.2,16.5,"",""
"JERC_065_537",39,1.2,4.5,"",""
"JERC_065_616",39,4.7,10.5,"",""
"JERC_065_517",39,9.2,1.5,"",""
"JERC_065_543",39,4.2,4.5,"",""
"JERC_065_523",39,12.2,1.5,"",""
"JERC_065_695",39,8.2,16.5,"",""
"JERC_065_541",39,3.2,4.5,"",""
"JERC_065_577",39,3.2,7.5,"",""
"JERC_065_712",39,16.7,16.5,"",""
"JERC_065_613",39,3.2,10.5,"",""
"JERC_065_663",39,10.2,13.5,"",""
"JERC_065_506",39,3.7,1.5,"",""
"JERC_065_578",39,3.7,7.5,"",""
"JERC_065_660",39,8.7,13.5,"",""
"JERC_065_672",39,14.7,13.5,"",""
"JERC_065_584",39,6.7,7.5,"",""
"JERC_065_510",39,5.7,1.5,"",""
"JERC_065_698",39,9.7,16.5,"",""
"JERC_065_612",39,2.7,10.5,"",""
"JERC_065_619",39,6.2,10.5,"",""
"JERC_065_688",39,4.7,16.5,"",""
"JERC_065_648",39,2.7,13.5,"",""
"JERC_065_611",39,2.2,10.5,"",""
"JERC_065_631",39,12.2,10.5,"",""
"JERC_065_686",39,3.7,16.5,"",""
"JERC_065_557",39,11.2,4.5,"",""
"JERC_065_661",39,9.2,13.5,"",""
"JERC_065_511",39,6.2,1.5,"",""
"JERC_065_586",39,7.7,7.5,"",""
"JERC_065_551",39,8.2,4.5,"",""
"JERC_065_706",39,13.7,16.5,"",""
"JERC_065_509",39,5.2,1.5,"",""
"JERC_065_601",39,15.2,7.5,"",""
"JERC_065_539",39,2.2,4.5,"",""
"JERC_065_553",39,9.2,4.5,"",""
"JERC_065_690",39,5.7,16.5,"",""
"JERC_065_675",39,16.2,13.5,"",""
"JERC_065_620",39,6.7,10.5,"",""
"JERC_065_571",39,18.2,4.5,"",""
"JERC_065_647",39,2.2,13.5,"",""
"JERC_065_591",39,10.2,7.5,"",""
"JERC_065_689",39,5.2,16.5,"",""
"JERC_065_627",39,10.2,10.5,"",""
"JERC_065_568",39,16.7,4.5,"",""
"JERC_065_714",39,17.7,16.5,"",""
"JERC_065_581",39,5.2,7.5,"",""
"JERC_065_707",39,14.2,16.5,"",""
"JERC_065_702",39,11.7,16.5,"",""
"JERC_065_701",39,11.2,16.5,"",""
"JERC_065_678",39,17.7,13.5,"",""
"JERC_065_527",39,14.2,1.5,"",""
"JERC_065_542",39,3.7,4.5,"",""
"JERC_065_507",39,4.2,1.5,"",""
"JERC_065_604",39,16.7,7.5,"",""
"JERC_065_634",39,13.7,10.5,"",""
"JERC_065_650",39,3.7,13.5,"",""
"JERC_065_711",39,16.2,16.5,"",""
"JERC_065_518",39,9.7,1.5,"",""
"JERC_065_700",39,10.7,16.5,"",""
"JERC_065_531",39,16.2,1.5,"",""
"JERC_065_592",39,10.7,7.5,"",""
"JERC_065_703",39,12.2,16.5,"",""
"JERC_065_696",39,8.7,16.5,"",""
"JERC_065_643",39,18.2,10.5,"",""
"JERC_065_687",39,4.2,16.5,"",""
"JERC_065_590",39,9.7,7.5,"",""
