"clipID","subplotID","xCoord","yCoord","status","eventDate"
"OSBS_041_641",39,17.2,10.5,"",""
"OSBS_041_531",39,16.2,1.5,"",""
"OSBS_041_543",39,4.2,4.5,"",""
"OSBS_041_515",39,8.2,1.5,"",""
"OSBS_041_623",39,8.2,10.5,"",""
"OSBS_041_540",39,2.7,4.5,"",""
"OSBS_041_547",39,6.2,4.5,"",""
"OSBS_041_577",39,3.2,7.5,"",""
"OSBS_041_572",39,18.7,4.5,"",""
"OSBS_041_553",39,9.2,4.5,"",""
"OSBS_041_548",39,6.7,4.5,"",""
"OSBS_041_651",39,4.2,13.5,"",""
"OSBS_041_671",39,14.2,13.5,"",""
"OSBS_041_604",39,16.7,7.5,"",""
"OSBS_041_529",39,15.2,1.5,"",""
"OSBS_041_618",39,5.7,10.5,"",""
"OSBS_041_516",39,8.7,1.5,"",""
"OSBS_041_633",39,13.2,10.5,"",""
"OSBS_041_588",39,8.7,7.5,"",""
"OSBS_041_675",39,16.2,13.5,"",""
"OSBS_041_709",39,15.2,16.5,"",""
"OSBS_041_660",39,8.7,13.5,"",""
"OSBS_041_667",39,12.2,13.5,"",""
"OSBS_041_542",39,3.7,4.5,"",""
"OSBS_041_579",39,4.2,7.5,"",""
"OSBS_041_630",39,11.7,10.5,"",""
"OSBS_041_513",39,7.2,1.5,"",""
"OSBS_041_546",39,5.7,4.5,"",""
"OSBS_041_649",39,3.2,13.5,"",""
"OSBS_041_597",39,13.2,7.5,"",""
"OSBS_041_654",39,5.7,13.5,"",""
"OSBS_041_621",39,7.2,10.5,"",""
"OSBS_041_569",39,17.2,4.5,"",""
"OSBS_041_711",39,16.2,16.5,"",""
"OSBS_041_629",39,11.2,10.5,"",""
"OSBS_041_690",39,5.7,16.5,"",""
"OSBS_041_512",39,6.7,1.5,"",""
"OSBS_041_598",39,13.7,7.5,"",""
"OSBS_041_582",39,5.7,7.5,"",""
"OSBS_041_707",39,14.2,16.5,"",""
"OSBS_041_607",39,18.2,7.5,"",""
"OSBS_041_665",39,11.2,13.5,"",""
"OSBS_041_554",39,9.7,4.5,"",""
"OSBS_041_558",39,11.7,4.5,"",""
"OSBS_041_705",39,13.2,16.5,"",""
"OSBS_041_603",39,16.2,7.5,"",""
"OSBS_041_677",39,17.2,13.5,"",""
"OSBS_041_643",39,18.2,10.5,"",""
"OSBS_041_669",39,13.2,13.5,"",""
"OSBS_041_602",39,15.7,7.5,"",""
"OSBS_041_655",39,6.2,13.5,"",""
"OSBS_041_634",39,13.7,10.5,"",""
"OSBS_041_612",39,2.7,10.5,"",""
"OSBS_041_640",39,16.7,10.5,"",""
"OSBS_041_538",39,1.7,4.5,"",""
"OSBS_041_578",39,3.7,7.5,"",""
"OSBS_041_624",39,8.7,10.5,"",""
"OSBS_041_698",39,9.7,16.5,"",""
"OSBS_041_673",39,15.2,13.5,"",""
"OSBS_041_580",39,4.7,7.5,"",""
"OSBS_041_653",39,5.2,13.5,"",""
"OSBS_041_700",39,10.7,16.5,"",""
"OSBS_041_637",39,15.2,10.5,"",""
"OSBS_041_615",39,4.2,10.5,"",""
"OSBS_041_710",39,15.7,16.5,"",""
"OSBS_041_614",39,3.7,10.5,"",""
"OSBS_041_648",39,2.7,13.5,"",""
"OSBS_041_628",39,10.7,10.5,"",""
"OSBS_041_617",39,5.2,10.5,"",""
"OSBS_041_550",39,7.7,4.5,"",""
"OSBS_041_552",39,8.7,4.5,"",""
"OSBS_041_679",39,18.2,13.5,"",""
"OSBS_041_639",39,16.2,10.5,"",""
"OSBS_041_670",39,13.7,13.5,"",""
"OSBS_041_511",39,6.2,1.5,"",""
"OSBS_041_674",39,15.7,13.5,"",""
"OSBS_041_574",39,1.7,7.5,"",""
"OSBS_041_694",39,7.7,16.5,"",""
"OSBS_041_659",39,8.2,13.5,"",""
"OSBS_041_600",39,14.7,7.5,"",""
"OSBS_041_676",39,16.7,13.5,"",""
"OSBS_041_627",39,10.2,10.5,"",""
"OSBS_041_573",39,1.2,7.5,"",""
"OSBS_041_656",39,6.7,13.5,"",""
"OSBS_041_606",39,17.7,7.5,"",""
"OSBS_041_519",39,10.2,1.5,"",""
"OSBS_041_688",39,4.7,16.5,"",""
"OSBS_041_696",39,8.7,16.5,"",""
"OSBS_041_704",39,12.7,16.5,"",""
"OSBS_041_605",39,17.2,7.5,"",""
"OSBS_041_570",39,17.7,4.5,"",""
"OSBS_041_599",39,14.2,7.5,"",""
"OSBS_041_601",39,15.2,7.5,"",""
"OSBS_041_586",39,7.7,7.5,"",""
"OSBS_041_620",39,6.7,10.5,"",""
"OSBS_041_528",39,14.7,1.5,"",""
"OSBS_041_716",39,18.7,16.5,"",""
"OSBS_041_587",39,8.2,7.5,"",""
"OSBS_041_524",39,12.7,1.5,"",""
"OSBS_041_559",39,12.2,4.5,"",""
"OSBS_041_539",39,2.2,4.5,"",""
"OSBS_041_652",39,4.7,13.5,"",""
"OSBS_041_689",39,5.2,16.5,"",""
"OSBS_041_545",39,5.2,4.5,"",""
"OSBS_041_702",39,11.7,16.5,"",""
"OSBS_041_584",39,6.7,7.5,"",""
"OSBS_041_549",39,7.2,4.5,"",""
"OSBS_041_593",39,11.2,7.5,"",""
"OSBS_041_638",39,15.7,10.5,"",""
"OSBS_041_642",39,17.7,10.5,"",""
"OSBS_041_561",39,13.2,4.5,"",""
"OSBS_041_613",39,3.2,10.5,"",""
"OSBS_041_556",39,10.7,4.5,"",""
"OSBS_041_668",39,12.7,13.5,"",""
"OSBS_041_576",39,2.7,7.5,"",""
"OSBS_041_566",39,15.7,4.5,"",""
"OSBS_041_646",39,1.7,13.5,"",""
"OSBS_041_564",39,14.7,4.5,"",""
"OSBS_041_508",39,4.7,1.5,"",""
"OSBS_041_590",39,9.7,7.5,"",""
"OSBS_041_693",39,7.2,16.5,"",""
"OSBS_041_592",39,10.7,7.5,"",""
"OSBS_041_692",39,6.7,16.5,"",""
"OSBS_041_703",39,12.2,16.5,"",""
"OSBS_041_541",39,3.2,4.5,"",""
"OSBS_041_662",39,9.7,13.5,"",""
"OSBS_041_664",39,10.7,13.5,"",""
"OSBS_041_537",39,1.2,4.5,"",""
"OSBS_041_563",39,14.2,4.5,"",""
