"clipID","subplotID","xCoord","yCoord","status","date"
"UNDE_025_203",NA,12.2,16.5,"",""
"UNDE_025_138",NA,15.7,10.5,"",""
"UNDE_025_076",NA,2.7,7.5,"",""
"UNDE_025_137",NA,15.2,10.5,"",""
"UNDE_025_007",NA,4.2,1.5,"",""
"UNDE_025_042",NA,3.7,4.5,"",""
"UNDE_025_009",NA,5.2,1.5,"",""
"UNDE_025_016",NA,8.7,1.5,"",""
"UNDE_025_028",NA,14.7,1.5,"",""
"UNDE_025_022",NA,11.7,1.5,"",""
"UNDE_025_190",NA,5.7,16.5,"",""
"UNDE_025_207",NA,14.2,16.5,"",""
"UNDE_025_170",NA,13.7,13.5,"",""
"UNDE_025_186",NA,3.7,16.5,"",""
"UNDE_025_196",NA,8.7,16.5,"",""
"UNDE_025_204",NA,12.7,16.5,"",""
"UNDE_025_012",NA,6.7,1.5,"",""
"UNDE_025_172",NA,14.7,13.5,"",""
"UNDE_025_194",NA,7.7,16.5,"",""
"UNDE_025_070",NA,17.7,4.5,"",""
"UNDE_025_197",NA,9.2,16.5,"",""
"UNDE_025_159",NA,8.2,13.5,"",""
"UNDE_025_160",NA,8.7,13.5,"",""
"UNDE_025_161",NA,9.2,13.5,"",""
"UNDE_025_050",NA,7.7,4.5,"",""
"UNDE_025_210",NA,15.7,16.5,"",""
"UNDE_025_066",NA,15.7,4.5,"",""
"UNDE_025_145",NA,1.2,13.5,"",""
"UNDE_025_135",NA,14.2,10.5,"",""
"UNDE_025_055",NA,10.2,4.5,"",""
"UNDE_025_099",NA,14.2,7.5,"",""
"UNDE_025_156",NA,6.7,13.5,"",""
"UNDE_025_146",NA,1.7,13.5,"",""
"UNDE_025_139",NA,16.2,10.5,"",""
"UNDE_025_174",NA,15.7,13.5,"",""
"UNDE_025_180",NA,18.7,13.5,"",""
"UNDE_025_199",NA,10.2,16.5,"",""
"UNDE_025_118",NA,5.7,10.5,"",""
"UNDE_025_073",NA,1.2,7.5,"",""
"UNDE_025_124",NA,8.7,10.5,"",""
"UNDE_025_081",NA,5.2,7.5,"",""
"UNDE_025_056",NA,10.7,4.5,"",""
"UNDE_025_059",NA,12.2,4.5,"",""
"UNDE_025_167",NA,12.2,13.5,"",""
"UNDE_025_029",NA,15.2,1.5,"",""
"UNDE_025_052",NA,8.7,4.5,"",""
"UNDE_025_165",NA,11.2,13.5,"",""
"UNDE_025_060",NA,12.7,4.5,"",""
"UNDE_025_114",NA,3.7,10.5,"",""
"UNDE_025_010",NA,5.7,1.5,"",""
"UNDE_025_179",NA,18.2,13.5,"",""
"UNDE_025_120",NA,6.7,10.5,"",""
"UNDE_025_192",NA,6.7,16.5,"",""
"UNDE_025_098",NA,13.7,7.5,"",""
"UNDE_025_154",NA,5.7,13.5,"",""
"UNDE_025_091",NA,10.2,7.5,"",""
"UNDE_025_116",NA,4.7,10.5,"",""
"UNDE_025_198",NA,9.7,16.5,"",""
"UNDE_025_136",NA,14.7,10.5,"",""
"UNDE_025_122",NA,7.7,10.5,"",""
"UNDE_025_119",NA,6.2,10.5,"",""
"UNDE_025_153",NA,5.2,13.5,"",""
"UNDE_025_053",NA,9.2,4.5,"",""
"UNDE_025_006",NA,3.7,1.5,"",""
"UNDE_025_176",NA,16.7,13.5,"",""
"UNDE_025_024",NA,12.7,1.5,"",""
"UNDE_025_008",NA,4.7,1.5,"",""
"UNDE_025_188",NA,4.7,16.5,"",""
"UNDE_025_077",NA,3.2,7.5,"",""
"UNDE_025_063",NA,14.2,4.5,"",""
"UNDE_025_211",NA,16.2,16.5,"",""
"UNDE_025_096",NA,12.7,7.5,"",""
"UNDE_025_125",NA,9.2,10.5,"",""
"UNDE_025_189",NA,5.2,16.5,"",""
"UNDE_025_200",NA,10.7,16.5,"",""
"UNDE_025_071",NA,18.2,4.5,"",""
"UNDE_025_065",NA,15.2,4.5,"",""
"UNDE_025_093",NA,11.2,7.5,"",""
"UNDE_025_054",NA,9.7,4.5,"",""
"UNDE_025_083",NA,6.2,7.5,"",""
"UNDE_025_115",NA,4.2,10.5,"",""
"UNDE_025_020",NA,10.7,1.5,"",""
"UNDE_025_187",NA,4.2,16.5,"",""
"UNDE_025_163",NA,10.2,13.5,"",""
"UNDE_025_102",NA,15.7,7.5,"",""
"UNDE_025_208",NA,14.7,16.5,"",""
"UNDE_025_171",NA,14.2,13.5,"",""
"UNDE_025_162",NA,9.7,13.5,"",""
"UNDE_025_023",NA,12.2,1.5,"",""
"UNDE_025_019",NA,10.2,1.5,"",""
"UNDE_025_051",NA,8.2,4.5,"",""
"UNDE_025_075",NA,2.2,7.5,"",""
"UNDE_025_206",NA,13.7,16.5,"",""
"UNDE_025_202",NA,11.7,16.5,"",""
"UNDE_025_044",NA,4.7,4.5,"",""
"UNDE_025_080",NA,4.7,7.5,"",""
"UNDE_025_151",NA,4.2,13.5,"",""
"UNDE_025_209",NA,15.2,16.5,"",""
"UNDE_025_049",NA,7.2,4.5,"",""
"UNDE_025_168",NA,12.7,13.5,"",""
"UNDE_025_166",NA,11.7,13.5,"",""
"UNDE_025_058",NA,11.7,4.5,"",""
"UNDE_025_148",NA,2.7,13.5,"",""
"UNDE_025_150",NA,3.7,13.5,"",""
"UNDE_025_078",NA,3.7,7.5,"",""
"UNDE_025_195",NA,8.2,16.5,"",""
"UNDE_025_191",NA,6.2,16.5,"",""
"UNDE_025_095",NA,12.2,7.5,"",""
"UNDE_025_061",NA,13.2,4.5,"",""
"UNDE_025_164",NA,10.7,13.5,"",""
"UNDE_025_017",NA,9.2,1.5,"",""
"UNDE_025_064",NA,14.7,4.5,"",""
"UNDE_025_158",NA,7.7,13.5,"",""
"UNDE_025_031",NA,16.2,1.5,"",""
"UNDE_025_068",NA,16.7,4.5,"",""
"UNDE_025_015",NA,8.2,1.5,"",""
"UNDE_025_011",NA,6.2,1.5,"",""
"UNDE_025_079",NA,4.2,7.5,"",""
"UNDE_025_062",NA,13.7,4.5,"",""
"UNDE_025_143",NA,18.2,10.5,"",""
"UNDE_025_057",NA,11.2,4.5,"",""
"UNDE_025_178",NA,17.7,13.5,"",""
"UNDE_025_123",NA,8.2,10.5,"",""
"UNDE_025_038",NA,1.7,4.5,"",""
"UNDE_025_144",NA,18.7,10.5,"",""
"UNDE_025_140",NA,16.7,10.5,"",""
"UNDE_025_155",NA,6.2,13.5,"",""
"UNDE_025_134",NA,13.7,10.5,"",""
"UNDE_025_149",NA,3.2,13.5,"",""
"UNDE_025_121",NA,7.2,10.5,"",""
"UNDE_025_175",NA,16.2,13.5,"",""
"UNDE_025_014",NA,7.7,1.5,"",""
"UNDE_025_092",NA,10.7,7.5,"",""
"UNDE_025_047",NA,6.2,4.5,"",""
"UNDE_025_173",NA,15.2,13.5,"",""
"UNDE_025_126",NA,9.7,10.5,"",""
"UNDE_025_013",NA,7.2,1.5,"",""
"UNDE_025_025",NA,13.2,1.5,"",""
"UNDE_025_101",NA,15.2,7.5,"",""
"UNDE_025_040",NA,2.7,4.5,"",""
"UNDE_025_103",NA,16.2,7.5,"",""
"UNDE_025_021",NA,11.2,1.5,"",""
"UNDE_025_097",NA,13.2,7.5,"",""
"UNDE_025_018",NA,9.7,1.5,"",""
"UNDE_025_117",NA,5.2,10.5,"",""
"UNDE_025_177",NA,17.2,13.5,"",""
"UNDE_025_046",NA,5.7,4.5,"",""
"UNDE_025_157",NA,7.2,13.5,"",""
"UNDE_025_082",NA,5.7,7.5,"",""
"UNDE_025_072",NA,18.7,4.5,"",""
