"clipID","subplotID","xCoord","yCoord","status","date"
"UNDE_054_136",21,14.7,10.5,"",""
"UNDE_054_036",21,18.7,1.5,"",""
"UNDE_054_107",21,18.2,7.5,"",""
"UNDE_054_037",21,1.2,4.5,"",""
"UNDE_054_122",21,7.7,10.5,"",""
"UNDE_054_161",21,9.2,13.5,"",""
"UNDE_054_121",21,7.2,10.5,"",""
"UNDE_054_178",21,17.7,13.5,"",""
"UNDE_054_150",21,3.7,13.5,"",""
"UNDE_054_095",21,12.2,7.5,"",""
"UNDE_054_205",21,13.2,16.5,"",""
"UNDE_054_078",21,3.7,7.5,"",""
"UNDE_054_021",21,11.2,1.5,"",""
"UNDE_054_181",21,1.2,16.5,"",""
"UNDE_054_148",21,2.7,13.5,"",""
"UNDE_054_116",21,4.7,10.5,"",""
"UNDE_054_171",21,14.2,13.5,"",""
"UNDE_054_068",21,16.7,4.5,"",""
"UNDE_054_154",21,5.7,13.5,"",""
"UNDE_054_190",21,5.7,16.5,"",""
"UNDE_054_077",21,3.2,7.5,"",""
"UNDE_054_183",21,2.2,16.5,"",""
"UNDE_054_142",21,17.7,10.5,"",""
"UNDE_054_083",21,6.2,7.5,"",""
"UNDE_054_087",21,8.2,7.5,"",""
"UNDE_054_018",21,9.7,1.5,"",""
"UNDE_054_096",21,12.7,7.5,"",""
"UNDE_054_082",21,5.7,7.5,"",""
"UNDE_054_065",21,15.2,4.5,"",""
"UNDE_054_206",21,13.7,16.5,"",""
"UNDE_054_062",21,13.7,4.5,"",""
"UNDE_054_192",21,6.7,16.5,"",""
"UNDE_054_026",21,13.7,1.5,"",""
"UNDE_054_022",21,11.7,1.5,"",""
"UNDE_054_199",21,10.2,16.5,"",""
"UNDE_054_210",21,15.7,16.5,"",""
"UNDE_054_149",21,3.2,13.5,"",""
"UNDE_054_174",21,15.7,13.5,"",""
"UNDE_054_109",21,1.2,10.5,"",""
"UNDE_054_046",21,5.7,4.5,"",""
"UNDE_054_048",21,6.7,4.5,"",""
"UNDE_054_023",21,12.2,1.5,"",""
"UNDE_054_085",21,7.2,7.5,"",""
"UNDE_054_194",21,7.7,16.5,"",""
"UNDE_054_059",21,12.2,4.5,"",""
"UNDE_054_063",21,14.2,4.5,"",""
"UNDE_054_211",21,16.2,16.5,"",""
"UNDE_054_143",21,18.2,10.5,"",""
"UNDE_054_084",21,6.7,7.5,"",""
"UNDE_054_045",21,5.2,4.5,"",""
"UNDE_054_153",21,5.2,13.5,"",""
"UNDE_054_056",21,10.7,4.5,"",""
"UNDE_054_164",21,10.7,13.5,"",""
"UNDE_054_029",21,15.2,1.5,"",""
"UNDE_054_074",21,1.7,7.5,"",""
"UNDE_054_189",21,5.2,16.5,"",""
"UNDE_054_101",21,15.2,7.5,"",""
"UNDE_054_193",21,7.2,16.5,"",""
"UNDE_054_073",21,1.2,7.5,"",""
"UNDE_054_015",21,8.2,1.5,"",""
"UNDE_054_187",21,4.2,16.5,"",""
"UNDE_054_115",21,4.2,10.5,"",""
"UNDE_054_020",21,10.7,1.5,"",""
"UNDE_054_168",21,12.7,13.5,"",""
"UNDE_054_198",21,9.7,16.5,"",""
"UNDE_054_051",21,8.2,4.5,"",""
"UNDE_054_146",21,1.7,13.5,"",""
"UNDE_054_057",21,11.2,4.5,"",""
"UNDE_054_185",21,3.2,16.5,"",""
"UNDE_054_099",21,14.2,7.5,"",""
"UNDE_054_152",21,4.7,13.5,"",""
"UNDE_054_182",21,1.7,16.5,"",""
"UNDE_054_047",21,6.2,4.5,"",""
"UNDE_054_053",21,9.2,4.5,"",""
"UNDE_054_188",21,4.7,16.5,"",""
"UNDE_054_043",21,4.2,4.5,"",""
"UNDE_054_069",21,17.2,4.5,"",""
"UNDE_054_105",21,17.2,7.5,"",""
"UNDE_054_120",21,6.7,10.5,"",""
"UNDE_054_177",21,17.2,13.5,"",""
"UNDE_054_184",21,2.7,16.5,"",""
"UNDE_054_050",21,7.7,4.5,"",""
"UNDE_054_054",21,9.7,4.5,"",""
"UNDE_054_166",21,11.7,13.5,"",""
