"clipID","subplotID","xCoord","yCoord","status","date"
"ORNL_032_137",NA,15.2,10.5,"",""
"ORNL_032_160",NA,8.7,13.5,"",""
"ORNL_032_080",NA,4.7,7.5,"",""
"ORNL_032_118",NA,5.7,10.5,"",""
"ORNL_032_047",NA,6.2,4.5,"",""
"ORNL_032_124",NA,8.7,10.5,"",""
"ORNL_032_008",NA,4.7,1.5,"",""
"ORNL_032_039",NA,2.2,4.5,"",""
"ORNL_032_120",NA,6.7,10.5,"",""
"ORNL_032_189",NA,5.2,16.5,"",""
"ORNL_032_041",NA,3.2,4.5,"",""
"ORNL_032_065",NA,15.2,4.5,"",""
"ORNL_032_190",NA,5.7,16.5,"",""
"ORNL_032_209",NA,15.2,16.5,"",""
"ORNL_032_063",NA,14.2,4.5,"",""
"ORNL_032_017",NA,9.2,1.5,"",""
"ORNL_032_073",NA,1.2,7.5,"",""
"ORNL_032_116",NA,4.7,10.5,"",""
"ORNL_032_097",NA,13.2,7.5,"",""
"ORNL_032_146",NA,1.7,13.5,"",""
"ORNL_032_093",NA,11.2,7.5,"",""
"ORNL_032_156",NA,6.7,13.5,"",""
"ORNL_032_006",NA,3.7,1.5,"",""
"ORNL_032_081",NA,5.2,7.5,"",""
"ORNL_032_177",NA,17.2,13.5,"",""
"ORNL_032_123",NA,8.2,10.5,"",""
"ORNL_032_102",NA,15.7,7.5,"",""
"ORNL_032_162",NA,9.7,13.5,"",""
"ORNL_032_062",NA,13.7,4.5,"",""
"ORNL_032_163",NA,10.2,13.5,"",""
"ORNL_032_149",NA,3.2,13.5,"",""
"ORNL_032_068",NA,16.7,4.5,"",""
"ORNL_032_150",NA,3.7,13.5,"",""
"ORNL_032_037",NA,1.2,4.5,"",""
"ORNL_032_121",NA,7.2,10.5,"",""
"ORNL_032_019",NA,10.2,1.5,"",""
"ORNL_032_025",NA,13.2,1.5,"",""
"ORNL_032_092",NA,10.7,7.5,"",""
"ORNL_032_028",NA,14.7,1.5,"",""
"ORNL_032_077",NA,3.2,7.5,"",""
"ORNL_032_196",NA,8.7,16.5,"",""
"ORNL_032_207",NA,14.2,16.5,"",""
"ORNL_032_158",NA,7.7,13.5,"",""
"ORNL_032_114",NA,3.7,10.5,"",""
"ORNL_032_199",NA,10.2,16.5,"",""
"ORNL_032_100",NA,14.7,7.5,"",""
"ORNL_032_022",NA,11.7,1.5,"",""
"ORNL_032_076",NA,2.7,7.5,"",""
"ORNL_032_210",NA,15.7,16.5,"",""
"ORNL_032_083",NA,6.2,7.5,"",""
"ORNL_032_171",NA,14.2,13.5,"",""
"ORNL_032_200",NA,10.7,16.5,"",""
"ORNL_032_052",NA,8.7,4.5,"",""
"ORNL_032_074",NA,1.7,7.5,"",""
"ORNL_032_095",NA,12.2,7.5,"",""
"ORNL_032_042",NA,3.7,4.5,"",""
"ORNL_032_049",NA,7.2,4.5,"",""
"ORNL_032_198",NA,9.7,16.5,"",""
"ORNL_032_176",NA,16.7,13.5,"",""
"ORNL_032_145",NA,1.2,13.5,"",""
"ORNL_032_206",NA,13.7,16.5,"",""
"ORNL_032_125",NA,9.2,10.5,"",""
"ORNL_032_179",NA,18.2,13.5,"",""
"ORNL_032_170",NA,13.7,13.5,"",""
"ORNL_032_070",NA,17.7,4.5,"",""
"ORNL_032_027",NA,14.2,1.5,"",""
"ORNL_032_054",NA,9.7,4.5,"",""
"ORNL_032_099",NA,14.2,7.5,"",""
"ORNL_032_078",NA,3.7,7.5,"",""
"ORNL_032_138",NA,15.7,10.5,"",""
"ORNL_032_195",NA,8.2,16.5,"",""
"ORNL_032_202",NA,11.7,16.5,"",""
"ORNL_032_126",NA,9.7,10.5,"",""
"ORNL_032_204",NA,12.7,16.5,"",""
"ORNL_032_144",NA,18.7,10.5,"",""
"ORNL_032_026",NA,13.7,1.5,"",""
"ORNL_032_023",NA,12.2,1.5,"",""
"ORNL_032_139",NA,16.2,10.5,"",""
"ORNL_032_194",NA,7.7,16.5,"",""
"ORNL_032_101",NA,15.2,7.5,"",""
"ORNL_032_122",NA,7.7,10.5,"",""
"ORNL_032_010",NA,5.7,1.5,"",""
"ORNL_032_201",NA,11.2,16.5,"",""
"ORNL_032_174",NA,15.7,13.5,"",""
"ORNL_032_178",NA,17.7,13.5,"",""
"ORNL_032_175",NA,16.2,13.5,"",""
"ORNL_032_060",NA,12.7,4.5,"",""
"ORNL_032_103",NA,16.2,7.5,"",""
"ORNL_032_020",NA,10.7,1.5,"",""
"ORNL_032_119",NA,6.2,10.5,"",""
"ORNL_032_172",NA,14.7,13.5,"",""
"ORNL_032_153",NA,5.2,13.5,"",""
"ORNL_032_055",NA,10.2,4.5,"",""
"ORNL_032_164",NA,10.7,13.5,"",""
"ORNL_032_012",NA,6.7,1.5,"",""
"ORNL_032_018",NA,9.7,1.5,"",""
"ORNL_032_053",NA,9.2,4.5,"",""
"ORNL_032_015",NA,8.2,1.5,"",""
"ORNL_032_091",NA,10.2,7.5,"",""
"ORNL_032_143",NA,18.2,10.5,"",""
"ORNL_032_191",NA,6.2,16.5,"",""
"ORNL_032_069",NA,17.2,4.5,"",""
"ORNL_032_148",NA,2.7,13.5,"",""
"ORNL_032_167",NA,12.2,13.5,"",""
"ORNL_032_030",NA,15.7,1.5,"",""
"ORNL_032_066",NA,15.7,4.5,"",""
"ORNL_032_203",NA,12.2,16.5,"",""
"ORNL_032_029",NA,15.2,1.5,"",""
"ORNL_032_057",NA,11.2,4.5,"",""
"ORNL_032_044",NA,4.7,4.5,"",""
"ORNL_032_135",NA,14.2,10.5,"",""
"ORNL_032_154",NA,5.7,13.5,"",""
"ORNL_032_166",NA,11.7,13.5,"",""
"ORNL_032_011",NA,6.2,1.5,"",""
"ORNL_032_079",NA,4.2,7.5,"",""
"ORNL_032_072",NA,18.7,4.5,"",""
"ORNL_032_016",NA,8.7,1.5,"",""
"ORNL_032_136",NA,14.7,10.5,"",""
"ORNL_032_031",NA,16.2,1.5,"",""
"ORNL_032_134",NA,13.7,10.5,"",""
"ORNL_032_193",NA,7.2,16.5,"",""
"ORNL_032_051",NA,8.2,4.5,"",""
"ORNL_032_096",NA,12.7,7.5,"",""
"ORNL_032_059",NA,12.2,4.5,"",""
"ORNL_032_117",NA,5.2,10.5,"",""
"ORNL_032_173",NA,15.2,13.5,"",""
"ORNL_032_211",NA,16.2,16.5,"",""
"ORNL_032_071",NA,18.2,4.5,"",""
"ORNL_032_056",NA,10.7,4.5,"",""
"ORNL_032_151",NA,4.2,13.5,"",""
"ORNL_032_067",NA,16.2,4.5,"",""
"ORNL_032_045",NA,5.2,4.5,"",""
"ORNL_032_141",NA,17.2,10.5,"",""
"ORNL_032_188",NA,4.7,16.5,"",""
"ORNL_032_014",NA,7.7,1.5,"",""
"ORNL_032_161",NA,9.2,13.5,"",""
"ORNL_032_208",NA,14.7,16.5,"",""
"ORNL_032_140",NA,16.7,10.5,"",""
"ORNL_032_205",NA,13.2,16.5,"",""
"ORNL_032_024",NA,12.7,1.5,"",""
"ORNL_032_115",NA,4.2,10.5,"",""
"ORNL_032_168",NA,12.7,13.5,"",""
"ORNL_032_075",NA,2.2,7.5,"",""
"ORNL_032_180",NA,18.7,13.5,"",""
"ORNL_032_098",NA,13.7,7.5,"",""
"ORNL_032_186",NA,3.7,16.5,"",""
"ORNL_032_082",NA,5.7,7.5,"",""
"ORNL_032_192",NA,6.7,16.5,"",""
"ORNL_032_009",NA,5.2,1.5,"",""
"ORNL_032_038",NA,1.7,4.5,"",""
"ORNL_032_021",NA,11.2,1.5,"",""
"ORNL_032_048",NA,6.7,4.5,"",""
"ORNL_032_058",NA,11.7,4.5,"",""
"ORNL_032_046",NA,5.7,4.5,"",""
"ORNL_032_094",NA,11.7,7.5,"",""
"ORNL_032_169",NA,13.2,13.5,"",""
"ORNL_032_142",NA,17.7,10.5,"",""
"ORNL_032_187",NA,4.2,16.5,"",""
"ORNL_032_050",NA,7.7,4.5,"",""
"ORNL_032_197",NA,9.2,16.5,"",""
"ORNL_032_013",NA,7.2,1.5,"",""
"ORNL_032_165",NA,11.2,13.5,"",""
"ORNL_032_157",NA,7.2,13.5,"",""
"ORNL_032_040",NA,2.7,4.5,"",""
"ORNL_032_152",NA,4.7,13.5,"",""
"ORNL_032_155",NA,6.2,13.5,"",""
"ORNL_032_064",NA,14.7,4.5,"",""
"ORNL_032_043",NA,4.2,4.5,"",""
"ORNL_032_007",NA,4.2,1.5,"",""
"ORNL_032_061",NA,13.2,4.5,"",""
"ORNL_032_147",NA,2.2,13.5,"",""
"ORNL_032_159",NA,8.2,13.5,"",""
