"clipID","subplotID","xCoord","yCoord","status","date"
"ORNL_058_437",23,4.2,16.5,"",""
"ORNL_058_373",23,8.2,10.5,"",""
"ORNL_058_348",23,13.7,7.5,"",""
"ORNL_058_398",23,2.7,13.5,"",""
"ORNL_058_260",23,5.7,1.5,"",""
"ORNL_058_364",23,3.7,10.5,"",""
"ORNL_058_424",23,15.7,13.5,"",""
"ORNL_058_358",23,18.7,7.5,"",""
"ORNL_058_453",23,12.2,16.5,"",""
"ORNL_058_326",23,2.7,7.5,"",""
"ORNL_058_425",23,16.2,13.5,"",""
"ORNL_058_383",23,13.2,10.5,"",""
"ORNL_058_408",23,7.7,13.5,"",""
"ORNL_058_259",23,5.2,1.5,"",""
"ORNL_058_327",23,3.2,7.5,"",""
"ORNL_058_369",23,6.2,10.5,"",""
"ORNL_058_400",23,3.7,13.5,"",""
"ORNL_058_268",23,9.7,1.5,"",""
"ORNL_058_404",23,5.7,13.5,"",""
"ORNL_058_458",23,14.7,16.5,"",""
"ORNL_058_297",23,6.2,4.5,"",""
"ORNL_058_333",23,6.2,7.5,"",""
"ORNL_058_318",23,16.7,4.5,"",""
"ORNL_058_444",23,7.7,16.5,"",""
"ORNL_058_265",23,8.2,1.5,"",""
"ORNL_058_312",23,13.7,4.5,"",""
"ORNL_058_263",23,7.2,1.5,"",""
"ORNL_058_340",23,9.7,7.5,"",""
"ORNL_058_316",23,15.7,4.5,"",""
"ORNL_058_302",23,8.7,4.5,"",""
"ORNL_058_391",23,17.2,10.5,"",""
"ORNL_058_379",23,11.2,10.5,"",""
"ORNL_058_405",23,6.2,13.5,"",""
"ORNL_058_331",23,5.2,7.5,"",""
"ORNL_058_307",23,11.2,4.5,"",""
"ORNL_058_324",23,1.7,7.5,"",""
"ORNL_058_423",23,15.2,13.5,"",""
"ORNL_058_388",23,15.7,10.5,"",""
"ORNL_058_430",23,18.7,13.5,"",""
"ORNL_058_396",23,1.7,13.5,"",""
"ORNL_058_303",23,9.2,4.5,"",""
"ORNL_058_335",23,7.2,7.5,"",""
"ORNL_058_339",23,9.2,7.5,"",""
"ORNL_058_347",23,13.2,7.5,"",""
"ORNL_058_439",23,5.2,16.5,"",""
"ORNL_058_345",23,12.2,7.5,"",""
"ORNL_058_304",23,9.7,4.5,"",""
"ORNL_058_280",23,15.7,1.5,"",""
"ORNL_058_461",23,16.2,16.5,"",""
"ORNL_058_426",23,16.7,13.5,"",""
"ORNL_058_418",23,12.7,13.5,"",""
"ORNL_058_301",23,8.2,4.5,"",""
"ORNL_058_407",23,7.2,13.5,"",""
"ORNL_058_290",23,2.7,4.5,"",""
"ORNL_058_289",23,2.2,4.5,"",""
"ORNL_058_397",23,2.2,13.5,"",""
"ORNL_058_343",23,11.2,7.5,"",""
"ORNL_058_354",23,16.7,7.5,"",""
"ORNL_058_460",23,15.7,16.5,"",""
"ORNL_058_380",23,11.7,10.5,"",""
"ORNL_058_314",23,14.7,4.5,"",""
"ORNL_058_344",23,11.7,7.5,"",""
"ORNL_058_366",23,4.7,10.5,"",""
"ORNL_058_365",23,4.2,10.5,"",""
"ORNL_058_357",23,18.2,7.5,"",""
"ORNL_058_359",23,1.2,10.5,"",""
"ORNL_058_279",23,15.2,1.5,"",""
"ORNL_058_361",23,2.2,10.5,"",""
"ORNL_058_378",23,10.7,10.5,"",""
"ORNL_058_264",23,7.7,1.5,"",""
"ORNL_058_456",23,13.7,16.5,"",""
"ORNL_058_393",23,18.2,10.5,"",""
"ORNL_058_452",23,11.7,16.5,"",""
"ORNL_058_271",23,11.2,1.5,"",""
"ORNL_058_459",23,15.2,16.5,"",""
"ORNL_058_352",23,15.7,7.5,"",""
"ORNL_058_436",23,3.7,16.5,"",""
"ORNL_058_293",23,4.2,4.5,"",""
"ORNL_058_421",23,14.2,13.5,"",""
"ORNL_058_334",23,6.7,7.5,"",""
"ORNL_058_341",23,10.2,7.5,"",""
"ORNL_058_299",23,7.2,4.5,"",""
"ORNL_058_427",23,17.2,13.5,"",""
"ORNL_058_288",23,1.7,4.5,"",""
"ORNL_058_414",23,10.7,13.5,"",""
"ORNL_058_276",23,13.7,1.5,"",""
"ORNL_058_441",23,6.2,16.5,"",""
"ORNL_058_350",23,14.7,7.5,"",""
"ORNL_058_422",23,14.7,13.5,"",""
"ORNL_058_292",23,3.7,4.5,"",""
"ORNL_058_372",23,7.7,10.5,"",""
"ORNL_058_450",23,10.7,16.5,"",""
"ORNL_058_252",23,1.7,1.5,"",""
"ORNL_058_395",23,1.2,13.5,"",""
"ORNL_058_420",23,13.7,13.5,"",""
"ORNL_058_294",23,4.7,4.5,"",""
"ORNL_058_382",23,12.7,10.5,"",""
"ORNL_058_251",23,1.2,1.5,"",""
"ORNL_058_440",23,5.7,16.5,"",""
"ORNL_058_315",23,15.2,4.5,"",""
"ORNL_058_323",23,1.2,7.5,"",""
"ORNL_058_281",23,16.2,1.5,"",""
"ORNL_058_355",23,17.2,7.5,"",""
"ORNL_058_447",23,9.2,16.5,"",""
"ORNL_058_409",23,8.2,13.5,"",""
"ORNL_058_429",23,18.2,13.5,"",""
"ORNL_058_256",23,3.7,1.5,"",""
"ORNL_058_296",23,5.7,4.5,"",""
"ORNL_058_321",23,18.2,4.5,"",""
"ORNL_058_381",23,12.2,10.5,"",""
"ORNL_058_266",23,8.7,1.5,"",""
"ORNL_058_320",23,17.7,4.5,"",""
"ORNL_058_403",23,5.2,13.5,"",""
"ORNL_058_353",23,16.2,7.5,"",""
"ORNL_058_443",23,7.2,16.5,"",""
"ORNL_058_317",23,16.2,4.5,"",""
"ORNL_058_306",23,10.7,4.5,"",""
"ORNL_058_417",23,12.2,13.5,"",""
"ORNL_058_329",23,4.2,7.5,"",""
"ORNL_058_389",23,16.2,10.5,"",""
"ORNL_058_428",23,17.7,13.5,"",""
"ORNL_058_262",23,6.7,1.5,"",""
"ORNL_058_416",23,11.7,13.5,"",""
"ORNL_058_272",23,11.7,1.5,"",""
"ORNL_058_368",23,5.7,10.5,"",""
"ORNL_058_390",23,16.7,10.5,"",""
"ORNL_058_386",23,14.7,10.5,"",""
"ORNL_058_270",23,10.7,1.5,"",""
"ORNL_058_261",23,6.2,1.5,"",""
"ORNL_058_448",23,9.7,16.5,"",""
"ORNL_058_455",23,13.2,16.5,"",""
"ORNL_058_363",23,3.2,10.5,"",""
