"clipID","subplotID","xCoord","yCoord","status","date"
"TALL_008_155",NA,6.2,13.5,"",""
"TALL_008_023",NA,12.2,1.5,"",""
"TALL_008_012",NA,6.7,1.5,"",""
"TALL_008_114",NA,3.7,10.5,"",""
"TALL_008_156",NA,6.7,13.5,"",""
"TALL_008_140",NA,16.7,10.5,"",""
"TALL_008_208",NA,14.7,16.5,"",""
"TALL_008_174",NA,15.7,13.5,"",""
"TALL_008_122",NA,7.7,10.5,"",""
"TALL_008_121",NA,7.2,10.5,"",""
"TALL_008_040",NA,2.7,4.5,"",""
"TALL_008_097",NA,13.2,7.5,"",""
"TALL_008_169",NA,13.2,13.5,"",""
"TALL_008_064",NA,14.7,4.5,"",""
"TALL_008_026",NA,13.7,1.5,"",""
"TALL_008_069",NA,17.2,4.5,"",""
"TALL_008_066",NA,15.7,4.5,"",""
"TALL_008_158",NA,7.7,13.5,"",""
"TALL_008_191",NA,6.2,16.5,"",""
"TALL_008_073",NA,1.2,7.5,"",""
"TALL_008_010",NA,5.7,1.5,"",""
"TALL_008_163",NA,10.2,13.5,"",""
"TALL_008_195",NA,8.2,16.5,"",""
"TALL_008_049",NA,7.2,4.5,"",""
"TALL_008_065",NA,15.2,4.5,"",""
"TALL_008_118",NA,5.7,10.5,"",""
"TALL_008_079",NA,4.2,7.5,"",""
"TALL_008_096",NA,12.7,7.5,"",""
"TALL_008_022",NA,11.7,1.5,"",""
"TALL_008_053",NA,9.2,4.5,"",""
"TALL_008_068",NA,16.7,4.5,"",""
"TALL_008_171",NA,14.2,13.5,"",""
"TALL_008_150",NA,3.7,13.5,"",""
"TALL_008_176",NA,16.7,13.5,"",""
"TALL_008_080",NA,4.7,7.5,"",""
"TALL_008_045",NA,5.2,4.5,"",""
"TALL_008_039",NA,2.2,4.5,"",""
"TALL_008_052",NA,8.7,4.5,"",""
"TALL_008_044",NA,4.7,4.5,"",""
"TALL_008_192",NA,6.7,16.5,"",""
"TALL_008_210",NA,15.7,16.5,"",""
"TALL_008_137",NA,15.2,10.5,"",""
"TALL_008_198",NA,9.7,16.5,"",""
"TALL_008_207",NA,14.2,16.5,"",""
"TALL_008_145",NA,1.2,13.5,"",""
"TALL_008_027",NA,14.2,1.5,"",""
"TALL_008_076",NA,2.7,7.5,"",""
"TALL_008_124",NA,8.7,10.5,"",""
"TALL_008_047",NA,6.2,4.5,"",""
"TALL_008_116",NA,4.7,10.5,"",""
"TALL_008_008",NA,4.7,1.5,"",""
"TALL_008_102",NA,15.7,7.5,"",""
"TALL_008_028",NA,14.7,1.5,"",""
"TALL_008_193",NA,7.2,16.5,"",""
"TALL_008_048",NA,6.7,4.5,"",""
"TALL_008_019",NA,10.2,1.5,"",""
"TALL_008_143",NA,18.2,10.5,"",""
"TALL_008_179",NA,18.2,13.5,"",""
"TALL_008_115",NA,4.2,10.5,"",""
"TALL_008_153",NA,5.2,13.5,"",""
"TALL_008_062",NA,13.7,4.5,"",""
"TALL_008_120",NA,6.7,10.5,"",""
"TALL_008_196",NA,8.7,16.5,"",""
"TALL_008_173",NA,15.2,13.5,"",""
"TALL_008_211",NA,16.2,16.5,"",""
"TALL_008_074",NA,1.7,7.5,"",""
"TALL_008_099",NA,14.2,7.5,"",""
"TALL_008_061",NA,13.2,4.5,"",""
"TALL_008_098",NA,13.7,7.5,"",""
"TALL_008_070",NA,17.7,4.5,"",""
"TALL_008_054",NA,9.7,4.5,"",""
"TALL_008_175",NA,16.2,13.5,"",""
"TALL_008_094",NA,11.7,7.5,"",""
"TALL_008_205",NA,13.2,16.5,"",""
"TALL_008_043",NA,4.2,4.5,"",""
"TALL_008_135",NA,14.2,10.5,"",""
"TALL_008_037",NA,1.2,4.5,"",""
"TALL_008_138",NA,15.7,10.5,"",""
"TALL_008_007",NA,4.2,1.5,"",""
"TALL_008_197",NA,9.2,16.5,"",""
"TALL_008_139",NA,16.2,10.5,"",""
"TALL_008_091",NA,10.2,7.5,"",""
"TALL_008_190",NA,5.7,16.5,"",""
"TALL_008_018",NA,9.7,1.5,"",""
"TALL_008_126",NA,9.7,10.5,"",""
"TALL_008_186",NA,3.7,16.5,"",""
"TALL_008_167",NA,12.2,13.5,"",""
"TALL_008_029",NA,15.2,1.5,"",""
"TALL_008_092",NA,10.7,7.5,"",""
"TALL_008_063",NA,14.2,4.5,"",""
"TALL_008_021",NA,11.2,1.5,"",""
"TALL_008_058",NA,11.7,4.5,"",""
"TALL_008_180",NA,18.7,13.5,"",""
"TALL_008_011",NA,6.2,1.5,"",""
"TALL_008_030",NA,15.7,1.5,"",""
"TALL_008_164",NA,10.7,13.5,"",""
"TALL_008_203",NA,12.2,16.5,"",""
"TALL_008_141",NA,17.2,10.5,"",""
"TALL_008_189",NA,5.2,16.5,"",""
"TALL_008_056",NA,10.7,4.5,"",""
"TALL_008_072",NA,18.7,4.5,"",""
"TALL_008_119",NA,6.2,10.5,"",""
"TALL_008_103",NA,16.2,7.5,"",""
"TALL_008_075",NA,2.2,7.5,"",""
"TALL_008_067",NA,16.2,4.5,"",""
"TALL_008_154",NA,5.7,13.5,"",""
"TALL_008_166",NA,11.7,13.5,"",""
"TALL_008_148",NA,2.7,13.5,"",""
"TALL_008_051",NA,8.2,4.5,"",""
"TALL_008_020",NA,10.7,1.5,"",""
"TALL_008_071",NA,18.2,4.5,"",""
"TALL_008_025",NA,13.2,1.5,"",""
"TALL_008_117",NA,5.2,10.5,"",""
"TALL_008_013",NA,7.2,1.5,"",""
"TALL_008_100",NA,14.7,7.5,"",""
"TALL_008_159",NA,8.2,13.5,"",""
"TALL_008_050",NA,7.7,4.5,"",""
"TALL_008_162",NA,9.7,13.5,"",""
"TALL_008_041",NA,3.2,4.5,"",""
"TALL_008_015",NA,8.2,1.5,"",""
"TALL_008_201",NA,11.2,16.5,"",""
"TALL_008_161",NA,9.2,13.5,"",""
"TALL_008_009",NA,5.2,1.5,"",""
"TALL_008_144",NA,18.7,10.5,"",""
"TALL_008_123",NA,8.2,10.5,"",""
"TALL_008_082",NA,5.7,7.5,"",""
"TALL_008_042",NA,3.7,4.5,"",""
"TALL_008_151",NA,4.2,13.5,"",""
"TALL_008_077",NA,3.2,7.5,"",""
"TALL_008_178",NA,17.7,13.5,"",""
"TALL_008_206",NA,13.7,16.5,"",""
"TALL_008_057",NA,11.2,4.5,"",""
"TALL_008_142",NA,17.7,10.5,"",""
"TALL_008_078",NA,3.7,7.5,"",""
"TALL_008_060",NA,12.7,4.5,"",""
"TALL_008_157",NA,7.2,13.5,"",""
"TALL_008_146",NA,1.7,13.5,"",""
"TALL_008_134",NA,13.7,10.5,"",""
"TALL_008_160",NA,8.7,13.5,"",""
"TALL_008_194",NA,7.7,16.5,"",""
"TALL_008_059",NA,12.2,4.5,"",""
"TALL_008_125",NA,9.2,10.5,"",""
"TALL_008_172",NA,14.7,13.5,"",""
"TALL_008_046",NA,5.7,4.5,"",""
"TALL_008_209",NA,15.2,16.5,"",""
"TALL_008_202",NA,11.7,16.5,"",""
"TALL_008_095",NA,12.2,7.5,"",""
"TALL_008_016",NA,8.7,1.5,"",""
"TALL_008_083",NA,6.2,7.5,"",""
"TALL_008_200",NA,10.7,16.5,"",""
"TALL_008_014",NA,7.7,1.5,"",""
"TALL_008_017",NA,9.2,1.5,"",""
"TALL_008_093",NA,11.2,7.5,"",""
"TALL_008_168",NA,12.7,13.5,"",""
"TALL_008_081",NA,5.2,7.5,"",""
"TALL_008_006",NA,3.7,1.5,"",""
"TALL_008_152",NA,4.7,13.5,"",""
"TALL_008_149",NA,3.2,13.5,"",""
"TALL_008_147",NA,2.2,13.5,"",""
