"clipID","subplotID","xCoord","yCoord","status","date"
"TALL_046_947",41,9.2,16.5,"",""
"TALL_046_902",41,4.7,13.5,"",""
"TALL_046_931",41,1.2,16.5,"",""
"TALL_046_809",41,12.2,4.5,"",""
"TALL_046_848",41,13.7,7.5,"",""
"TALL_046_953",41,12.2,16.5,"",""
"TALL_046_816",41,15.7,4.5,"",""
"TALL_046_883",41,13.2,10.5,"",""
"TALL_046_779",41,15.2,1.5,"",""
"TALL_046_758",41,4.7,1.5,"",""
"TALL_046_799",41,7.2,4.5,"",""
"TALL_046_818",41,16.7,4.5,"",""
"TALL_046_891",41,17.2,10.5,"",""
"TALL_046_781",41,16.2,1.5,"",""
"TALL_046_874",41,8.7,10.5,"",""
"TALL_046_881",41,12.2,10.5,"",""
"TALL_046_812",41,13.7,4.5,"",""
"TALL_046_949",41,10.2,16.5,"",""
"TALL_046_810",41,12.7,4.5,"",""
"TALL_046_921",41,14.2,13.5,"",""
"TALL_046_775",41,13.2,1.5,"",""
"TALL_046_893",41,18.2,10.5,"",""
"TALL_046_910",41,8.7,13.5,"",""
"TALL_046_885",41,14.2,10.5,"",""
"TALL_046_773",41,12.2,1.5,"",""
"TALL_046_922",41,14.7,13.5,"",""
"TALL_046_956",41,13.7,16.5,"",""
"TALL_046_830",41,4.7,7.5,"",""
"TALL_046_936",41,3.7,16.5,"",""
"TALL_046_924",41,15.7,13.5,"",""
"TALL_046_899",41,3.2,13.5,"",""
"TALL_046_926",41,16.7,13.5,"",""
"TALL_046_857",41,18.2,7.5,"",""
"TALL_046_851",41,15.2,7.5,"",""
"TALL_046_789",41,2.2,4.5,"",""
"TALL_046_767",41,9.2,1.5,"",""
"TALL_046_886",41,14.7,10.5,"",""
"TALL_046_945",41,8.2,16.5,"",""
"TALL_046_785",41,18.2,1.5,"",""
"TALL_046_823",41,1.2,7.5,"",""
"TALL_046_805",41,10.2,4.5,"",""
"TALL_046_850",41,14.7,7.5,"",""
"TALL_046_803",41,9.2,4.5,"",""
"TALL_046_776",41,13.7,1.5,"",""
"TALL_046_937",41,4.2,16.5,"",""
"TALL_046_802",41,8.7,4.5,"",""
"TALL_046_796",41,5.7,4.5,"",""
"TALL_046_954",41,12.7,16.5,"",""
"TALL_046_932",41,1.7,16.5,"",""
"TALL_046_868",41,5.7,10.5,"",""
"TALL_046_948",41,9.7,16.5,"",""
"TALL_046_774",41,12.7,1.5,"",""
"TALL_046_933",41,2.2,16.5,"",""
"TALL_046_889",41,16.2,10.5,"",""
"TALL_046_845",41,12.2,7.5,"",""
"TALL_046_957",41,14.2,16.5,"",""
"TALL_046_960",41,15.7,16.5,"",""
"TALL_046_815",41,15.2,4.5,"",""
"TALL_046_837",41,8.2,7.5,"",""
"TALL_046_856",41,17.7,7.5,"",""
"TALL_046_951",41,11.2,16.5,"",""
"TALL_046_895",41,1.2,13.5,"",""
"TALL_046_770",41,10.7,1.5,"",""
"TALL_046_906",41,6.7,13.5,"",""
"TALL_046_871",41,7.2,10.5,"",""
"TALL_046_855",41,17.2,7.5,"",""
"TALL_046_901",41,4.2,13.5,"",""
"TALL_046_757",41,4.2,1.5,"",""
"TALL_046_813",41,14.2,4.5,"",""
"TALL_046_860",41,1.7,10.5,"",""
"TALL_046_847",41,13.2,7.5,"",""
"TALL_046_863",41,3.2,10.5,"",""
"TALL_046_772",41,11.7,1.5,"",""
"TALL_046_887",41,15.2,10.5,"",""
"TALL_046_842",41,10.7,7.5,"",""
"TALL_046_873",41,8.2,10.5,"",""
"TALL_046_861",41,2.2,10.5,"",""
"TALL_046_897",41,2.2,13.5,"",""
"TALL_046_858",41,18.7,7.5,"",""
"TALL_046_875",41,9.2,10.5,"",""
"TALL_046_961",41,16.2,16.5,"",""
"TALL_046_923",41,15.2,13.5,"",""
"TALL_046_911",41,9.2,13.5,"",""
"TALL_046_766",41,8.7,1.5,"",""
"TALL_046_795",41,5.2,4.5,"",""
"TALL_046_854",41,16.7,7.5,"",""
"TALL_046_888",41,15.7,10.5,"",""
"TALL_046_790",41,2.7,4.5,"",""
"TALL_046_824",41,1.7,7.5,"",""
"TALL_046_918",41,12.7,13.5,"",""
"TALL_046_849",41,14.2,7.5,"",""
"TALL_046_915",41,11.2,13.5,"",""
"TALL_046_834",41,6.7,7.5,"",""
"TALL_046_896",41,1.7,13.5,"",""
"TALL_046_759",41,5.2,1.5,"",""
"TALL_046_907",41,7.2,13.5,"",""
"TALL_046_788",41,1.7,4.5,"",""
"TALL_046_786",41,18.7,1.5,"",""
