"clipID","subplotID","xCoord","yCoord","status","date"
"WOOD_019_200",NA,10.7,16.5,"",""
"WOOD_019_023",NA,12.2,1.5,"",""
"WOOD_019_210",NA,15.7,16.5,"",""
"WOOD_019_195",NA,8.2,16.5,"",""
"WOOD_019_009",NA,5.2,1.5,"",""
"WOOD_019_018",NA,9.7,1.5,"",""
"WOOD_019_136",NA,14.7,10.5,"",""
"WOOD_019_055",NA,10.2,4.5,"",""
"WOOD_019_157",NA,7.2,13.5,"",""
"WOOD_019_114",NA,3.7,10.5,"",""
"WOOD_019_143",NA,18.2,10.5,"",""
"WOOD_019_163",NA,10.2,13.5,"",""
"WOOD_019_135",NA,14.2,10.5,"",""
"WOOD_019_122",NA,7.7,10.5,"",""
"WOOD_019_037",NA,1.2,4.5,"",""
"WOOD_019_046",NA,5.7,4.5,"",""
"WOOD_019_193",NA,7.2,16.5,"",""
"WOOD_019_010",NA,5.7,1.5,"",""
"WOOD_019_093",NA,11.2,7.5,"",""
"WOOD_019_205",NA,13.2,16.5,"",""
"WOOD_019_152",NA,4.7,13.5,"",""
"WOOD_019_065",NA,15.2,4.5,"",""
"WOOD_019_166",NA,11.7,13.5,"",""
"WOOD_019_155",NA,6.2,13.5,"",""
"WOOD_019_097",NA,13.2,7.5,"",""
"WOOD_019_075",NA,2.2,7.5,"",""
"WOOD_019_054",NA,9.7,4.5,"",""
"WOOD_019_140",NA,16.7,10.5,"",""
"WOOD_019_026",NA,13.7,1.5,"",""
"WOOD_019_072",NA,18.7,4.5,"",""
"WOOD_019_007",NA,4.2,1.5,"",""
"WOOD_019_126",NA,9.7,10.5,"",""
"WOOD_019_083",NA,6.2,7.5,"",""
"WOOD_019_206",NA,13.7,16.5,"",""
"WOOD_019_194",NA,7.7,16.5,"",""
"WOOD_019_154",NA,5.7,13.5,"",""
"WOOD_019_013",NA,7.2,1.5,"",""
"WOOD_019_051",NA,8.2,4.5,"",""
"WOOD_019_159",NA,8.2,13.5,"",""
"WOOD_019_148",NA,2.7,13.5,"",""
"WOOD_019_180",NA,18.7,13.5,"",""
"WOOD_019_028",NA,14.7,1.5,"",""
"WOOD_019_015",NA,8.2,1.5,"",""
"WOOD_019_150",NA,3.7,13.5,"",""
"WOOD_019_040",NA,2.7,4.5,"",""
"WOOD_019_202",NA,11.7,16.5,"",""
"WOOD_019_124",NA,8.7,10.5,"",""
"WOOD_019_160",NA,8.7,13.5,"",""
"WOOD_019_119",NA,6.2,10.5,"",""
