"clipID","subplotID","xCoord","yCoord","status","date"
"WOOD_056_145",NA,1.2,13.5,"",""
"WOOD_056_211",NA,16.2,16.5,"",""
"WOOD_056_030",NA,15.7,1.5,"",""
"WOOD_056_205",NA,13.2,16.5,"",""
"WOOD_056_023",NA,12.2,1.5,"",""
"WOOD_056_140",NA,16.7,10.5,"",""
"WOOD_056_018",NA,9.7,1.5,"",""
"WOOD_056_151",NA,4.2,13.5,"",""
"WOOD_056_176",NA,16.7,13.5,"",""
"WOOD_056_120",NA,6.7,10.5,"",""
"WOOD_056_046",NA,5.7,4.5,"",""
"WOOD_056_134",NA,13.7,10.5,"",""
"WOOD_056_146",NA,1.7,13.5,"",""
"WOOD_056_058",NA,11.7,4.5,"",""
"WOOD_056_152",NA,4.7,13.5,"",""
"WOOD_056_069",NA,17.2,4.5,"",""
"WOOD_056_191",NA,6.2,16.5,"",""
"WOOD_056_207",NA,14.2,16.5,"",""
"WOOD_056_072",NA,18.7,4.5,"",""
"WOOD_056_102",NA,15.7,7.5,"",""
"WOOD_056_065",NA,15.2,4.5,"",""
"WOOD_056_125",NA,9.2,10.5,"",""
"WOOD_056_160",NA,8.7,13.5,"",""
"WOOD_056_175",NA,16.2,13.5,"",""
"WOOD_056_051",NA,8.2,4.5,"",""
"WOOD_056_150",NA,3.7,13.5,"",""
"WOOD_056_161",NA,9.2,13.5,"",""
"WOOD_056_049",NA,7.2,4.5,"",""
"WOOD_056_011",NA,6.2,1.5,"",""
"WOOD_056_162",NA,9.7,13.5,"",""
"WOOD_056_122",NA,7.7,10.5,"",""
"WOOD_056_077",NA,3.2,7.5,"",""
"WOOD_056_210",NA,15.7,16.5,"",""
"WOOD_056_203",NA,12.2,16.5,"",""
"WOOD_056_017",NA,9.2,1.5,"",""
"WOOD_056_080",NA,4.7,7.5,"",""
"WOOD_056_097",NA,13.2,7.5,"",""
"WOOD_056_187",NA,4.2,16.5,"",""
"WOOD_056_099",NA,14.2,7.5,"",""
"WOOD_056_029",NA,15.2,1.5,"",""
"WOOD_056_028",NA,14.7,1.5,"",""
"WOOD_056_083",NA,6.2,7.5,"",""
"WOOD_056_157",NA,7.2,13.5,"",""
"WOOD_056_056",NA,10.7,4.5,"",""
"WOOD_056_198",NA,9.7,16.5,"",""
"WOOD_056_074",NA,1.7,7.5,"",""
"WOOD_056_027",NA,14.2,1.5,"",""
"WOOD_056_135",NA,14.2,10.5,"",""
"WOOD_056_195",NA,8.2,16.5,"",""
"WOOD_056_155",NA,6.2,13.5,"",""
"WOOD_056_093",NA,11.2,7.5,"",""
"WOOD_056_147",NA,2.2,13.5,"",""
"WOOD_056_119",NA,6.2,10.5,"",""
"WOOD_056_123",NA,8.2,10.5,"",""
"WOOD_056_075",NA,2.2,7.5,"",""
"WOOD_056_165",NA,11.2,13.5,"",""
"WOOD_056_073",NA,1.2,7.5,"",""
"WOOD_056_062",NA,13.7,4.5,"",""
"WOOD_056_124",NA,8.7,10.5,"",""
"WOOD_056_082",NA,5.7,7.5,"",""
"WOOD_056_167",NA,12.2,13.5,"",""
"WOOD_056_172",NA,14.7,13.5,"",""
"WOOD_056_159",NA,8.2,13.5,"",""
"WOOD_056_209",NA,15.2,16.5,"",""
"WOOD_056_143",NA,18.2,10.5,"",""
"WOOD_056_202",NA,11.7,16.5,"",""
"WOOD_056_170",NA,13.7,13.5,"",""
"WOOD_056_144",NA,18.7,10.5,"",""
"WOOD_056_050",NA,7.7,4.5,"",""
"WOOD_056_098",NA,13.7,7.5,"",""
"WOOD_056_052",NA,8.7,4.5,"",""
"WOOD_056_021",NA,11.2,1.5,"",""
