"clipID","subplotID","xCoord","yCoord","status","eventDate"
"CPER_037_025",NA,13.2,1.5,"",""
"CPER_037_018",NA,9.7,1.5,"",""
"CPER_037_101",NA,15.2,7.5,"",""
"CPER_037_057",NA,11.2,4.5,"",""
"CPER_037_077",NA,3.2,7.5,"",""
"CPER_037_009",NA,5.2,1.5,"",""
"CPER_037_053",NA,9.2,4.5,"",""
"CPER_037_134",NA,13.7,10.5,"",""
"CPER_037_024",NA,12.7,1.5,"",""
"CPER_037_103",NA,16.2,7.5,"",""
"CPER_037_040",NA,2.7,4.5,"",""
"CPER_037_207",NA,14.2,16.5,"",""
"CPER_037_071",NA,18.2,4.5,"",""
"CPER_037_083",NA,6.2,7.5,"",""
"CPER_037_017",NA,9.2,1.5,"",""
"CPER_037_117",NA,5.2,10.5,"",""
"CPER_037_052",NA,8.7,4.5,"",""
"CPER_037_137",NA,15.2,10.5,"",""
"CPER_037_019",NA,10.2,1.5,"",""
"CPER_037_115",NA,4.2,10.5,"",""
"CPER_037_042",NA,3.7,4.5,"",""
"CPER_037_154",NA,5.7,13.5,"",""
"CPER_037_054",NA,9.7,4.5,"",""
"CPER_037_205",NA,13.2,16.5,"",""
"CPER_037_160",NA,8.7,13.5,"",""
"CPER_037_190",NA,5.7,16.5,"",""
"CPER_037_072",NA,18.7,4.5,"",""
"CPER_037_118",NA,5.7,10.5,"",""
"CPER_037_186",NA,3.7,16.5,"",""
"CPER_037_177",NA,17.2,13.5,"",""
"CPER_037_162",NA,9.7,13.5,"",""
"CPER_037_013",NA,7.2,1.5,"",""
"CPER_037_135",NA,14.2,10.5,"",""
"CPER_037_079",NA,4.2,7.5,"",""
"CPER_037_121",NA,7.2,10.5,"",""
"CPER_037_064",NA,14.7,4.5,"",""
"CPER_037_147",NA,2.2,13.5,"",""
"CPER_037_124",NA,8.7,10.5,"",""
"CPER_037_029",NA,15.2,1.5,"",""
"CPER_037_146",NA,1.7,13.5,"",""
"CPER_037_027",NA,14.2,1.5,"",""
"CPER_037_194",NA,7.7,16.5,"",""
"CPER_037_141",NA,17.2,10.5,"",""
"CPER_037_180",NA,18.7,13.5,"",""
"CPER_037_155",NA,6.2,13.5,"",""
"CPER_037_008",NA,4.7,1.5,"",""
"CPER_037_065",NA,15.2,4.5,"",""
"CPER_037_192",NA,6.7,16.5,"",""
"CPER_037_030",NA,15.7,1.5,"",""
"CPER_037_011",NA,6.2,1.5,"",""
"CPER_037_120",NA,6.7,10.5,"",""
"CPER_037_049",NA,7.2,4.5,"",""
"CPER_037_193",NA,7.2,16.5,"",""
"CPER_037_050",NA,7.7,4.5,"",""
"CPER_037_116",NA,4.7,10.5,"",""
"CPER_037_041",NA,3.2,4.5,"",""
"CPER_037_189",NA,5.2,16.5,"",""
"CPER_037_058",NA,11.7,4.5,"",""
"CPER_037_156",NA,6.7,13.5,"",""
"CPER_037_209",NA,15.2,16.5,"",""
"CPER_037_046",NA,5.7,4.5,"",""
"CPER_037_056",NA,10.7,4.5,"",""
"CPER_037_021",NA,11.2,1.5,"",""
"CPER_037_068",NA,16.7,4.5,"",""
"CPER_037_014",NA,7.7,1.5,"",""
"CPER_037_059",NA,12.2,4.5,"",""
"CPER_037_148",NA,2.7,13.5,"",""
"CPER_037_055",NA,10.2,4.5,"",""
"CPER_037_010",NA,5.7,1.5,"",""
"CPER_037_176",NA,16.7,13.5,"",""
"CPER_037_048",NA,6.7,4.5,"",""
"CPER_037_196",NA,8.7,16.5,"",""
"CPER_037_170",NA,13.7,13.5,"",""
"CPER_037_138",NA,15.7,10.5,"",""
"CPER_037_168",NA,12.7,13.5,"",""
"CPER_037_015",NA,8.2,1.5,"",""
"CPER_037_211",NA,16.2,16.5,"",""
"CPER_037_097",NA,13.2,7.5,"",""
"CPER_037_188",NA,4.7,16.5,"",""
"CPER_037_094",NA,11.7,7.5,"",""
"CPER_037_174",NA,15.7,13.5,"",""
"CPER_037_047",NA,6.2,4.5,"",""
"CPER_037_098",NA,13.7,7.5,"",""
"CPER_037_095",NA,12.2,7.5,"",""
"CPER_037_092",NA,10.7,7.5,"",""
"CPER_037_126",NA,9.7,10.5,"",""
"CPER_037_122",NA,7.7,10.5,"",""
"CPER_037_202",NA,11.7,16.5,"",""
"CPER_037_037",NA,1.2,4.5,"",""
"CPER_037_201",NA,11.2,16.5,"",""
"CPER_037_171",NA,14.2,13.5,"",""
"CPER_037_206",NA,13.7,16.5,"",""
"CPER_037_091",NA,10.2,7.5,"",""
"CPER_037_028",NA,14.7,1.5,"",""
"CPER_037_167",NA,12.2,13.5,"",""
"CPER_037_195",NA,8.2,16.5,"",""
"CPER_037_175",NA,16.2,13.5,"",""
"CPER_037_161",NA,9.2,13.5,"",""
"CPER_037_061",NA,13.2,4.5,"",""
"CPER_037_031",NA,16.2,1.5,"",""
"CPER_037_198",NA,9.7,16.5,"",""
"CPER_037_063",NA,14.2,4.5,"",""
"CPER_037_023",NA,12.2,1.5,"",""
"CPER_037_159",NA,8.2,13.5,"",""
"CPER_037_163",NA,10.2,13.5,"",""
"CPER_037_125",NA,9.2,10.5,"",""
"CPER_037_152",NA,4.7,13.5,"",""
"CPER_037_067",NA,16.2,4.5,"",""
"CPER_037_069",NA,17.2,4.5,"",""
"CPER_037_164",NA,10.7,13.5,"",""
"CPER_037_073",NA,1.2,7.5,"",""
"CPER_037_149",NA,3.2,13.5,"",""
"CPER_037_157",NA,7.2,13.5,"",""
"CPER_037_143",NA,18.2,10.5,"",""
"CPER_037_210",NA,15.7,16.5,"",""
"CPER_037_136",NA,14.7,10.5,"",""
"CPER_037_093",NA,11.2,7.5,"",""
"CPER_037_022",NA,11.7,1.5,"",""
"CPER_037_151",NA,4.2,13.5,"",""
"CPER_037_199",NA,10.2,16.5,"",""
"CPER_037_145",NA,1.2,13.5,"",""
"CPER_037_012",NA,6.7,1.5,"",""
"CPER_037_096",NA,12.7,7.5,"",""
"CPER_037_178",NA,17.7,13.5,"",""
"CPER_037_102",NA,15.7,7.5,"",""
"CPER_037_123",NA,8.2,10.5,"",""
"CPER_037_076",NA,2.7,7.5,"",""
