"clipID","subplotID","xCoord","yCoord","status","eventDate"
"CPER_045_010",NA,5.7,1.5,"",""
"CPER_045_101",NA,15.2,7.5,"",""
"CPER_045_199",NA,10.2,16.5,"",""
"CPER_045_038",NA,1.7,4.5,"",""
"CPER_045_144",NA,18.7,10.5,"",""
"CPER_045_166",NA,11.7,13.5,"",""
"CPER_045_120",NA,6.7,10.5,"",""
"CPER_045_064",NA,14.7,4.5,"",""
"CPER_045_147",NA,2.2,13.5,"",""
"CPER_045_040",NA,2.7,4.5,"",""
"CPER_045_149",NA,3.2,13.5,"",""
"CPER_045_161",NA,9.2,13.5,"",""
"CPER_045_067",NA,16.2,4.5,"",""
"CPER_045_092",NA,10.7,7.5,"",""
"CPER_045_140",NA,16.7,10.5,"",""
"CPER_045_041",NA,3.2,4.5,"",""
"CPER_045_193",NA,7.2,16.5,"",""
"CPER_045_083",NA,6.2,7.5,"",""
"CPER_045_062",NA,13.7,4.5,"",""
"CPER_045_081",NA,5.2,7.5,"",""
"CPER_045_024",NA,12.7,1.5,"",""
"CPER_045_164",NA,10.7,13.5,"",""
"CPER_045_095",NA,12.2,7.5,"",""
"CPER_045_073",NA,1.2,7.5,"",""
"CPER_045_180",NA,18.7,13.5,"",""
"CPER_045_160",NA,8.7,13.5,"",""
"CPER_045_091",NA,10.2,7.5,"",""
"CPER_045_011",NA,6.2,1.5,"",""
"CPER_045_173",NA,15.2,13.5,"",""
"CPER_045_046",NA,5.7,4.5,"",""
"CPER_045_052",NA,8.7,4.5,"",""
"CPER_045_117",NA,5.2,10.5,"",""
"CPER_045_207",NA,14.2,16.5,"",""
"CPER_045_165",NA,11.2,13.5,"",""
"CPER_045_174",NA,15.7,13.5,"",""
"CPER_045_151",NA,4.2,13.5,"",""
"CPER_045_098",NA,13.7,7.5,"",""
"CPER_045_192",NA,6.7,16.5,"",""
"CPER_045_168",NA,12.7,13.5,"",""
"CPER_045_172",NA,14.7,13.5,"",""
"CPER_045_155",NA,6.2,13.5,"",""
"CPER_045_100",NA,14.7,7.5,"",""
"CPER_045_056",NA,10.7,4.5,"",""
"CPER_045_153",NA,5.2,13.5,"",""
"CPER_045_205",NA,13.2,16.5,"",""
"CPER_045_049",NA,7.2,4.5,"",""
"CPER_045_025",NA,13.2,1.5,"",""
"CPER_045_093",NA,11.2,7.5,"",""
"CPER_045_142",NA,17.7,10.5,"",""
"CPER_045_021",NA,11.2,1.5,"",""
"CPER_045_023",NA,12.2,1.5,"",""
"CPER_045_178",NA,17.7,13.5,"",""
"CPER_045_054",NA,9.7,4.5,"",""
"CPER_045_065",NA,15.2,4.5,"",""
"CPER_045_146",NA,1.7,13.5,"",""
"CPER_045_102",NA,15.7,7.5,"",""
"CPER_045_167",NA,12.2,13.5,"",""
"CPER_045_143",NA,18.2,10.5,"",""
"CPER_045_072",NA,18.7,4.5,"",""
"CPER_045_075",NA,2.2,7.5,"",""
"CPER_045_204",NA,12.7,16.5,"",""
"CPER_045_028",NA,14.7,1.5,"",""
"CPER_045_030",NA,15.7,1.5,"",""
"CPER_045_176",NA,16.7,13.5,"",""
"CPER_045_026",NA,13.7,1.5,"",""
"CPER_045_031",NA,16.2,1.5,"",""
"CPER_045_145",NA,1.2,13.5,"",""
"CPER_045_156",NA,6.7,13.5,"",""
"CPER_045_077",NA,3.2,7.5,"",""
