"clipID","subplotID","xCoord","yCoord","status","date"
"STER_033_175",NA,16.2,13.5,"",""
"STER_033_037",NA,1.2,4.5,"",""
"STER_033_147",NA,2.2,13.5,"",""
"STER_033_166",NA,11.7,13.5,"",""
"STER_033_015",NA,8.2,1.5,"",""
"STER_033_056",NA,10.7,4.5,"",""
"STER_033_060",NA,12.7,4.5,"",""
"STER_033_201",NA,11.2,16.5,"",""
"STER_033_211",NA,16.2,16.5,"",""
"STER_033_021",NA,11.2,1.5,"",""
"STER_033_099",NA,14.2,7.5,"",""
"STER_033_070",NA,17.7,4.5,"",""
"STER_033_179",NA,18.2,13.5,"",""
"STER_033_176",NA,16.7,13.5,"",""
"STER_033_064",NA,14.7,4.5,"",""
"STER_033_096",NA,12.7,7.5,"",""
"STER_033_200",NA,10.7,16.5,"",""
"STER_033_080",NA,4.7,7.5,"",""
"STER_033_159",NA,8.2,13.5,"",""
"STER_033_050",NA,7.7,4.5,"",""
"STER_033_063",NA,14.2,4.5,"",""
"STER_033_061",NA,13.2,4.5,"",""
"STER_033_121",NA,7.2,10.5,"",""
"STER_033_162",NA,9.7,13.5,"",""
"STER_033_053",NA,9.2,4.5,"",""
"STER_033_135",NA,14.2,10.5,"",""
"STER_033_168",NA,12.7,13.5,"",""
"STER_033_197",NA,9.2,16.5,"",""
"STER_033_097",NA,13.2,7.5,"",""
"STER_033_049",NA,7.2,4.5,"",""
"STER_033_170",NA,13.7,13.5,"",""
"STER_033_038",NA,1.7,4.5,"",""
"STER_033_023",NA,12.2,1.5,"",""
"STER_033_171",NA,14.2,13.5,"",""
"STER_033_193",NA,7.2,16.5,"",""
"STER_033_165",NA,11.2,13.5,"",""
"STER_033_045",NA,5.2,4.5,"",""
"STER_033_051",NA,8.2,4.5,"",""
"STER_033_134",NA,13.7,10.5,"",""
"STER_033_124",NA,8.7,10.5,"",""
"STER_033_123",NA,8.2,10.5,"",""
"STER_033_065",NA,15.2,4.5,"",""
"STER_033_137",NA,15.2,10.5,"",""
"STER_033_019",NA,10.2,1.5,"",""
"STER_033_052",NA,8.7,4.5,"",""
"STER_033_043",NA,4.2,4.5,"",""
"STER_033_092",NA,10.7,7.5,"",""
"STER_033_071",NA,18.2,4.5,"",""
"STER_033_148",NA,2.7,13.5,"",""
"STER_033_076",NA,2.7,7.5,"",""
"STER_033_149",NA,3.2,13.5,"",""
"STER_033_101",NA,15.2,7.5,"",""
"STER_033_152",NA,4.7,13.5,"",""
"STER_033_026",NA,13.7,1.5,"",""
"STER_033_022",NA,11.7,1.5,"",""
"STER_033_206",NA,13.7,16.5,"",""
"STER_033_046",NA,5.7,4.5,"",""
"STER_033_072",NA,18.7,4.5,"",""
"STER_033_048",NA,6.7,4.5,"",""
"STER_033_100",NA,14.7,7.5,"",""
"STER_033_204",NA,12.7,16.5,"",""
"STER_033_066",NA,15.7,4.5,"",""
"STER_033_155",NA,6.2,13.5,"",""
"STER_033_158",NA,7.7,13.5,"",""
"STER_033_062",NA,13.7,4.5,"",""
"STER_033_126",NA,9.7,10.5,"",""
"STER_033_117",NA,5.2,10.5,"",""
"STER_033_010",NA,5.7,1.5,"",""
"STER_033_093",NA,11.2,7.5,"",""
"STER_033_187",NA,4.2,16.5,"",""
"STER_033_196",NA,8.7,16.5,"",""
"STER_033_136",NA,14.7,10.5,"",""
"STER_033_194",NA,7.7,16.5,"",""
"STER_033_083",NA,6.2,7.5,"",""
"STER_033_163",NA,10.2,13.5,"",""
"STER_033_178",NA,17.7,13.5,"",""
"STER_033_150",NA,3.7,13.5,"",""
"STER_033_067",NA,16.2,4.5,"",""
"STER_033_006",NA,3.7,1.5,"",""
"STER_033_095",NA,12.2,7.5,"",""
"STER_033_120",NA,6.7,10.5,"",""
"STER_033_205",NA,13.2,16.5,"",""
"STER_033_210",NA,15.7,16.5,"",""
"STER_033_157",NA,7.2,13.5,"",""
"STER_033_028",NA,14.7,1.5,"",""
"STER_033_068",NA,16.7,4.5,"",""
"STER_033_009",NA,5.2,1.5,"",""
"STER_033_102",NA,15.7,7.5,"",""
"STER_033_139",NA,16.2,10.5,"",""
"STER_033_115",NA,4.2,10.5,"",""
"STER_033_189",NA,5.2,16.5,"",""
"STER_033_020",NA,10.7,1.5,"",""
"STER_033_081",NA,5.2,7.5,"",""
"STER_033_169",NA,13.2,13.5,"",""
"STER_033_138",NA,15.7,10.5,"",""
"STER_033_047",NA,6.2,4.5,"",""
"STER_033_209",NA,15.2,16.5,"",""
"STER_033_207",NA,14.2,16.5,"",""
"STER_033_018",NA,9.7,1.5,"",""
"STER_033_069",NA,17.2,4.5,"",""
"STER_033_144",NA,18.7,10.5,"",""
"STER_033_174",NA,15.7,13.5,"",""
"STER_033_077",NA,3.2,7.5,"",""
"STER_033_025",NA,13.2,1.5,"",""
"STER_033_078",NA,3.7,7.5,"",""
"STER_033_041",NA,3.2,4.5,"",""
"STER_033_119",NA,6.2,10.5,"",""
"STER_033_186",NA,3.7,16.5,"",""
"STER_033_017",NA,9.2,1.5,"",""
"STER_033_172",NA,14.7,13.5,"",""
"STER_033_016",NA,8.7,1.5,"",""
"STER_033_122",NA,7.7,10.5,"",""
"STER_033_173",NA,15.2,13.5,"",""
"STER_033_075",NA,2.2,7.5,"",""
"STER_033_151",NA,4.2,13.5,"",""
"STER_033_013",NA,7.2,1.5,"",""
"STER_033_195",NA,8.2,16.5,"",""
"STER_033_192",NA,6.7,16.5,"",""
"STER_033_027",NA,14.2,1.5,"",""
"STER_033_103",NA,16.2,7.5,"",""
"STER_033_156",NA,6.7,13.5,"",""
"STER_033_073",NA,1.2,7.5,"",""
"STER_033_202",NA,11.7,16.5,"",""
"STER_033_141",NA,17.2,10.5,"",""
"STER_033_125",NA,9.2,10.5,"",""
"STER_033_118",NA,5.7,10.5,"",""
"STER_033_154",NA,5.7,13.5,"",""
"STER_033_014",NA,7.7,1.5,"",""
"STER_033_161",NA,9.2,13.5,"",""
"STER_033_044",NA,4.7,4.5,"",""
"STER_033_177",NA,17.2,13.5,"",""
"STER_033_140",NA,16.7,10.5,"",""
"STER_033_024",NA,12.7,1.5,"",""
"STER_033_074",NA,1.7,7.5,"",""
"STER_033_079",NA,4.2,7.5,"",""
"STER_033_153",NA,5.2,13.5,"",""
"STER_033_160",NA,8.7,13.5,"",""
"STER_033_058",NA,11.7,4.5,"",""
"STER_033_039",NA,2.2,4.5,"",""
"STER_033_116",NA,4.7,10.5,"",""
"STER_033_203",NA,12.2,16.5,"",""
"STER_033_007",NA,4.2,1.5,"",""
"STER_033_054",NA,9.7,4.5,"",""
"STER_033_057",NA,11.2,4.5,"",""
"STER_033_191",NA,6.2,16.5,"",""
"STER_033_208",NA,14.7,16.5,"",""
"STER_033_143",NA,18.2,10.5,"",""
