"clipID","subplotID","xCoord","yCoord","status","eventDate"
"STER_014_094",NA,11.7,7.5,"",""
"STER_014_031",NA,16.2,1.5,"",""
"STER_014_151",NA,4.2,13.5,"",""
"STER_014_082",NA,5.7,7.5,"",""
"STER_014_060",NA,12.7,4.5,"",""
"STER_014_099",NA,14.2,7.5,"",""
"STER_014_049",NA,7.2,4.5,"",""
"STER_014_022",NA,11.7,1.5,"",""
"STER_014_012",NA,6.7,1.5,"",""
"STER_014_055",NA,10.2,4.5,"",""
"STER_014_064",NA,14.7,4.5,"",""
"STER_014_078",NA,3.7,7.5,"",""
"STER_014_195",NA,8.2,16.5,"",""
"STER_014_172",NA,14.7,13.5,"",""
"STER_014_189",NA,5.2,16.5,"",""
"STER_014_039",NA,2.2,4.5,"",""
"STER_014_097",NA,13.2,7.5,"",""
"STER_014_135",NA,14.2,10.5,"",""
"STER_014_124",NA,8.7,10.5,"",""
"STER_014_147",NA,2.2,13.5,"",""
"STER_014_155",NA,6.2,13.5,"",""
"STER_014_095",NA,12.2,7.5,"",""
"STER_014_007",NA,4.2,1.5,"",""
"STER_014_011",NA,6.2,1.5,"",""
"STER_014_047",NA,6.2,4.5,"",""
"STER_014_101",NA,15.2,7.5,"",""
"STER_014_186",NA,3.7,16.5,"",""
"STER_014_043",NA,4.2,4.5,"",""
"STER_014_052",NA,8.7,4.5,"",""
"STER_014_116",NA,4.7,10.5,"",""
"STER_014_202",NA,11.7,16.5,"",""
"STER_014_096",NA,12.7,7.5,"",""
"STER_014_021",NA,11.2,1.5,"",""
"STER_014_157",NA,7.2,13.5,"",""
"STER_014_165",NA,11.2,13.5,"",""
"STER_014_026",NA,13.7,1.5,"",""
"STER_014_071",NA,18.2,4.5,"",""
"STER_014_209",NA,15.2,16.5,"",""
"STER_014_006",NA,3.7,1.5,"",""
"STER_014_170",NA,13.7,13.5,"",""
"STER_014_018",NA,9.7,1.5,"",""
"STER_014_173",NA,15.2,13.5,"",""
"STER_014_148",NA,2.7,13.5,"",""
"STER_014_045",NA,5.2,4.5,"",""
"STER_014_163",NA,10.2,13.5,"",""
"STER_014_061",NA,13.2,4.5,"",""
"STER_014_142",NA,17.7,10.5,"",""
"STER_014_009",NA,5.2,1.5,"",""
"STER_014_070",NA,17.7,4.5,"",""
"STER_014_166",NA,11.7,13.5,"",""
"STER_014_180",NA,18.7,13.5,"",""
"STER_014_046",NA,5.7,4.5,"",""
"STER_014_092",NA,10.7,7.5,"",""
"STER_014_058",NA,11.7,4.5,"",""
"STER_014_050",NA,7.7,4.5,"",""
"STER_014_013",NA,7.2,1.5,"",""
"STER_014_059",NA,12.2,4.5,"",""
"STER_014_179",NA,18.2,13.5,"",""
"STER_014_169",NA,13.2,13.5,"",""
"STER_014_126",NA,9.7,10.5,"",""
"STER_014_065",NA,15.2,4.5,"",""
"STER_014_103",NA,16.2,7.5,"",""
"STER_014_138",NA,15.7,10.5,"",""
"STER_014_194",NA,7.7,16.5,"",""
"STER_014_098",NA,13.7,7.5,"",""
"STER_014_019",NA,10.2,1.5,"",""
"STER_014_143",NA,18.2,10.5,"",""
"STER_014_204",NA,12.7,16.5,"",""
"STER_014_161",NA,9.2,13.5,"",""
"STER_014_201",NA,11.2,16.5,"",""
"STER_014_122",NA,7.7,10.5,"",""
"STER_014_010",NA,5.7,1.5,"",""
"STER_014_171",NA,14.2,13.5,"",""
"STER_014_164",NA,10.7,13.5,"",""
"STER_014_079",NA,4.2,7.5,"",""
"STER_014_025",NA,13.2,1.5,"",""
"STER_014_196",NA,8.7,16.5,"",""
"STER_014_197",NA,9.2,16.5,"",""
"STER_014_118",NA,5.7,10.5,"",""
"STER_014_152",NA,4.7,13.5,"",""
"STER_014_054",NA,9.7,4.5,"",""
"STER_014_159",NA,8.2,13.5,"",""
"STER_014_048",NA,6.7,4.5,"",""
"STER_014_016",NA,8.7,1.5,"",""
"STER_014_051",NA,8.2,4.5,"",""
