"clipID","subplotID","xCoord","yCoord","status","date"
"ONAQ_007_070",NA,17.7,4.5,"",""
"ONAQ_007_138",NA,15.7,10.5,"",""
"ONAQ_007_120",NA,6.7,10.5,"",""
"ONAQ_007_094",NA,11.7,7.5,"",""
"ONAQ_007_045",NA,5.2,4.5,"",""
"ONAQ_007_031",NA,16.2,1.5,"",""
"ONAQ_007_158",NA,7.7,13.5,"",""
"ONAQ_007_146",NA,1.7,13.5,"",""
"ONAQ_007_152",NA,4.7,13.5,"",""
"ONAQ_007_200",NA,10.7,16.5,"",""
"ONAQ_007_039",NA,2.2,4.5,"",""
"ONAQ_007_079",NA,4.2,7.5,"",""
"ONAQ_007_083",NA,6.2,7.5,"",""
"ONAQ_007_066",NA,15.7,4.5,"",""
"ONAQ_007_030",NA,15.7,1.5,"",""
"ONAQ_007_145",NA,1.2,13.5,"",""
"ONAQ_007_195",NA,8.2,16.5,"",""
"ONAQ_007_024",NA,12.7,1.5,"",""
"ONAQ_007_092",NA,10.7,7.5,"",""
"ONAQ_007_069",NA,17.2,4.5,"",""
"ONAQ_007_067",NA,16.2,4.5,"",""
"ONAQ_007_048",NA,6.7,4.5,"",""
"ONAQ_007_064",NA,14.7,4.5,"",""
"ONAQ_007_150",NA,3.7,13.5,"",""
"ONAQ_007_125",NA,9.2,10.5,"",""
"ONAQ_007_012",NA,6.7,1.5,"",""
"ONAQ_007_037",NA,1.2,4.5,"",""
"ONAQ_007_062",NA,13.7,4.5,"",""
"ONAQ_007_175",NA,16.2,13.5,"",""
"ONAQ_007_020",NA,10.7,1.5,"",""
"ONAQ_007_027",NA,14.2,1.5,"",""
"ONAQ_007_068",NA,16.7,4.5,"",""
"ONAQ_007_103",NA,16.2,7.5,"",""
"ONAQ_007_118",NA,5.7,10.5,"",""
"ONAQ_007_117",NA,5.2,10.5,"",""
"ONAQ_007_134",NA,13.7,10.5,"",""
"ONAQ_007_211",NA,16.2,16.5,"",""
"ONAQ_007_177",NA,17.2,13.5,"",""
"ONAQ_007_166",NA,11.7,13.5,"",""
