"clipID","subplotID","xCoord","yCoord","status","date"
"ONAQ_059_045",NA,5.2,4.5,"",""
"ONAQ_059_166",NA,11.7,13.5,"",""
"ONAQ_059_115",NA,4.2,10.5,"",""
"ONAQ_059_189",NA,5.2,16.5,"",""
"ONAQ_059_067",NA,16.2,4.5,"",""
"ONAQ_059_141",NA,17.2,10.5,"",""
"ONAQ_059_091",NA,10.2,7.5,"",""
"ONAQ_059_055",NA,10.2,4.5,"",""
"ONAQ_059_100",NA,14.7,7.5,"",""
"ONAQ_059_178",NA,17.7,13.5,"",""
"ONAQ_059_038",NA,1.7,4.5,"",""
"ONAQ_059_098",NA,13.7,7.5,"",""
"ONAQ_059_075",NA,2.2,7.5,"",""
"ONAQ_059_076",NA,2.7,7.5,"",""
"ONAQ_059_174",NA,15.7,13.5,"",""
"ONAQ_059_146",NA,1.7,13.5,"",""
"ONAQ_059_177",NA,17.2,13.5,"",""
"ONAQ_059_065",NA,15.2,4.5,"",""
"ONAQ_059_165",NA,11.2,13.5,"",""
"ONAQ_059_051",NA,8.2,4.5,"",""
"ONAQ_059_095",NA,12.2,7.5,"",""
"ONAQ_059_031",NA,16.2,1.5,"",""
"ONAQ_059_176",NA,16.7,13.5,"",""
"ONAQ_059_148",NA,2.7,13.5,"",""
"ONAQ_059_207",NA,14.2,16.5,"",""
"ONAQ_059_074",NA,1.7,7.5,"",""
"ONAQ_059_154",NA,5.7,13.5,"",""
"ONAQ_059_020",NA,10.7,1.5,"",""
"ONAQ_059_186",NA,3.7,16.5,"",""
"ONAQ_059_161",NA,9.2,13.5,"",""
"ONAQ_059_063",NA,14.2,4.5,"",""
"ONAQ_059_102",NA,15.7,7.5,"",""
"ONAQ_059_209",NA,15.2,16.5,"",""
"ONAQ_059_050",NA,7.7,4.5,"",""
"ONAQ_059_203",NA,12.2,16.5,"",""
"ONAQ_059_160",NA,8.7,13.5,"",""
"ONAQ_059_163",NA,10.2,13.5,"",""
"ONAQ_059_145",NA,1.2,13.5,"",""
"ONAQ_059_123",NA,8.2,10.5,"",""
"ONAQ_059_198",NA,9.7,16.5,"",""
"ONAQ_059_097",NA,13.2,7.5,"",""
"ONAQ_059_158",NA,7.7,13.5,"",""
"ONAQ_059_118",NA,5.7,10.5,"",""
"ONAQ_059_150",NA,3.7,13.5,"",""
"ONAQ_059_121",NA,7.2,10.5,"",""
"ONAQ_059_093",NA,11.2,7.5,"",""
"ONAQ_059_162",NA,9.7,13.5,"",""
"ONAQ_059_012",NA,6.7,1.5,"",""
"ONAQ_059_153",NA,5.2,13.5,"",""
"ONAQ_059_077",NA,3.2,7.5,"",""
"ONAQ_059_151",NA,4.2,13.5,"",""
"ONAQ_059_210",NA,15.7,16.5,"",""
"ONAQ_059_081",NA,5.2,7.5,"",""
"ONAQ_059_135",NA,14.2,10.5,"",""
"ONAQ_059_124",NA,8.7,10.5,"",""
"ONAQ_059_096",NA,12.7,7.5,"",""
"ONAQ_059_017",NA,9.2,1.5,"",""
"ONAQ_059_054",NA,9.7,4.5,"",""
"ONAQ_059_116",NA,4.7,10.5,"",""
"ONAQ_059_068",NA,16.7,4.5,"",""
"ONAQ_059_044",NA,4.7,4.5,"",""
"ONAQ_059_173",NA,15.2,13.5,"",""
"ONAQ_059_170",NA,13.7,13.5,"",""
"ONAQ_059_197",NA,9.2,16.5,"",""
"ONAQ_059_142",NA,17.7,10.5,"",""
"ONAQ_059_147",NA,2.2,13.5,"",""
"ONAQ_059_064",NA,14.7,4.5,"",""
"ONAQ_059_138",NA,15.7,10.5,"",""
"ONAQ_059_042",NA,3.7,4.5,"",""
"ONAQ_059_066",NA,15.7,4.5,"",""
"ONAQ_059_039",NA,2.2,4.5,"",""
"ONAQ_059_179",NA,18.2,13.5,"",""
"ONAQ_059_206",NA,13.7,16.5,"",""
"ONAQ_059_144",NA,18.7,10.5,"",""
"ONAQ_059_168",NA,12.7,13.5,"",""
"ONAQ_059_134",NA,13.7,10.5,"",""
"ONAQ_059_080",NA,4.7,7.5,"",""
"ONAQ_059_062",NA,13.7,4.5,"",""
"ONAQ_059_059",NA,12.2,4.5,"",""
"ONAQ_059_155",NA,6.2,13.5,"",""
"ONAQ_059_009",NA,5.2,1.5,"",""
"ONAQ_059_191",NA,6.2,16.5,"",""
"ONAQ_059_030",NA,15.7,1.5,"",""
"ONAQ_059_061",NA,13.2,4.5,"",""
"ONAQ_059_024",NA,12.7,1.5,"",""
"ONAQ_059_139",NA,16.2,10.5,"",""
"ONAQ_059_094",NA,11.7,7.5,"",""
"ONAQ_059_014",NA,7.7,1.5,"",""
"ONAQ_059_049",NA,7.2,4.5,"",""
"ONAQ_059_188",NA,4.7,16.5,"",""
"ONAQ_059_201",NA,11.2,16.5,"",""
"ONAQ_059_047",NA,6.2,4.5,"",""
"ONAQ_059_026",NA,13.7,1.5,"",""
"ONAQ_059_078",NA,3.7,7.5,"",""
"ONAQ_059_013",NA,7.2,1.5,"",""
"ONAQ_059_192",NA,6.7,16.5,"",""
"ONAQ_059_082",NA,5.7,7.5,"",""
"ONAQ_059_053",NA,9.2,4.5,"",""
"ONAQ_059_092",NA,10.7,7.5,"",""
"ONAQ_059_175",NA,16.2,13.5,"",""
"ONAQ_059_021",NA,11.2,1.5,"",""
"ONAQ_059_022",NA,11.7,1.5,"",""
"ONAQ_059_204",NA,12.7,16.5,"",""
"ONAQ_059_070",NA,17.7,4.5,"",""
"ONAQ_059_152",NA,4.7,13.5,"",""
"ONAQ_059_171",NA,14.2,13.5,"",""
"ONAQ_059_167",NA,12.2,13.5,"",""
"ONAQ_059_052",NA,8.7,4.5,"",""
"ONAQ_059_046",NA,5.7,4.5,"",""
"ONAQ_059_140",NA,16.7,10.5,"",""
"ONAQ_059_018",NA,9.7,1.5,"",""
"ONAQ_059_126",NA,9.7,10.5,"",""
"ONAQ_059_073",NA,1.2,7.5,"",""
"ONAQ_059_040",NA,2.7,4.5,"",""
"ONAQ_059_041",NA,3.2,4.5,"",""
"ONAQ_059_196",NA,8.7,16.5,"",""
"ONAQ_059_057",NA,11.2,4.5,"",""
"ONAQ_059_120",NA,6.7,10.5,"",""
"ONAQ_059_211",NA,16.2,16.5,"",""
"ONAQ_059_099",NA,14.2,7.5,"",""
"ONAQ_059_143",NA,18.2,10.5,"",""
"ONAQ_059_202",NA,11.7,16.5,"",""
"ONAQ_059_019",NA,10.2,1.5,"",""
"ONAQ_059_157",NA,7.2,13.5,"",""
"ONAQ_059_069",NA,17.2,4.5,"",""
"ONAQ_059_083",NA,6.2,7.5,"",""
"ONAQ_059_006",NA,3.7,1.5,"",""
"ONAQ_059_199",NA,10.2,16.5,"",""
"ONAQ_059_060",NA,12.7,4.5,"",""
"ONAQ_059_208",NA,14.7,16.5,"",""
"ONAQ_059_072",NA,18.7,4.5,"",""
"ONAQ_059_190",NA,5.7,16.5,"",""
"ONAQ_059_016",NA,8.7,1.5,"",""
"ONAQ_059_103",NA,16.2,7.5,"",""
"ONAQ_059_117",NA,5.2,10.5,"",""
"ONAQ_059_180",NA,18.7,13.5,"",""
"ONAQ_059_193",NA,7.2,16.5,"",""
"ONAQ_059_156",NA,6.7,13.5,"",""
"ONAQ_059_137",NA,15.2,10.5,"",""
"ONAQ_059_027",NA,14.2,1.5,"",""
"ONAQ_059_200",NA,10.7,16.5,"",""
"ONAQ_059_029",NA,15.2,1.5,"",""
"ONAQ_059_101",NA,15.2,7.5,"",""
