stemID,species,dbh.cm,xdist,ydist,Jenkins_type
1,TSHE,24.5,316.71,200.66,tf
5,TSHE,26,312.89,204.55,tf
7,TSHE,22.5,309.82,208.11,tf
8,TABR,8.4,302.69,212.88,tf
9,THPL,126.7,301.14,213.34,cl
10,TSHE,29,304.9,212.23,tf
11,TSHE,70.2,314.11,207.59,tf
12,TSHE,6.5,302.06,217.3,tf
13,TSHE,15,321.32,203.32,tf
16,TABR,10.7,307.71,214.44,tf
20,TSHE,52.5,311.37,214.18,tf
21,TSHE,32.5,308.18,221.78,tf
22,TSHE,55,310.98,218.88,tf
23,TSHE,6.5,309.43,223.35,tf
24,TSHE,8.1,318.81,208.69,tf
25,TSHE,8.2,319.16,208.97,tf
26,TSHE,12.3,319.43,210.71,tf
27,TSHE,28.5,324.29,201.65,tf
29,TSHE,17.4,320.17,213.71,tf
31,TSHE,17.1,317.67,221.93,tf
32,TSHE,6.9,322.02,211.04,tf
33,TSHE,69,320.5,215.77,tf
36,TSHE,13.8,309.32,225.23,tf
37,TSHE,79.5,302.34,225.44,tf
38,TABR,7.9,301.28,225.69,tf
39,TSHE,19.5,307.26,227.25,tf
40,PSME,144.5,320.47,226.3,pm
41,TSHE,23,309.88,229.02,tf
45,TABR,25,301.17,239.07,tf
46,TSHE,57.6,301.86,241.29,tf
47,TSHE,8,311.91,234.26,tf
48,TSHE,43.5,322.73,226.7,tf
49,TSHE,8,322.55,226.89,tf
50,TSHE,8.4,317.69,234.56,tf
51,THPL,24.8,317.23,235.33,cl
53,TSHE,42.5,306.76,248.43,tf
54,PSME,81.5,313.11,244.67,pm
55,THPL,107,314.98,244.07,cl
56,ABGR,58.2,318.39,237.89,tf
57,TABR,5.8,315.77,248.9,tf
58,TSHE,11.2,319.87,235.86,tf
59,TSHE,14.2,320.64,243.36,tf
60,TABR,17.8,320.06,246.59,tf
64,TSHE,6.6,335.06,225.97,tf
65,TSHE,5.4,333.05,226.07,tf
66,TSHE,14.5,331.54,227.04,tf
67,TABR,6.5,331.68,227.54,tf
68,TABR,21.8,331.9,228.51,tf
69,TSHE,12.5,325.82,232.61,tf
70,TABR,13.5,337.51,229.15,tf
71,TABR,13.2,341.14,227.99,tf
74,TABR,23,326.14,238.31,tf
75,ABGR,29.2,330.65,236.34,tf
76,THPL,9.5,335.16,234.44,cl
77,TSHE,72,334.72,236.29,tf
80,TSHE,12.3,327.99,247.37,tf
81,TSHE,19,327.75,248.78,tf
84,PSME,111.6,335.17,243.66,pm
85,TABR,40,337.63,244.3,tf
86,TABR,31.8,344.88,234.12,tf
87,TSHE,10.5,342.24,243.88,tf
88,TABR,31.2,348.1,236.67,tf
89,TSHE,6.3,347.82,238.76,tf
90,THPL,7.8,347.95,239.76,cl
91,PSME,166.5,347.52,199.83,pm
92,THPL,9.8,331.52,202.08,cl
93,TABR,8.7,340.48,201.54,tf
94,TABR,15.1,337.89,201.96,tf
96,TSHE,42,325.64,208.87,tf
97,TABR,12.1,336.06,204.97,tf
98,PSME,102.5,338.18,204.84,pm
99,ABGR,56.2,333.59,206.8,tf
100,TABR,11.6,332.24,207.03,tf
102,TSHE,8.2,335.95,206.91,tf
103,TSHE,27.1,337.26,207.69,tf
104,TABR,8.8,333.75,209.72,tf
105,TSHE,14.1,340.42,206.06,tf
106,TSHE,7.2,327.78,214.14,tf
107,TABR,32,336.63,210.2,tf
108,TABR,10,333.58,213.06,tf
109,TSHE,6.5,330.9,216.12,tf
110,TSHE,9.3,332.19,217.8,tf
112,TABR,19.5,340.76,209.88,tf
114,THPL,95,339.78,220.35,cl
115,TSHE,5.7,338.97,222.07,tf
